战斗id	valid	报名开始时间	报名结束时间	报名最低等级	本服淘汰赛时间	本服淘汰赛结束时间	本服16进8时间	本服8进4时间	本服4进2时间	本服2进1时间	跨服淘汰赛时间	跨服淘汰赛结束时间	跨服16进8时间	跨服8进4时间	跨服4进2时间	跨服2进1时间	赛事回顾终止时间
11	1	2016-07-19#12:00:00	2016-07-21#12:00:00	16	2016-07-21#12:30:00	2016-07-21#13:30:00	2016-07-22#18:00:00	2016-07-22#19:00:00	2016-07-22#20:00:00	2016-07-22#21:00:00	2016-07-23#12:30:00	2016-07-23#13:30:00	2016-07-23#18:00:00	2016-07-23#19:00:00	2016-07-23#20:00:00	2016-07-23#21:00:00	2016-07-24#12:00:00
12	1	2016-08-02#12:00:00	2016-08-04#12:00:00	16	2016-08-04#12:30:00	2016-08-04#13:30:00	2016-08-05#18:00:00	2016-08-05#19:00:00	2016-08-05#20:00:00	2016-08-05#21:00:00	2016-08-06#12:30:00	2016-08-06#13:30:00	2016-08-06#18:00:00	2016-08-06#19:00:00	2016-08-06#20:00:00	2016-08-06#21:00:00	2016-08-07#12:00:00
13	1	2016-08-16#12:00:00	2016-08-18#12:00:00	16	2016-08-18#12:30:00	2016-08-18#13:30:00	2016-08-19#18:00:00	2016-08-19#19:00:00	2016-08-19#20:00:00	2016-08-19#21:00:00	2016-08-20#12:30:00	2016-08-20#13:30:00	2016-08-20#18:00:00	2016-08-20#19:00:00	2016-08-20#20:00:00	2016-08-20#21:00:00	2016-08-21#12:00:00
14	1	2016-08-30#12:00:00	2016-09-01#12:00:00	16	2016-09-01#12:30:00	2016-09-01#13:30:00	2016-09-02#18:00:00	2016-09-02#19:00:00	2016-09-02#20:00:00	2016-09-02#21:00:00	2016-09-03#12:30:00	2016-09-03#13:30:00	2016-09-03#18:00:00	2016-09-03#19:00:00	2016-09-03#20:00:00	2016-09-03#21:00:00	2016-09-04#12:00:00
15	1	2016-09-13#12:00:00	2016-09-15#12:00:00	16	2016-09-15#12:30:00	2016-09-15#13:30:00	2016-09-16#18:00:00	2016-09-16#19:00:00	2016-09-16#20:00:00	2016-09-16#21:00:00	2016-09-17#12:30:00	2016-09-17#13:30:00	2016-09-17#18:00:00	2016-09-17#19:00:00	2016-09-17#20:00:00	2016-09-17#21:00:00	2016-09-18#12:00:00
16	1	2016-09-27#12:00:00	2016-09-29#12:00:00	16	2016-09-29#12:30:00	2016-09-29#13:30:00	2016-09-30#18:00:00	2016-09-30#19:00:00	2016-09-30#20:00:00	2016-09-30#21:00:00	2016-10-01#12:30:00	2016-10-01#13:30:00	2016-10-01#18:00:00	2016-10-01#19:00:00	2016-10-01#20:00:00	2016-10-01#21:00:00	2016-10-02#12:00:00
17	1	2016-10-11#12:00:00	2016-10-13#12:00:00	16	2016-10-13#12:30:00	2016-10-13#13:30:00	2016-10-14#18:00:00	2016-10-14#19:00:00	2016-10-14#20:00:00	2016-10-14#21:00:00	2016-10-15#12:30:00	2016-10-15#13:30:00	2016-10-15#18:00:00	2016-10-15#19:00:00	2016-10-15#20:00:00	2016-10-15#21:00:00	2016-10-16#12:00:00
18	1	2016-10-25#12:00:00	2016-10-27#12:00:00	16	2016-10-27#12:30:00	2016-10-27#13:30:00	2016-10-28#18:00:00	2016-10-28#19:00:00	2016-10-28#20:00:00	2016-10-28#21:00:00	2016-10-29#12:30:00	2016-10-29#13:30:00	2016-10-29#18:00:00	2016-10-29#19:00:00	2016-10-29#20:00:00	2016-10-29#21:00:00	2016-10-30#12:00:00
19	1	2016-11-08#12:00:00	2016-11-10#12:00:00	16	2016-11-10#12:30:00	2016-11-10#13:30:00	2016-11-11#18:00:00	2016-11-11#19:00:00	2016-11-11#20:00:00	2016-11-11#21:00:00	2016-11-12#12:30:00	2016-11-12#13:30:00	2016-11-12#18:00:00	2016-11-12#19:00:00	2016-11-12#20:00:00	2016-11-12#21:00:00	2016-11-13#12:00:00
20	1	2016-11-22#12:00:00	2016-11-23#12:00:00	16	2016-11-23#12:30:00	2016-11-23#13:30:00	2016-11-24#18:00:00	2016-11-24#19:00:00	2016-11-24#20:00:00	2016-11-24#21:00:00	2016-11-25#12:30:00	2016-11-25#13:30:00	2016-11-25#18:00:00	2016-11-25#19:00:00	2016-11-25#20:00:00	2016-11-25#21:00:00	2016-11-26#12:00:00
20	1	2016-12-05#12:00:00	2016-12-07#12:00:00	16	2016-12-07#12:30:00	2016-12-07#13:30:00	2016-12-08#18:00:00	2016-12-08#19:00:00	2016-12-08#20:00:00	2016-12-08#21:00:00	2016-12-09#12:30:00	2016-12-09#13:30:00	2016-12-09#18:00:00	2016-12-09#19:00:00	2016-12-09#20:00:00	2016-12-09#21:00:00	2016-12-10#12:00:00
21	1	2016-12-19#12:00:00	2016-12-21#12:00:00	16	2016-12-21#12:30:00	2016-12-21#13:30:00	2016-12-22#18:00:00	2016-12-22#19:00:00	2016-12-22#20:00:00	2016-12-22#21:00:00	2016-12-23#12:30:00	2016-12-23#13:30:00	2016-12-23#18:00:00	2016-12-23#19:00:00	2016-12-23#20:00:00	2016-12-23#21:00:00	2016-12-24#12:00:00
