ID	名称	品阶	技能说明	属性A类型	属性A加成类型	属性A初始加成额度	属性A成长幅度	属性B类型	属性B加成类型	属性B初始加成额度	属性B成长幅度	Icom图片路径	海报图片路径	名字图片路径	orderId
100011	高级狂暴碎片	1	可以用来合成宠物技能-高级狂暴	6	1	69	69	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_kuangbao.png	Pet/skillposter/poster_skillinfo_pet_kuangbao.png	none	11
100012	高级治疗碎片	1	可以用来合成宠物技能-高级治疗	7	1	83	83	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_zhiliao.png	Pet/skillposter/poster_skillinfo_pet_zhiliao.png	none	12
100013	高级灵动碎片	1	可以用来合成宠物技能-高级灵动	8	1	69	69	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_fuchou.png	Pet/skillposter/poster_skillinfo_pet_fuchou.png	none	13
100014	高级猎杀碎片	1	可以用来合成宠物技能-高级猎杀	9	1	83	83	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_paoxiao.png	Pet/skillposter/poster_skillinfo_pet_paoxiao.png	none	14
100015	高级血祭碎片	1	可以用来合成宠物技能-高级血祭	10	1	69	69	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_xueji.png	Pet/skillposter/poster_skillinfo_pet_xueji.png	none	15
100016	高级破魔碎片	1	可以用来合成宠物技能-高级破魔	11	1	66	66	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_mishi.png	Pet/skillposter/poster_skillinfo_pet_mishi.png	none	16
200001	中级撕咬碎片	2	可以用来合成宠物技能-中级撕咬	2	1	78	78	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_siyao.png	Pet/skillposter/poster_skillinfo_pet_siyao.png	none	17
200002	中级爪击碎片	2	可以用来合成宠物技能-中级爪击	2	1	78	78	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_zhuaji.png	Pet/skillposter/poster_skillinfo_pet_zhuaji.png	none	18
200003	中级斩击碎片	2	可以用来合成宠物技能-中级斩击	2	1	78	78	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_zhanji.png	Pet/skillposter/poster_skillinfo_pet_zhanji.png	none	19
200004	中级护盾碎片	2	可以用来合成宠物技能-中级护盾	3	1	78	78	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_hudun.png	Pet/skillposter/poster_skillinfo_pet_hudun.png	none	20
200005	中级霸体碎片	2	可以用来合成宠物技能-中级霸体	3	1	78	78	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_bati.png	Pet/skillposter/poster_skillinfo_pet_bati.png	none	21
200006	中级净化碎片	2	可以用来合成宠物技能-中级净化	3	1	78	78	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_jinghua.png	Pet/skillposter/poster_skillinfo_pet_jinghua.png	none	22
200007	中级嗜血碎片	2	可以用来合成宠物技能-中级嗜血	1	1	51	51	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_shixue.png	Pet/skillposter/poster_skillinfo_pet_shixue.png	none	23
200008	中级血源碎片	2	可以用来合成宠物技能-中级血源	1	1	51	51	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_xueyuan.png	Pet/skillposter/poster_skillinfo_pet_xueyuan.png	none	24
200009	中级化魔碎片	2	可以用来合成宠物技能-中级化魔	4	1	31	31	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_huamo.png	Pet/skillposter/poster_skillinfo_pet_huamo.png	none	25
200010	中级毁灭碎片	2	可以用来合成宠物技能-中级毁灭	4	1	31	31	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_huimie.png	Pet/skillposter/poster_skillinfo_pet_huimie.png	none	26
200011	中级狂暴碎片	2	可以用来合成宠物技能-中级狂暴	6	1	53	53	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_kuangbao.png	Pet/skillposter/poster_skillinfo_pet_kuangbao.png	none	27
200012	中级治疗碎片	2	可以用来合成宠物技能-中级治疗	7	1	64	64	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_zhiliao.png	Pet/skillposter/poster_skillinfo_pet_zhiliao.png	none	28
200013	中级灵动碎片	2	可以用来合成宠物技能-中级灵动	8	1	53	53	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_fuchou.png	Pet/skillposter/poster_skillinfo_pet_fuchou.png	none	29
200014	中级猎杀碎片	2	可以用来合成宠物技能-中级猎杀	9	1	64	64	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_paoxiao.png	Pet/skillposter/poster_skillinfo_pet_paoxiao.png	none	30
200015	中级血祭碎片	2	可以用来合成宠物技能-中级血祭	10	1	53	53	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_xueji.png	Pet/skillposter/poster_skillinfo_pet_xueji.png	none	31
200016	中级破魔碎片	2	可以用来合成宠物技能-中级破魔	11	1	52	52	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_mishi.png	Pet/skillposter/poster_skillinfo_pet_mishi.png	none	32
300001	低级撕咬碎片	3	可以用来合成宠物技能-低级撕咬	2	1	60	60	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_siyao.png	Pet/skillposter/poster_skillinfo_pet_siyao.png	none	33
300002	低级爪击碎片	3	可以用来合成宠物技能-低级爪击	2	1	60	60	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_zhuaji.png	Pet/skillposter/poster_skillinfo_pet_zhuaji.png	none	34
300003	低级斩击碎片	3	可以用来合成宠物技能-低级斩击	2	1	60	60	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_zhanji.png	Pet/skillposter/poster_skillinfo_pet_zhanji.png	none	35
300004	低级护盾碎片	3	可以用来合成宠物技能-低级护盾	3	1	60	60	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_hudun.png	Pet/skillposter/poster_skillinfo_pet_hudun.png	none	36
300005	低级霸体碎片	3	可以用来合成宠物技能-低级霸体	3	1	60	60	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_bati.png	Pet/skillposter/poster_skillinfo_pet_bati.png	none	37
300006	低级净化碎片	3	可以用来合成宠物技能-低级净化	3	1	60	60	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_jinghua.png	Pet/skillposter/poster_skillinfo_pet_jinghua.png	none	38
300007	低级嗜血碎片	3	可以用来合成宠物技能-低级嗜血	1	1	39	39	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_shixue.png	Pet/skillposter/poster_skillinfo_pet_shixue.png	none	39
300008	低级血源碎片	3	可以用来合成宠物技能-低级血源	1	1	39	39	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_xueyuan.png	Pet/skillposter/poster_skillinfo_pet_xueyuan.png	none	40
300009	低级化魔碎片	3	可以用来合成宠物技能-低级化魔	4	1	24	24	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_huamo.png	Pet/skillposter/poster_skillinfo_pet_huamo.png	none	41
300010	低级毁灭碎片	3	可以用来合成宠物技能-低级毁灭	4	1	24	24	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_huimie.png	Pet/skillposter/poster_skillinfo_pet_huimie.png	none	42
300011	低级狂暴碎片	3	可以用来合成宠物技能-低级狂暴	6	1	41	41	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_kuangbao.png	Pet/skillposter/poster_skillinfo_pet_kuangbao.png	none	43
300012	低级治疗碎片	3	可以用来合成宠物技能-低级治疗	7	1	49	49	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_zhiliao.png	Pet/skillposter/poster_skillinfo_pet_zhiliao.png	none	44
300013	低级灵动碎片	3	可以用来合成宠物技能-低级灵动	8	1	41	41	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_fuchou.png	Pet/skillposter/poster_skillinfo_pet_fuchou.png	none	45
300014	低级猎杀碎片	3	可以用来合成宠物技能-低级猎杀	9	1	49	49	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_paoxiao.png	Pet/skillposter/poster_skillinfo_pet_paoxiao.png	none	46
300015	低级血祭碎片	3	可以用来合成宠物技能-低级血祭	10	1	41	41	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_xueji.png	Pet/skillposter/poster_skillinfo_pet_xueji.png	none	47
300016	低级破魔碎片	3	可以用来合成宠物技能-低级破魔	11	1	40	40	0	0	0	0	Pet/skillposterChip/poster_skill_pet_chip_mishi.png	Pet/skillposter/poster_skillinfo_pet_mishi.png	none	48
