关卡ID	章ID	节点属性(1级:类型_数值，2级：类型_数值)	需求消耗
2002	2	7:37,7:43,7:61,7:67,7:92,7:98	61001:2505001:10,61001:2505001:15#61001:2505005:2,61001:2505002:10#61001:2505005:4,61001:2505002:15#61001:2505005:5,61001:2505003:10#61001:2505005:7,61001:2505003:15#61001:2505005:8
2003	2	8:46,8:54,8:77,8:84,8:115,8:122	61001:2505001:10,61001:2505001:15#61001:2505005:2,61001:2505002:10#61001:2505005:4,61001:2505002:15#61001:2505005:5,61001:2505003:10#61001:2505005:7,61001:2505003:15#61001:2505005:8
2004	2	10:46,10:54,10:77,10:84,10:115,10:122	61001:2505001:10,61001:2505001:15#61001:2505005:2,61001:2505002:10#61001:2505005:4,61001:2505002:15#61001:2505005:5,61001:2505003:10#61001:2505005:7,61001:2505003:15#61001:2505005:8
2005	2	3:34,3:40,3:57,3:62,3:85,3:90	61001:2505001:15,61001:2505001:20#61001:2505005:2,61001:2505002:15#61001:2505005:4,61001:2505002:20#61001:2505005:5,61001:2505003:15#61001:2505005:7,61001:2505003:20#61001:2505005:8
2006	2	7:51,7:59,7:85,7:93,7:127,7:136	61001:2505001:15,61001:2505001:20#61001:2505005:2,61001:2505002:15#61001:2505005:4,61001:2505002:20#61001:2505005:5,61001:2505003:15#61001:2505005:7,61001:2505003:20#61001:2505005:8
2007	2	8:64,8:74,8:106,8:117,8:159,8:170	61001:2505001:15,61001:2505001:20#61001:2505005:2,61001:2505002:15#61001:2505005:4,61001:2505002:20#61001:2505005:5,61001:2505003:15#61001:2505005:7,61001:2505003:20#61001:2505005:8
2008	2	10:64,10:74,10:106,10:117,10:159,10:170	61001:2505001:15,61001:2505001:20#61001:2505005:2,61001:2505002:15#61001:2505005:4,61001:2505002:20#61001:2505005:5,61001:2505003:15#61001:2505005:7,61001:2505003:20#61001:2505005:8
2009	2	3:45,3:53,3:75,3:83,3:113,3:121	61001:2505001:20,61001:2505001:25#61001:2505005:2,61001:2505002:20#61001:2505005:4,61001:2505002:25#61001:2505005:5,61001:2505003:20#61001:2505005:7,61001:2505003:25#61001:2505005:8
2010	2	7:71,7:82,7:118,7:130,7:177,7:188	61001:2505001:20,61001:2505001:25#61001:2505005:2,61001:2505002:20#61001:2505005:4,61001:2505002:25#61001:2505005:5,61001:2505003:20#61001:2505005:7,61001:2505003:25#61001:2505005:8
2011	2	8:88,8:103,8:147,8:162,8:221,8:235	61001:2505001:20,61001:2505001:25#61001:2505005:2,61001:2505002:20#61001:2505005:4,61001:2505002:25#61001:2505005:5,61001:2505003:20#61001:2505005:7,61001:2505003:25#61001:2505005:8
2012	2	10:88,10:103,10:147,10:162,10:221,10:235	61001:2505001:20,61001:2505001:25#61001:2505005:2,61001:2505002:20#61001:2505005:4,61001:2505002:25#61001:2505005:5,61001:2505003:20#61001:2505005:7,61001:2505003:25#61001:2505005:8
2013	2	3:57,3:66,3:94,3:104,3:141,3:151	61001:2505001:25,61001:2505001:30#61001:2505005:2,61001:2505002:25#61001:2505005:4,61001:2505002:30#61001:2505005:5,61001:2505003:25#61001:2505005:7,61001:2505003:30#61001:2505005:8
