id	名称	描述	购买价格	价格类型	操作类型	跳转界面	按钮文本	icon路径	海报路径	原价	所属分页	购买次数	包含道具	是否是宝石	是否在包裹中显示	购买结束时间	orderId	开启等级	是否含保底奖励	物品品质	批量开启
1510001	霸气点	霸气是ONE PIECE世界中所有人类都拥有的潜在力量，通过在九蛇岛试炼获得，用于提升霸气档。	20	2	0	none	none	itemposter/poster_item_baqidian.png	itemposter/poster_item_baqidian.png	0	0	0	none	0	0	0	43	0	0	1	0
1511001	友情点	友情是ONE PIECE世界的主旋律，在斗牛竞技场的战斗中获得，用于开启船员的友情缘分。	20	2	0	none	none	itemposter/poster_item_youqingdian.png	itemposter/poster_item_youqingdian.png	0	0	0	none	0	0	0	44	0	0	1	0
1512001	宠物商店刷新令	用于进行宠物商店刷新	20	2	0	none	none	itemposter/poster_item_huangjincailiao.png	itemposter/poster_item_chongwushuaxinling.png	0	0	0	none	0	0	0	45	0	0	1	0
1513001	克拉	宠物岛的通用货币，通过分解宠物或技能获得，可在宠物商店购买各种商品。	20	2	0	none	none	itemposter/poster_item_kela.png	itemposter/poster_item_kela..png	0	0	0	none	0	0	0	46	0	0	1	0
2001001	一级精钢	精炼武器时使用的物品，可提升2点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	4	0	47	0	0	1	0
2001002	二级精钢	精炼武器时使用的物品，可提升5点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	4	0	48	0	0	1	0
2001003	三级精钢	精炼武器时使用的物品，可提升10点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	4	0	49	0	0	1	0
2001004	四级精钢	精炼武器时使用的物品，可提升20点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	4	0	50	0	0	1	0
2001005	五级精钢	精炼武器时使用的物品，可提升40点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	4	0	51	0	0	1	0
2001006	六级精钢	精炼武器时使用的物品，可提升80点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	4	0	52	0	0	1	0
2001007	七级精钢	精炼武器时使用的物品，可提升160点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	4	0	53	0	0	1	0
2001008	八级精钢	精炼武器时使用的物品，可提升320点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	4	0	54	0	0	1	0
2001009	九级精钢	精炼武器时使用的物品，可提升640点精炼值（海贼团等级达到18级以上，可对B级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none	0	4	0	55	0	0	1	0
2002001	一级海王皮	精炼服装时使用的物品，可提升2点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	4	0	56	0	0	1	0
2002002	二级海王皮	精炼服装时使用的物品，可提升5点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	4	0	57	0	0	1	0
2002003	三级海王皮	精炼服装时使用的物品，可提升10点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	4	0	58	0	0	1	0
2002004	四级海王皮	精炼服装时使用的物品，可提升20点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	4	0	59	0	0	1	0
2002005	五级海王皮	精炼服装时使用的物品，可提升40点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	4	0	60	0	0	1	0
2002006	六级海王皮	精炼服装时使用的物品，可提升80点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	4	0	61	0	0	1	0
2002007	七级海王皮	精炼服装时使用的物品，可提升160点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	4	0	62	0	0	1	0
2002008	八级海王皮	精炼服装时使用的物品，可提升320点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	4	0	63	0	0	1	0
2002009	九级海王皮	精炼服装时使用的物品，可提升640点精炼值（海贼团等级达到18级以上，可对B级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none	0	4	0	64	0	0	1	0
2003001	一级星钻	精炼饰品时使用的物品，可提升2点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	4	0	65	0	0	1	0
2003002	二级星钻	精炼饰品时使用的物品，可提升5点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	4	0	66	0	0	1	0
2003003	三级星钻	精炼饰品时使用的物品，可提升10点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	4	0	67	0	0	1	0
2003004	四级星钻	精炼饰品时使用的物品，可提升20点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	4	0	68	0	0	1	0
2003005	五级星钻	精炼饰品时使用的物品，可提升40点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	4	0	69	0	0	1	0
2003006	六级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	4	0	70	0	0	1	0
2003007	七级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	4	0	71	0	0	1	0
2003008	八级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	4	0	72	0	0	1	0
2003009	九级星钻	精炼饰品时使用的物品，可提升x点精炼值（海贼团等级达到18级以上，可对B级以上饰品进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_xingzuan.png	itemposter/poster_item_xingzuan.png	0	0	0	none	0	4	0	73	0	0	1	0
2501001	海鲜饭	香吉士做的海鲜饭，会引起众人哄抢，所以尽快食用哦。使用后可增加12点体力	500	2	1	MessageBox.ccb	使用	itemposter/poster_item_haixianfan.png	itemposter/poster_item_haixianfan.png	0	1	-1	none	0	4	0	74	0	0	2	0
2502001	激素针	通过荷尔蒙激素，瞬间恢复精力，重新投入战斗。使用后可增加12点战意	500	2	1	MessageBox.ccb	使用	itemposter/poster_item_jisuzhen.png	itemposter/poster_item_jisuzhen.png	0	1	-1	none	0	4	0	75	0	0	2	0
2503001	挑战书	作为一名合格的海贼，要堂堂正正的向敌人宣战！使用后可增加3次决斗次数	28	2	1	MessageBox.ccb	使用	itemposter/poster_item_tiaozhanshu.png	itemposter/poster_item_tiaozhanshu.png	0	1	-1	none	0	4	0	76	0	0	3	0
2504001	免战牌	保护自己，使用后避免别人抢夺N小时。	500	2	1	MessageBox.ccb	使用	itemposter/poster_item_tiaozhanshu.png	itemposter/poster_item_tiaozhanshu.png	0	0	0	none	0	4	0	77	0	0	1	0
2505001	低级历史碑文	上面的字迹几乎辨识不清，记录了历史文献的所在地。	99999	2	0	none	none	itemposter/poster_item_wenxiansuipiandiji.png	itemposter/poster_item_wenxiansuipiandiji.png	0	0	0	none	0	4	0	78	0	0	3	0
2505002	中级历史碑文	书页已经泛黄，仿佛一碰就碎，记录了历史文献的所在地	99999	2	0	none	none	itemposter/poster_item_wenxiansuipianzhongji.png	itemposter/poster_item_wenxiansuipianzhongji.png	0	0	0	none	0	4	0	79	0	0	2	0
2505003	高级历史碑文	用神秘材质制作，散发出神奇的光，记录了历史文献的所在地。	99999	2	0	none	none	itemposter/poster_item_wenxiansuipiangaoji.png	itemposter/poster_item_wenxiansuipiangaoji.png	0	0	0	none	0	4	0	80	0	0	1	0
2505004	空岛贝	空岛中特有的贝类，用于开启和升级空岛文献。	1500	2	0	none	none	itemposter/poster_item_fengbei.png	itemposter/poster_item_fengbei.png	0	1	0	none	0	4	0	81	0	0	1	0
2505005	映像贝	空岛中特有的贝类，可以记录下当时的映像，用于拼合空岛文献节点。	99999	2	0	none	none	itemposter/poster_item_yingxiangbei.png	itemposter/poster_item_yingxiangbei.png	0	0	0	none	0	4	0	82	0	0	1	0
2505006	砂之石	阿拉巴斯坦特产，拿哈那大沙漠中美丽的石头，用于开启和升级阿拉巴斯坦文献。	1500	2	0	none	none	itemposter/poster_item_shazhishi.png	itemposter/poster_item_shazhishi.png	0	1	0	none	0	4	0	83	0	0	1	0
2505007	砂之结晶	阿拉巴斯坦特产，砂之石在机缘巧合下凝结而成，用于拼合阿拉巴斯坦文献节点。	99999	2	0	none	none	itemposter/poster_item_shazhijiejing.png	itemposter/poster_item_shazhijiejing.png	0	0	0	none	0	4	0	84	0	0	1	0
2506001	奥义精华	奥义的精华所在。可用于奥义进化，为奥义的进化提供能量。	99999	2	0	none	none	itemposter/poster_item_aoyijinghua.png	itemposter/poster_item_aoyijinghua.png	0	0	0	none	0	4	0	85	0	0	1	0
2506002	海神药水	汇聚着海神力量的神秘药水，价值极高。可用于奥义进化，为奥义的进化提供能量。	99999	2	0	none	none	itemposter/poster_item_haishenyaoshui.png	itemposter/poster_item_haishenyaoshui.png	0	0	0	none	0	4	0	86	0	0	1	0
2507001	装备精华	装备的精华，分解A,B级装备获得。用于进行装备精炼。	99999	2	0	none	none	itemposter/poster_item_zhuangbeijinghua.png	itemposter/poster_item_zhuangbeijinghua.png	0	0	0	none	0	4	0	87	0	0	1	0
2507002	装备进化石	蕴含着强大的能量，分解A级装备有概率获得。用于进行装备进化。	99999	2	0	none	none	itemposter/poster_item_zhuangbeijinhuashi.png	itemposter/poster_item_zhuangbeijinhuashi.png	0	0	0	none	0	4	0	88	0	0	1	0
2508001	天王结晶	古代兵器的精华，可猎杀海王类获得。用于天王套装合成。	99999	2	0	none	none	itemposter/poster_item_tianwangjiejing.png	itemposter/poster_item_tianwangjiejing.png	0	0	0	none	0	4	0	89	0	0	1	0
2508002	海王结晶	古代兵器的精华，可猎杀海王类获得。用于海王套装合成。	99999	2	0	none	none	itemposter/poster_item_haiwangjiejing.png	itemposter/poster_item_haiwangjiejing.png	0	0	0	none	0	4	0	90	0	0	1	0
2508003	冥王结晶	古代兵器的精华，可猎杀海王类获得。用于冥王套装合成。	99999	2	0	none	none	itemposter/poster_item_mingwangjiejing.png	itemposter/poster_item_mingwangjiejing.png	0	0	0	none	0	4	0	91	0	0	1	0
2509001	爆竹	新年活动特殊道具，可在远航过程中获取。用于新年活动驱赶年兽。	999999	2	0	none	none	itemposter/poster_item_baozhu.png	itemposter/poster_item_baozhu.png	0	0	0	none	0	4	0	92	0	0	1	0
2509002	新年福袋	驱赶年兽获得的新年福袋奖励，打开后可获得潜能药剂，改造材料，历史碑文等道具。	999999	2	2	none	开启	itemposter/poster_item_xinnianfudai.png	itemposter/poster_item_xinnianfudai.png	0	0	0	none	0	2	0	93	0	0	1	1
3001001	木宝箱	木质的藏宝箱，打开后可获得1000贝里。同时免费获得系统赠送的装备、奥义道具，需要木钥匙才能开启。	999999	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_mubaoxiang.png	itemposter/poster_item_mubaoxiang.png	0	0	0	none	0	2	0	94	0	1	4	1
3001002	铜宝箱	铜质的藏宝箱，打开后可获得1500贝里。同时免费获得系统赠送的装备、奥义道具，需要铜钥匙才能开启。	999999	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_tongbaoxiang.png	itemposter/poster_item_tongbaoxiang.png	0	0	0	none	0	2	0	95	0	1	3	1
3001003	银宝箱	银质的藏宝箱，打开后可获得2000贝里。同时免费获得系统赠送的装备、奥义道具，需要银钥匙才能开启。	300	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_yinbaoxiang.png	itemposter/poster_item_yinbaoxiang.png	0	0	0	none	0	2	0	96	0	1	2	1
3001004	金宝箱	金质的藏宝箱，打开后可获得3000贝里。同时免费获得系统赠送的装备、奥义道具，需要金钥匙才能开启。	300	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_jinbaoxiang.png	itemposter/poster_item_jinbaoxiang.png	0	0	0	none	0	2	0	97	0	1	1	1
3002001	木钥匙	用来打开木宝箱的钥匙	200	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_muyaoshi.png	itemposter/poster_item_muyaoshi.png	0	1	-1	none	0	2	0	98	0	1	4	1
3002002	铜钥匙	用来打开铜宝箱的钥匙	200	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_tongyaoshi.png	itemposter/poster_item_tongyaoshi.png	0	1	-1	none	0	2	0	99	0	1	3	1
3002003	银钥匙	用来打开银宝箱的钥匙	200	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_yinyaoshi.png	itemposter/poster_item_yinyaoshi.png	0	1	-1	none	0	2	0	100	0	1	2	1
3002004	金钥匙	用来打开金宝箱的钥匙	200	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_jinyaoshi.png	itemposter/poster_item_jinyaoshi.png	0	1	-1	none	0	2	0	101	0	1	1	1
3003001	远古秘宝	装满了稀有宝石的宝箱，打开后可能获得宝石、潜能药剂、觉醒药剂等道具。	50	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_juexingbaoxiang.png	itemposter/poster_item_juexingbaoxiang.png	0	0	0	none	0	2	0	102	0	0	1	1
3003002	海王之语	装满了珍稀宝藏的宝箱，打开后可能获得罗杰的影子、进化药剂、潜能药剂、宝石、贝里等道具。	80	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_juexingbaoxiang.png	itemposter/poster_item_juexingbaoxiang.png	0	0	0	none	0	2	0	103	0	0	1	1
3003003	超人宝箱	装满了珍稀宝藏的宝箱，打开后可能获得白胡子的影子、超人系精华、进化药剂、潜能药剂、贝里等道具。	300	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_juexingbaoxiang.png	itemposter/poster_item_juexingbaoxiang.png	0	0	0	none	0	2	0	104	0	0	1	1
3003004	重生至宝	可能装有让人如获新生的神奇药剂的宝箱，打开后可能获得重生药剂、奥义孔碎片、朗姆酒、宝石、潜能药剂、贝里等道具。	30	2	2	PopUpSurprise.ccb	开启	itemposter/poster_item_juexingbaoxiang.png	itemposter/poster_item_juexingbaoxiang.png	0	0	0	none	0	2	0	105	0	0	1	1
3500001	会员每日礼包	会员每日礼包，内含1000万钻石，1W潜能药剂，大量进化材料、锤子精魄、神器等，限购1次，点击图标可预览补给包内容。	999	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	4500	0	0	11001:1001:100000,11001:1002:1000000,61001:1502001:2000,61001:4006001:5,61001:1101006:2,61001:1101007:2,61001:3500056:1,61001:5001061:1,61001:5001062:1,61001:5001063:1,61001:1101015:2	0	2	0	106	0	0	1	0
3500002	玩家每日福利	玩家每日福利礼包，内含200万钻石、1000潜能药剂、锤子精魄、进化材料等，限购1次，点击图标可预览补给包内容。	99	2	2	PackPreview.ccb	开启	itemposter/poster_item_libao.png	itemposter/poster_item_libao.png	500	0	0	11001:1001:2000000,61001:1502001:1000,61001:5003005:1,61001:1101007:3,61001:1101006:3,61001:3500056:1	0	2	0	107	0	0	2	0
