Type	名称	品质	初始经验	装备上限	相克ID	能量之核孔数	缘分id	Icom图片路径	海报图片路径	说明	orderId
83	传送果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_06.png	devilFruit/Poster_fruit_a_06.png	超人系，可以在一定范围内的空间中传送移动，能力者越强传送距离越远，传送点之间必须有陆地相连，不能跨海。	83
84	长长果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	超人系，操纵头发变成任何发型，可任意伸长头发，操纵与自己头发相连的其他人的头发绞杀敌人。	84
85	螳螂果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	动物系，可以变成大螳螂与敌人交战，害怕鸟鸟果实。	85
86	猫猫果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	动物系，豹形态，变成豹。力量速度爆发俱大幅度得到加强。	86
87	九尾狐果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	动物系“幻兽种”，比自然系和古代种还罕见稀有的幻兽种。可以变身为全身放出紫色火焰九尾狐。	87
88	神速果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_07.png	devilFruit/Poster_fruit_a_07.png	超人系，速度，速度速度加快，速度非常快，跑得太快自己也会晕。	88
89	暂停果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	超人系，可以暂停一定范围内自己以外的人的时间，很耗费体力，只能维持很短时间。	89
90	颠倒果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_08.png	devilFruit/Poster_fruit_b_08.png	超人系，可以让一定范围内的人的动作颠倒，想往左往右，想往前往后，自己也要平时多练习才能适应。	90
91	向日葵果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_03.png	devilFruit/Poster_fruit_a_03.png	超人系，变身向日葵，使用葵花籽攻击，缺点是身体会慢慢往太阳方向移动。	91
92	嫉妒果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_07.png	devilFruit/Poster_fruit_b_07.png	超人系，可以放大人的嫉妒之心，很容易让敌方海贼团员相互嫉妒反目成仇，碰到完全没有嫉妒心的人就没有办法。	92
93	惊吓果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_05.png	devilFruit/Poster_fruit_b_05.png	超人系，可以让对方看到幻像，对方心中最害怕什么东西就会看到什么幻象。	93
94	月光果实	1	1500	-1	none	5	none	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	超人系，可以吸收月光的能量，释放出月光能量冲击波，满月时威力超大，白天毫无能力。	94
95	预言果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_09.png	devilFruit/Poster_fruit_b_09.png	超人系，自己说出的话无论是真是假，只要有人相信，就会成真。越大的预言需要越多的人相信才可以实现。	95
96	拟声果实	2	750	-1	none	4	none	devilFruit/Poster_fruit_b_01.png	devilFruit/Poster_fruit_b_01.png	超人系，可以模仿声音，人的说话声，动物叫声，什么声音都可以模仿，可利用共鸣来击溃敌人的身体。	96
97	铁拳之爱	1	1500	-1	none	5	97	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	贯彻了爱意的铁拳，卡普的铁拳拥有让人无法闪避和抵抗的能量。	97
98	冥王	1	1500	-1	none	5	98	devilFruit/Poster_fruit_a_jianyi.png	devilFruit/Poster_fruit_a_jianyi.png	曾担任罗杰副船长的雷利，同时也是世界上最为强大的剑客之一，其凝聚的魂之结晶更为精纯。	98
99	鹰之眼	1	1500	-1	none	5	99	devilFruit/Poster_fruit_a_yingyan.png	devilFruit/Poster_fruit_a_yingyan.png	只有最强的剑客才拥有的独特的力量，超越一切普通的剑客，鹰眼米霍克独有的魂之结晶。	99
100	狙击之魂	1	1500	-1	none	5	100	devilFruit/Poster_fruit_a_qianghun.png	devilFruit/Poster_fruit_a_qianghun.png	天生敏锐的感触加上后天不断地练习，不断的成长最后凝聚成百发百中的狙击之魂。	100
101	大海之子	1	1500	-1	none	5	101	devilFruit/Poster_fruit_a_haihun.png	devilFruit/Poster_fruit_a_haihun.png	得到大海力量的承认，在海洋里的实力算得上是数一数二，海中柔道家，鲸鲨鱼人。	101
102	剑客之魂	1	1500	-1	none	5	102	devilFruit/Poster_fruit_a_jianyi.png	devilFruit/Poster_fruit_a_jianyi.png	不甘心居于别人之下，不管是谁都要与之一较高低，向往随心所欲的行动，恐怖剑客希留之魂。	102
103	杀手之魂	1	1500	-1	none	5	103	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	杀手总是把自己隐藏在面具下，基拉的面具之下到底是什么，恐怕没有人能知道。	103
104	花之剑	1	1500	-1	none	5	104	devilFruit/Poster_fruit_a_jianyi.png	devilFruit/Poster_fruit_a_jianyi.png	每次战斗都要换一种花，实在是极为优雅的战斗方式，然而他的对手眼里，再优雅的花也会变成夺命的恶魔。	104
105	神偷之心	1	1500	-1	none	5	105	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	为了让自己变得更加强壮，努力的锻炼自己，从而凝练出更加敏锐的方向感，以及更加贪财的奇怪能力。	105
106	剑之尊严	1	1500	-1	none	5	106	devilFruit/Poster_fruit_a_jianyi.png	devilFruit/Poster_fruit_a_jianyi.png	赌上全部的尊严，自己承受住无穷无尽的试炼，只是为了让自己的刀刃更加锋利，意志凝聚出极致的剑客之魂。	106
107	力量之魂	1	1500	-1	none	5	107	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	守护女士，守护美食，守护世界上一切美丽的事物，“王子”优雅的强大令人着迷。	107
108	可乐能量	1	1500	-1	none	5	108	devilFruit/Poster_fruit_a_yongzhe.png	devilFruit/Poster_fruit_a_yongzhe.png	继承自超级科学家的技术，进行了全人体改造，尽管行为更加变态，还需可乐做能源，但已经是十分强大了。	108
109	狙击之魂	1	1500	-1	none	5	109	devilFruit/Poster_fruit_a_qianghun.png	devilFruit/Poster_fruit_a_qianghun.png	继承自其父亲耶稣布的敏锐感知，和继承自其母亲长长的鼻子构成的天然瞄准器，使得乌索普获得了极其精准的攻击能力。	109
110	海皇之魂	1	1500	-1	none	5	110	devilFruit/Poster_fruit_a_haihun.png	devilFruit/Poster_fruit_a_haihun.png	得到大海力量的承认，本身亦是古代兵器•海皇的继承者，拥有可以驱使海王类的力量。	110
111	人鱼之王	1	1500	-1	none	5	111	devilFruit/Poster_fruit_a_haihun.png	devilFruit/Poster_fruit_a_haihun.png	得到大海力量的承认，海洋之子，只有鱼人族才能凝练出的魂之结晶。	111
112	激素	1	1500	-1	none	5	112	devilFruit/Poster_fruit_a_haihun.png	devilFruit/Poster_fruit_a_haihun.png	为了让自己变得更加强壮，努力的锻炼自己，从而凝练出强大的力量之魂。	112
113	王者之魂	1	1500	-1	none	5	113	devilFruit/Poster_fruit_a_luojie.png	devilFruit/Poster_fruit_a_luojie.png	传说中征服大海者拥有的魂，似乎有着听到万物声音的神奇力量，这力量过于强大，会减少持有者的寿命。	113
114	正义之魂	1	1500	-1	none	5	114	devilFruit/Poster_fruit_a_yuanshuai.png	devilFruit/Poster_fruit_a_yuanshuai.png	钢骨铁血凝聚而成的正义之魂，只有绝对的强者才是绝对的正义	114
115	白马之魂	1	1500	-1	none	5	115	devilFruit/Poster_fruit_a_baima.png	devilFruit/Poster_fruit_a_baima.png	夜魔降临时杀戮的传说，由第二人格的极端分裂而形成的强大魂之结晶。	115
116	斗牛之魂	1	1500	-1	none	5	116	devilFruit/Poster_fruit_a_douniu.png	devilFruit/Poster_fruit_a_douniu.png	斗牛竞技场的不败传奇，最为强大的竞技场剑斗士所凝集的魂魄之力。	116
117	海王之魂	1	1500	-1	none	5	117	devilFruit/Poster_fruit_a_haihuang.png	devilFruit/Poster_fruit_a_haihuang.png	散发着王者之气的人鱼族领袖的魂之精华，拥有大海一般的力量。	117
118	铁椎之魂	1	1500	-1	none	5	118	devilFruit/Poster_fruit_a_tuizhui.png	devilFruit/Poster_fruit_a_tuizhui.png	拥有着撞断山脉的可怕力量所凝聚的力量之魂。	118
119	重力果实	1	1500	-1	none	5	119	devilFruit/Poster_fruit_a_08.png	devilFruit/Poster_fruit_a_08.png	超人系，可以控制重力，召唤陨石的强大果实，具有可怕的破坏力。	119
120	嗜鲨之魂	1	1500	-1	none	5	120	devilFruit/Poster_fruit_a_shiya1.png	devilFruit/Poster_fruit_a_shiya1.png	由嗜血和杀戮凝聚成的人鱼之力，散发着强大的邪恶气息。	120
121	疯狂之力	1	1500	-1	none	5	121	devilFruit/Poster_fruit_s_baima.png	devilFruit/Poster_fruit_s_baima.png	有一颗疯狂的心，你才能无敌天下，定制人物专属，最强果实。	121
122	疯狂之体	1	1500	-1	none	5	122	devilFruit/Poster_fruit_s_baima.png	devilFruit/Poster_fruit_s_baima.png	有一颗疯狂的心，你才能无敌天下，定制人物专属，最强果实。	122
123	定制果实攻	1	1500	-1	none	5	123	devilFruit/Poster_fruit_s_baima.png	devilFruit/Poster_fruit_s_baima.png	有一颗疯狂的心，你才能无敌天下，定制果实。	123
124	定制果实防	1	1500	-1	none	5	124	devilFruit/Poster_fruit_s_baima.png	devilFruit/Poster_fruit_s_baima.png	有一颗疯狂的心，你才能无敌天下，定制果实。	124
200	进化震震果实	5	1500	-1	none	6	200	devilFruit/Poster_fruit_a_02.png	devilFruit/Poster_fruit_a_02.png	超人系，能产生地震波，震动的地方包括地面以及空间，也能让部分的空间充满强大的震动力。是可以毁灭世界的果实。	200
201	进化人人果实	5	1500	-1	none	6	201	devilFruit/Poster_fruit_a_01.png	devilFruit/Poster_fruit_a_01.png	动物系“幻兽种”，变成大佛。发出佛之冲击，威力巨大。	201
202	进化风风果实	5	1500	-1	none	6	202	devilFruit/Poster_fruit_a_04.png	devilFruit/Poster_fruit_a_04.png	疑似自然系的“风”属性恶魔果实，名称不明。	202
