id	名称	类型	对应Icon图片路径	脚本ccbi文件	检测有新版本	order	backgroundMusic	主类型	开放等级
29	幸运转盘	117	mainScene/u_icoqyzhuanpan.png	TurnTable	1	28	adventure.mp3	2	1
30	超值月卡	118	mainScene/u_icoqyyueka.png	SuperMonthCard	1	29	adventure.mp3	2	1
31	限购礼包	119	mainScene/u_icoqyMAxiangou.png	AutumnPurchase	1	30	adventure.mp3	2	1
32	等级排行	120	mainScene/u_icoqyLVPH.png	LevelRank	1	31	adventure.mp3	2	1
33	决斗排行	121	mainScene/u_icoqyJDPH.png	ArenaRank	1	32	adventure.mp3	2	1
34	Vip返利	122	mainScene/u_icoqyVIPFL.png	VipRebate	1	33	adventure.mp3	2	1
36	幸运大奖池	123	mainScene/u_icoqyjsjliwu.png	LuckyPrize	1	34	adventure.mp3	2	1
37	终极试炼	124	mainScene/u_icoqyUT.png	UltimateTest	1	35	adventure.mp3	2	1
38	船员觉醒	125	mainScene/u_icoqyUpgradeCards.png	CrewAwakening	1	43	CrewAwakening.mp3	1	1
39	神秘商店	126	mainScene/u_icoqyRebateCoupon.png	UsoppStore	1	37	adventure.mp3	2	1
40	大乐透	127	mainScene/u_icoqyLotto.png	LottoPage	1	38	adventure.mp3	2	1
41	顶上之战	128	mainScene/u_icoqyBOTP.png	BattleOfThePeak	1	39	adventure.mp3	2	1
48	船员兑换	129	mainScene/u_icoqyMemExchangeQN.png	ConversionDisciple	1	46	adventure.mp3	1	1
49	跨服战	132	mainScene/u_icoqyCSWar.png	CrossServerWar	1	50	adventure.mp3	1	1
50	幸运彩蛋	130	mainScene/u_icoqyEggs.png	LuckyEggPage	1	48	adventure.mp3	2	1
51	奥义洗炼	131	mainScene/u_icoqyReplaceSkill.png	InbornSkillReplace	1	41	loadingMusic.mp3	2	1
53	超值团购	133	mainScene/u_icoqyNewYearShopping.png	NewYearPurchase	1	42	adventure.mp3	2	1
54	船员训练	134	mainScene/u_icoqyMemTraining.png	PotentialTrain	1	19	PotentialTrain.mp3	1	1
55	果实采集	135	mainScene/DevilFruit/u_icoqyDevilFruit.png	PickDevilFruitPage	1	24	PickDevilFruit.mp3	1	1
57	邀请好友	137	mainScene/u_icoqyjsjliwu.png	ShareFriendPage	1	44	adventure.mp3	2	1
59	影之传承	139	mainScene/u_icoqyu_ShadowIN.png	ShadowTransform	1	47	adventure.mp3	2	1
62	兑换贝里	140	mainScene/u_icoqyNamiTreasure.png	NamiTreasure	1	49	adventure.mp3	1	1
63	幸运登录	141	mainScene/u_icoqyLuckyCompass.png	ContLoginTwoInfoPage	1	9	LuckyCompass.mp3	1	1
65	微信分享	143	mainScene/u_icoqyWeChatShare.png	WeChatShare	1	51	adventure.mp3	2	1
66	3V3决斗	144	mainScene/u_icoqyPK3v3.png	PK3v3Page	1	36	adventure.mp3	1	1
67	船员进化	145	mainScene/u_icoqyCrewAnagenesis.png	CrewEvolution	1	45	CrewAwakening.mp3	1	1
68	狂欢周卡	146	mainScene/u_icoqyyueka.png	WeekCard	1	30	adventure.mp3	2	1
69	船员重生	147	mainScene/u_icoqyRenascence.png	CrewRebirth	1	26	CrewAwakening.mp3	1	1
70	文献探索	150	mainScene/u_icoqyMazeExplore.png	LiteratureSearching	1	4	Litersearch.mp3	1	10
71	感恩召回	148	mainScene/u_icoqyPlayerRecall.png	RegressOwe	1	54	adventure.mp3	2	15
72	All_Blue	149	mainScene/u_icoqyAllBlue.png	AllBluePage	1	10	adventure.mp3	2	1
73	奥义进化	173	mainScene/u_icoqySkillEvolution.png	SkillEvolution	1	73	SkillEvolutionBackGround.mp3	1	1
74	跨服团战	151	mainScene/u_icoqyMarineCastle.png	CSTeamBattleMainPage	1	15	CS_adventure.mp3	1	1
75	装备改造	175	mainScene/u_icoqyEquipQuench.png	EquipSmelt	1	25	EquipSmeltBackGround.mp3	1	1
76	九蛇岛试炼	176	mainScene/u_icoqyHakiTrial.png	HakiTrial	1	15	HakiTrial.mp3	1	25
77	每日充值	177	mainScene/u_icoqyjsjxiaofei.png	RechargeEveryDay	1	21	adventure.mp3	2	1
78	斗牛竞技场	178	mainScene/u_icoqyBullfight.png	BullFight	1	21	adventure.mp3	1	1
81	梦幻彩贝	179	mainScene/u_icoqySeashell.png	SeaShellPage	1	18	adventure.mp3	2	1
82	驱赶年兽	180	mainScene/u_icoqyNien.png	HitBeastPage	1	18	adventure.mp3	2	1
83	古堡转盘	183	mainScene/u_icoqyPeronaTurntable.png	FortuneWheelPage	1	25	adventure.mp3	2	1
84	影子刻印	184	mainScene/u_icoqyShadowImprint.png	DiscipleSoulImprint	1	18	adventure.mp3	2	1
85	遗失的宝藏	185	mainScene/u_icoqyLostTreasure.png	LostTreasure	1	18	adventure.mp3	2	1
