ID	能量之核Type	等级	经验	吞噬经验转换百分比	售价	属性值	身价
140009	14	9	61440	100	3072000	900	1045
140010	14	10	61440	100	6144000	1000	1170
150001	15	1	240	100	6000	75	23
150002	15	2	480	100	24000	150	85
150003	15	3	960	100	48000	225	148
150004	15	4	1920	100	96000	300	210
150005	15	5	3840	100	192000	375	273
150006	15	6	7680	100	384000	450	335
150007	15	7	15360	100	768000	525	398
150008	15	8	30720	100	1536000	600	460
150009	15	9	61440	100	3072000	675	523
150010	15	10	61440	100	6144000	750	585
160001	16	1	240	100	6000	50	15
160002	16	2	480	100	24000	100	57
160003	16	3	960	100	48000	150	98
160004	16	4	1920	100	96000	200	140
160005	16	5	3840	100	192000	250	182
160006	16	6	7680	100	384000	300	223
160007	16	7	15360	100	768000	350	265
160008	16	8	30720	100	1536000	400	307
160009	16	9	61440	100	3072000	450	348
160010	16	10	61440	100	6144000	500	390
170001	17	1	240	100	6000	63	19
170002	17	2	480	100	24000	126	71
170003	17	3	960	100	48000	189	124
170004	17	4	1920	100	96000	252	176
170005	17	5	3840	100	192000	315	229
170006	17	6	7680	100	384000	378	281
170007	17	7	15360	100	768000	441	334
170008	17	8	30720	100	1536000	504	386
170009	17	9	61440	100	3072000	567	439
170010	17	10	61440	100	6144000	630	491
180001	18	1	240	100	6000	100	30
180002	18	2	480	100	24000	200	113
180003	18	3	960	100	48000	300	197
180004	18	4	1920	100	96000	400	280
180005	18	5	3840	100	192000	500	363
180006	18	6	7680	100	384000	600	447
180007	18	7	15360	100	768000	700	530
180008	18	8	30720	100	1536000	800	613
180009	18	9	61440	100	3072000	900	697
180010	18	10	61440	100	6144000	1000	780
190001	19	1	240	100	6000	63	19
190002	19	2	480	100	24000	126	71
190003	19	3	960	100	48000	189	124
190004	19	4	1920	100	96000	252	176
190005	19	5	3840	100	192000	315	229
190006	19	6	7680	100	384000	378	281
190007	19	7	15360	100	768000	441	334
190008	19	8	30720	100	1536000	504	386
190009	19	9	61440	100	3072000	567	439
190010	19	10	61440	100	6144000	630	491
200001	20	1	240	100	6000	100	30
200002	20	2	480	100	24000	200	113
200003	20	3	960	100	48000	300	197
200004	20	4	1920	100	96000	400	280
200005	20	5	3840	100	192000	500	363
200006	20	6	7680	100	384000	600	447
200007	20	7	15360	100	768000	700	530
200008	20	8	30720	100	1536000	800	613
200009	20	9	61440	100	3072000	900	697
200010	20	10	61440	100	6144000	1000	780
210001	21	1	120	100	3000	50	9
210002	21	2	240	100	12000	100	58
210003	21	3	480	100	24000	150	107
210004	21	4	960	100	48000	200	156
210005	21	5	1920	100	96000	250	205
210006	21	6	3840	100	192000	300	254
210007	21	7	7680	100	384000	350	303
210008	21	8	15360	100	768000	400	352
210009	21	9	30720	100	1536000	450	401
210010	21	10	30720	100	3072000	500	450
220001	22	1	120	100	3000	32	6
220002	22	2	240	100	12000	64	37
220003	22	3	480	100	24000	96	68
220004	22	4	960	100	48000	128	100
220005	22	5	1920	100	96000	160	131
220006	22	6	3840	100	192000	192	163
220007	22	7	7680	100	384000	224	194
220008	22	8	15360	100	768000	256	225
220009	22	9	30720	100	1536000	288	257
220010	22	10	30720	100	3072000	320	288
230001	23	1	120	100	3000	20	4
230002	23	2	240	100	12000	40	23
230003	23	3	480	100	24000	60	43
230004	23	4	960	100	48000	80	62
230005	23	5	1920	100	96000	100	82
230006	23	6	3840	100	192000	120	102
230007	23	7	7680	100	384000	140	121
230008	23	8	15360	100	768000	160	141
230009	23	9	30720	100	1536000	180	160
230010	23	10	30720	100	3072000	200	180
240001	24	1	120	100	3000	50	9
240002	24	2	240	100	12000	100	58
240003	24	3	480	100	24000	150	107
240004	24	4	960	100	48000	200	156
240005	24	5	1920	100	96000	250	205
240006	24	6	3840	100	192000	300	254
240007	24	7	7680	100	384000	350	303
240008	24	8	15360	100	768000	400	352
240009	24	9	30720	100	1536000	450	401
240010	24	10	30720	100	3072000	500	450
250001	25	1	120	100	3000	50	6
250002	25	2	240	100	12000	100	39
250003	25	3	480	100	24000	150	71
250004	25	4	960	100	48000	200	104
250005	25	5	1920	100	96000	250	137
250006	25	6	3840	100	192000	300	169
250007	25	7	7680	100	384000	350	202
250008	25	8	15360	100	768000	400	235
250009	25	9	30720	100	1536000	450	267
250010	25	10	30720	100	3072000	500	300
260001	26	1	120	100	3000	30	4
260002	26	2	240	100	12000	60	23
260003	26	3	480	100	24000	90	43
260004	26	4	960	100	48000	120	62
260005	26	5	1920	100	96000	150	82
260006	26	6	3840	100	192000	180	102
260007	26	7	7680	100	384000	210	121
260008	26	8	15360	100	768000	240	141
260009	26	9	30720	100	1536000	270	160
260010	26	10	30720	100	3072000	300	180
270001	27	1	120	100	3000	32	4
270002	27	2	240	100	12000	64	25
270003	27	3	480	100	24000	96	46
270004	27	4	960	100	48000	128	67
270005	27	5	1920	100	96000	160	87
270006	27	6	3840	100	192000	192	108
270007	27	7	7680	100	384000	224	129
270008	27	8	15360	100	768000	256	150
270009	27	9	30720	100	1536000	288	171
270010	27	10	30720	100	3072000	320	192
280001	28	1	120	100	3000	60	7
280002	28	2	240	100	12000	120	46
280003	28	3	480	100	24000	180	86
280004	28	4	960	100	48000	240	125
280005	28	5	1920	100	96000	300	164
280006	28	6	3840	100	192000	360	203
280007	28	7	7680	100	384000	420	242
280008	28	8	15360	100	768000	480	282
280009	28	9	30720	100	1536000	540	321
280010	28	10	30720	100	3072000	600	360
290001	29	1	120	100	3000	32	4
290002	29	2	240	100	12000	64	25
290003	29	3	480	100	24000	96	46
290004	29	4	960	100	48000	128	67
290005	29	5	1920	100	96000	160	87
290006	29	6	3840	100	192000	192	108
290007	29	7	7680	100	384000	224	129
290008	29	8	15360	100	768000	256	150
290009	29	9	30720	100	1536000	288	171
290010	29	10	30720	100	3072000	320	192
300001	30	1	120	100	3000	60	7
300002	30	2	240	100	12000	120	46
300003	30	3	480	100	24000	180	86
300004	30	4	960	100	48000	240	125
300005	30	5	1920	100	96000	300	164
300006	30	6	3840	100	192000	360	203
300007	30	7	7680	100	384000	420	242
300008	30	8	15360	100	768000	480	282
300009	30	9	30720	100	1536000	540	321
300010	30	10	30720	100	3072000	600	360
310001	31	1	0	100	27000	0	0
320001	32	1	0	100	27000	0	0
330001	33	1	0	100	27000	0	0
340001	34	1	0	100	27000	0	0
350001	35	1	0	100	27000	0	0
360001	36	1	0	100	27000	0	0
370001	37	1	0	100	27000	0	0
380001	38	1	0	100	27000	0	0
390001	39	1	0	100	27000	0	0
400001	40	1	0	100	27000	0	0
410001	41	1	960	100	24000	400	916
410002	41	2	1920	100	96000	800	1856
410003	41	3	3840	100	192000	1200	2796
410004	41	4	7680	100	384000	1600	3736
410005	41	5	15360	100	768000	2000	4676
410006	41	6	30720	100	1536000	2400	5616
410007	41	7	61440	100	3072000	2800	6556
410008	41	8	122880	100	6144000	3200	7496
410009	41	9	245760	100	12288000	3600	8436
410010	41	10	245760	100	24576000	4000	9376
420001	42	1	960	100	24000	200	455
420002	42	2	1920	100	96000	400	925
420003	42	3	3840	100	192000	600	1395
420004	42	4	7680	100	384000	800	1865
420005	42	5	15360	100	768000	1000	2335
420006	42	6	30720	100	1536000	1200	2805
420007	42	7	61440	100	3072000	1400	3275
420008	42	8	122880	100	6144000	1600	3745
420009	42	9	245760	100	12288000	1800	4215
420010	42	10	245760	100	24576000	2000	4685
430001	43	1	960	100	24000	160	339
430002	43	2	1920	100	96000	320	715
430003	43	3	3840	100	192000	480	1091
430004	43	4	7680	100	384000	640	1467
430005	43	5	15360	100	768000	800	1843
430006	43	6	30720	100	1536000	960	2219
430007	43	7	61440	100	3072000	1120	2595
430008	43	8	122880	100	6144000	1280	2971
430009	43	9	245760	100	12288000	1440	3347
430010	43	10	245760	100	24576000	1600	3723
440001	44	1	960	100	24000	400	903
440002	44	2	1920	100	96000	800	1843
440003	44	3	3840	100	192000	1200	2783
440004	44	4	7680	100	384000	1600	3723
440005	44	5	15360	100	768000	2000	4663
440006	44	6	30720	100	1536000	2400	5603
440007	44	7	61440	100	3072000	2800	6543
440008	44	8	122880	100	6144000	3200	7483
440009	44	9	245760	100	12288000	3600	8423
440010	44	10	245760	100	24576000	4000	9363
450001	45	1	960	100	24000	300	320
450002	45	2	1920	100	96000	600	790
450003	45	3	3840	100	192000	900	1260
450004	45	4	7680	100	384000	1200	1730
450005	45	5	15360	100	768000	1500	2200
450006	45	6	30720	100	1536000	1800	2670
450007	45	7	61440	100	3072000	2100	3140
450008	45	8	122880	100	6144000	2400	3610
450009	45	9	245760	100	12288000	2700	4080
450010	45	10	245760	100	24576000	3000	4550
460001	46	1	960	100	24000	200	213
460002	46	2	1920	100	96000	400	527
460003	46	3	3840	100	192000	600	840
460004	46	4	7680	100	384000	800	1153
460005	46	5	15360	100	768000	1000	1467
460006	46	6	30720	100	1536000	1200	1780
460007	46	7	61440	100	3072000	1400	2093
460008	46	8	122880	100	6144000	1600	2407
460009	46	9	245760	100	12288000	1800	2720
460010	46	10	245760	100	24576000	2000	3033
470001	47	1	960	100	24000	250	267
470002	47	2	1920	100	96000	500	658
470003	47	3	3840	100	192000	750	1050
470004	47	4	7680	100	384000	1000	1442
470005	47	5	15360	100	768000	1250	1833
470006	47	6	30720	100	1536000	1500	2225
470007	47	7	61440	100	3072000	1750	2617
470008	47	8	122880	100	6144000	2000	3008
470009	47	9	245760	100	12288000	2250	3400
470010	47	10	245760	100	24576000	2500	3792
480001	48	1	960	100	24000	400	427
480002	48	2	1920	100	96000	800	1053
480003	48	3	3840	100	192000	1200	1680
480004	48	4	7680	100	384000	1600	2307
480005	48	5	15360	100	768000	2000	2933
480006	48	6	30720	100	1536000	2400	3560
480007	48	7	61440	100	3072000	2800	4187
480008	48	8	122880	100	6144000	3200	4813
480009	48	9	245760	100	12288000	3600	5440
480010	48	10	245760	100	24576000	4000	6067
490001	49	1	960	100	24000	250	267
490002	49	2	1920	100	96000	500	658
490003	49	3	3840	100	192000	750	1050
490004	49	4	7680	100	384000	1000	1442
490005	49	5	15360	100	768000	1250	1833
490006	49	6	30720	100	1536000	1500	2225
490007	49	7	61440	100	3072000	1750	2617
490008	49	8	122880	100	6144000	2000	3008
490009	49	9	245760	100	12288000	2250	3400
490010	49	10	245760	100	24576000	2500	3792
500001	50	1	960	100	24000	400	427
500002	50	2	1920	100	96000	800	1053
500003	50	3	3840	100	192000	1200	1680
500004	50	4	7680	100	384000	1600	2307
500005	50	5	15360	100	768000	2000	2933
500006	50	6	30720	100	1536000	2400	3560
500007	50	7	61440	100	3072000	2800	4187
500008	50	8	122880	100	6144000	3200	4813
500009	50	9	245760	100	12288000	3600	5440
500010	50	10	245760	100	24576000	4000	6067
510001	51	1	1200	100	120000	0	240
520001	52	1	1440	100	36000	300,100	548
520002	52	2	2880	100	144000	600,200	1253
520003	52	3	5760	100	288000	900,300	1958
520004	52	4	11520	100	576000	1200,400	2663
520005	52	5	23040	100	1152000	1500,500	3368
520006	52	6	46080	100	2304000	1800,600	4073
520007	52	7	92160	100	4608000	2100,700	4778
520008	52	8	184320	100	9216000	2400,800	5483
520009	52	9	368640	100	18432000	2700,900	6188
520010	52	10	368640	100	36864000	3000,1000	6893
530001	53	1	1440	100	36000	400,100	654
530002	53	2	2880	100	144000	800,200	1516
530003	53	3	5760	100	288000	1200,300	2378
530004	53	4	11520	100	576000	1600,400	3239
530005	53	5	23040	100	1152000	2000,500	4101
530006	53	6	46080	100	2304000	2400,600	4963
530007	53	7	92160	100	4608000	2800,700	5824
530008	53	8	184320	100	9216000	3200,800	6686
530009	53	9	368640	100	18432000	3600,900	7548
530010	53	10	368640	100	36864000	4000,1000	8409
540001	54	1	1440	100	36000	400,100	654
540002	54	2	2880	100	144000	800,200	1516
540003	54	3	5760	100	288000	1200,300	2378
540004	54	4	11520	100	576000	1600,400	3239
540005	54	5	23040	100	1152000	2000,500	4101
540006	54	6	46080	100	2304000	2400,600	4963
540007	54	7	92160	100	4608000	2800,700	5824
540008	54	8	184320	100	9216000	3200,800	6686
540009	54	9	368640	100	18432000	3600,900	7548
540010	54	10	368640	100	36864000	4000,1000	8409
550001	55	1	1440	100	36000	200,80	309
550002	55	2	2880	100	144000	400,160	797
550003	55	3	5760	100	288000	600,240	1285
550004	55	4	11520	100	576000	800,320	1773
550005	55	5	23040	100	1152000	1000,400	2261
550006	55	6	46080	100	2304000	1200,480	2749
550007	55	7	92160	100	4608000	1400,560	3237
550008	55	8	184320	100	9216000	1600,640	3725
550009	55	9	368640	100	18432000	1800,720	4213
550010	55	10	368640	100	36864000	2000,800	4701
560001	56	1	1440	100	36000	250,80	436
560002	56	2	2880	100	144000	500,160	1016
560003	56	3	5760	100	288000	750,240	1595
560004	56	4	11520	100	576000	1000,320	2175
560005	56	5	23040	100	1152000	1250,400	2755
560006	56	6	46080	100	2304000	1500,480	3334
560007	56	7	92160	100	4608000	1750,560	3914
560008	56	8	184320	100	9216000	2000,640	4494
560009	56	9	368640	100	18432000	2250,720	5073
560010	56	10	368640	100	36864000	2500,800	5653
570001	57	1	1440	100	36000	250,80	436
570002	57	2	2880	100	144000	500,160	1016
570003	57	3	5760	100	288000	750,240	1595
570004	57	4	11520	100	576000	1000,320	2175
570005	57	5	23040	100	1152000	1250,400	2755
570006	57	6	46080	100	2304000	1500,480	3334
570007	57	7	92160	100	4608000	1750,560	3914
570008	57	8	184320	100	9216000	2000,640	4494
570009	57	9	368640	100	18432000	2250,720	5073
570010	57	10	368640	100	36864000	2500,800	5653
580001	58	1	1440	100	36000	200,200	913
580002	58	2	2880	100	144000	400,400	1853
580003	58	3	5760	100	288000	600,600	2793
580004	58	4	11520	100	576000	800,800	3733
580005	58	5	23040	100	1152000	1000,1000	4673
580006	58	6	46080	100	2304000	1200,1200	5613
580007	58	7	92160	100	4608000	1400,1400	6553
580008	58	8	184320	100	9216000	1600,1600	7493
580009	58	9	368640	100	18432000	1800,1800	8433
580010	58	10	368640	100	36864000	2000,2000	9373
590001	59	1	1440	100	36000	160,200	797
590002	59	2	2880	100	144000	320,400	1643
590003	59	3	5760	100	288000	480,600	2489
590004	59	4	11520	100	576000	640,800	3335
590005	59	5	23040	100	1152000	800,1000	4181
590006	59	6	46080	100	2304000	960,1200	5027
590007	59	7	92160	100	4608000	1120,1400	5873
590008	59	8	184320	100	9216000	1280,1600	6719
590009	59	9	368640	100	18432000	1440,1800	7565
590010	59	10	368640	100	36864000	1600,2000	8411
600001	60	1	1440	100	36000	400,200	1361
600002	60	2	2880	100	144000	800,400	2771
600003	60	3	5760	100	288000	1200,600	4181
600004	60	4	11520	100	576000	1600,800	5591
600005	60	5	23040	100	1152000	2000,1000	7001
600006	60	6	46080	100	2304000	2400,1200	8411
600007	60	7	92160	100	4608000	2800,1400	9821
600008	60	8	184320	100	9216000	3200,1600	11231
600009	60	9	368640	100	18432000	3600,1800	12641
600010	60	10	368640	100	36864000	4000,2000	14051
610001	61	1	720	100	18000	150,50	105
610002	61	2	1440	100	72000	300,100	310
610003	61	3	2880	100	144000	450,150	515
610004	61	4	5760	100	288000	600,200	720
610005	61	5	11520	100	576000	750,250	925
610006	61	6	23040	100	1152000	900,300	1130
610007	61	7	46080	100	2304000	1050,350	1335
610008	61	8	92160	100	4608000	1200,400	1540
610009	61	9	184320	100	9216000	1350,450	1745
610010	61	10	184320	100	18432000	1500,500	1950
620001	62	1	720	100	18000	200,50	128
620002	62	2	1440	100	72000	400,100	377
620003	62	3	2880	100	144000	600,150	625
620004	62	4	5760	100	288000	800,200	873
620005	62	5	11520	100	576000	1000,250	1122
620006	62	6	23040	100	1152000	1200,300	1370
620007	62	7	46080	100	2304000	1400,350	1618
620008	62	8	92160	100	4608000	1600,400	1867
620009	62	9	184320	100	9216000	1800,450	2115
620010	62	10	184320	100	18432000	2000,500	2363
630001	63	1	720	100	18000	200,50	128
630002	63	2	1440	100	72000	400,100	377
630003	63	3	2880	100	144000	600,150	625
630004	63	4	5760	100	288000	800,200	873
630005	63	5	11520	100	576000	1000,250	1122
630006	63	6	23040	100	1152000	1200,300	1370
630007	63	7	46080	100	2304000	1400,350	1618
630008	63	8	92160	100	4608000	1600,400	1867
630009	63	9	184320	100	9216000	1800,450	2115
630010	63	10	184320	100	18432000	2000,500	2363
640001	64	1	720	100	18000	100,40	75
640002	64	2	1440	100	72000	200,80	221
640003	64	3	2880	100	144000	300,120	368
640004	64	4	5760	100	288000	400,160	515
640005	64	5	11520	100	576000	500,200	661
640006	64	6	23040	100	1152000	600,240	808
640007	64	7	46080	100	2304000	700,280	955
640008	64	8	92160	100	4608000	800,320	1101
640009	64	9	184320	100	9216000	900,360	1248
640010	64	10	184320	100	18432000	1000,400	1395
650001	65	1	720	100	18000	125,40	86
650002	65	2	1440	100	72000	250,80	255
650003	65	3	2880	100	144000	375,120	423
650004	65	4	5760	100	288000	500,160	591
650005	65	5	11520	100	576000	625,200	760
650006	65	6	23040	100	1152000	750,240	928
650007	65	7	46080	100	2304000	875,280	1096
650008	65	8	92160	100	4608000	1000,320	1265
650009	65	9	184320	100	9216000	1125,360	1433
650010	65	10	184320	100	18432000	1250,400	1601
660001	66	1	720	100	18000	125,40	86
660002	66	2	1440	100	72000	250,80	255
660003	66	3	2880	100	144000	375,120	423
660004	66	4	5760	100	288000	500,160	591
660005	66	5	11520	100	576000	625,200	760
660006	66	6	23040	100	1152000	750,240	928
660007	66	7	46080	100	2304000	875,280	1096
660008	66	8	92160	100	4608000	1000,320	1265
660009	66	9	184320	100	9216000	1125,360	1433
660010	66	10	184320	100	18432000	1250,400	1601
670001	67	1	720	100	18000	100,100	140
670002	67	2	1440	100	72000	200,200	440
670003	67	3	2880	100	144000	300,300	740
670004	67	4	5760	100	288000	400,400	1040
670005	67	5	11520	100	576000	500,500	1340
670006	67	6	23040	100	1152000	600,600	1640
670007	67	7	46080	100	2304000	700,700	1940
670008	67	8	92160	100	4608000	800,800	2240
670009	67	9	184320	100	9216000	900,900	2540
670010	67	10	184320	100	18432000	1000,1000	2840
680001	68	1	720	100	18000	80,100	126
680002	68	2	1440	100	72000	160,200	396
680003	68	3	2880	100	144000	240,300	666
680004	68	4	5760	100	288000	320,400	936
680005	68	5	11520	100	576000	400,500	1206
680006	68	6	23040	100	1152000	480,600	1476
680007	68	7	46080	100	2304000	560,700	1746
680008	68	8	92160	100	4608000	640,800	2016
680009	68	9	184320	100	9216000	720,900	2286
680010	68	10	184320	100	18432000	800,1000	2556
690001	69	1	720	100	18000	200,100	210
690002	69	2	1440	100	72000	400,200	660
690003	69	3	2880	100	144000	600,300	1110
690004	69	4	5760	100	288000	800,400	1560
690005	69	5	11520	100	576000	1000,500	2010
690006	69	6	23040	100	1152000	1200,600	2460
690007	69	7	46080	100	2304000	1400,700	2910
690008	69	8	92160	100	4608000	1600,800	3360
690009	69	9	184320	100	9216000	1800,900	3810
690010	69	10	184320	100	18432000	2000,1000	4260
