ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径	orderId	套装
11	雪走	1	2	良快刀之一，狭长锋利，刀身弧度小，是索隆早期使用的佩刀之一。	97	7.7	equipposter/poster_weapon_xuezou.png	equipposter/poster_weapon_xuezou.png	equiptex/tex_weapon_xuezou.png	190	none
12	花洲	1	2	良快刀之一，刀身有像火焰般的纹路，锋利无比。	97	6.5	equipposter/poster_weapon_huazhou.png	equipposter/poster_weapon_huazhou.png	equiptex/tex_weapon_huazhou.png	191	none
13	狙击火枪	1	2	长筒狙击火枪，配有瞄准镜，在很远的距离也可以准确定位敌人。	95	6.4	equipposter/poster_weapon_jujihuoqiang.png	equipposter/poster_weapon_jujihuoqiang.png	equiptex/tex_weapon_jujihuoqiang.png	192	none
14	天候棒	1	2	乌索普为娜美制造的武器。三截式长棍，可进行不同的组合，释放出多种天候技能。	91	6.4	equipposter/poster_weapon_tianhoubang.png	equipposter/poster_weapon_tianhoubang.png	equiptex/tex_weapon_tianhoubang.png	193	none
15	拐杖剑	1	2	长的很像紫色的拐杖，实则为西洋剑的一种。剑刃细长成圆锥状，适合突刺。	90	6.3	equipposter/poster_weapon_guaizhangjian.png	equipposter/poster_weapon_guaizhangjian.png	equiptex/tex_weapon_guaizhangjian.png	194	none
16	黑兜	1	2	绿色的巨型弹弓，比普通弹弓准确性和攻击强度都有大幅度提升，射程也更远。	89	5.1	equipposter/poster_weapon_heidou.png	equipposter/poster_weapon_heidou.png	equiptex/tex_weapon_heidou.png	195	none
17	花剑	1	2	剑身横断面为矩形，护手盘小，典型的突刺型击剑。	84	5	equipposter/poster_weapon_huajian.png	equipposter/poster_weapon_huajian.png	equiptex/tex_weapon_huajian.png	196	none
18	武士太刀	1	3	削铁如泥，无坚不摧	60	3.5	equipposter/poster_weapon_wushitaidao.png	equipposter/poster_weapon_wushitaidao.png	equiptex/tex_weapon_wushitaidao.png	213	none
19	大战枪	1	3	削铁如泥，无坚不摧	58	3.5	equipposter/poster_weapon_dazhanqiang.png	equipposter/poster_weapon_dazhanqiang.png	equiptex/tex_weapon_dazhanqiang.png	214	none
20	iPhone7Splus	1	5	iPhone7Splus，是海贼苹果公司研发的智能武器，它搭载iOS操作系统，强大的性能，让你称霸海贼世界。	800	30.5	equipposter/poster_ip.png	equipposter/poster_ip.png	equiptex/tex_weapon_sandaiguiche.png	215	none
21	时雨	1	3	快刀之一，做工精良，狭长轻盈，适合女子使用。	55	3.4	equipposter/poster_weapon_shiyu.png	equipposter/poster_weapon_shiyu.png	equiptex/tex_weapon_shiyu.png	216	none
22	廓尔喀弯刀	1	3	多功能的小刀，刀身底部会有小小的V形凹痕，可以将拔出后的鲜血导引，以免沾污刀柄。	54	3.3	equipposter/poster_weapon_kuoerkawandao.png	equipposter/poster_weapon_kuoerkawandao.png	equiptex/tex_weapon_kuoerkawandao.png	217	none
23	长剑	1	3	普通的长剑，因为剑身较长，要求使用者有高超的技巧和灵动的身法才能发挥威力。	46	3.2	equipposter/poster_weapon_changjian.png	equipposter/poster_weapon_changjian.png	equiptex/tex_weapon_changjian.png	218	none
24	巨锤	1	3	巨型的大锤子，身强力壮的勇猛之人喜欢使用的武器。	42	3.2	equipposter/poster_weapon_juchui.png	equipposter/poster_weapon_juchui.png	equiptex/tex_weapon_juchui.png	219	none
25	制式手枪	1	3	常见的制式手枪，是火器交战的常用武器，多数人都会使用，但准度就因人而异了。	40	3.2	equipposter/poster_weapon_zhishishouqiang.png	equipposter/poster_weapon_zhishishouqiang.png	equiptex/tex_weapon_zhishishouqiang.png	220	none
26	战斧	1	3	普通的战斧，最利于进行劈砍动作，力气见长者喜爱使用。	39	3	equipposter/poster_weapon_zhanfu.png	equipposter/poster_weapon_zhanfu.png	equiptex/tex_weapon_zhanfu.png	221	none
27	十手	1	3	类似叉子状的武器，虽然短小，却精悍灵活，对使用者的灵巧性要求较高。	38	2.9	equipposter/poster_weapon_shishou.png	equipposter/poster_weapon_shishou.png	equiptex/tex_weapon_shishou.png	222	none
28	皮鞭	1	3	普通的皮鞭，抽打到人身上一定很疼，你不会多想吧？	36	2.8	equipposter/poster_weapon_pibian.png	equipposter/poster_weapon_pibian.png	equiptex/tex_weapon_pibian.png	223	none
29	猫爪	1	3	像猫爪一样锋利的指套，可轻易切开或撕裂对手。	35	2.8	equipposter/poster_weapon_maozhua.png	equipposter/poster_weapon_maozhua.png	equiptex/tex_weapon_maozhua.png	224	none
30	大剪刀	1	4	特制的巨大剪刀，能轻易的剪开敌人，是种比较少见的偏门武器。	23	2.4	equipposter/poster_weapon_dajiandao.png	equipposter/poster_weapon_dajiandao.png	equiptex/tex_weapon_dajiandao.png	237	none
31	锋利餐刀	1	4	厨师最爱使用的小刀，可切菜，也可切人。	22	2.3	equipposter/poster_weapon_fenglicandao.png	equipposter/poster_weapon_fenglicandao.png	equiptex/tex_weapon_fenglicandao.png	238	none
32	海贼小刀	1	4	海贼们常用的小刀，携带方便，用途多样。	21	2.3	equipposter/poster_weapon_haizeixiaodao.png	equipposter/poster_weapon_haizeixiaodao.png	equiptex/tex_weapon_haizeixiaodao.png	239	none
33	拳击手套	1	4	拳击手使用的手套，在保护手的同时，但也降低了攻击的杀伤力。	20	2.3	equipposter/poster_weapon_quanjishoutao.png	equipposter/poster_weapon_quanjishoutao.png	equiptex/tex_weapon_quanjishoutao.png	240	none
34	球棒	1	4	普通的棒球棒，可以用力挥击打向敌人，或者击打其它道具。	20	2.2	equipposter/poster_weapon_qiubang.png	equipposter/poster_weapon_qiubang.png	equiptex/tex_weapon_qiubang.png	241	none
35	铁环	1	4	铁质的圆环，边缘锋利无比，可握在手里，也可投掷出去。	20	2	equipposter/poster_weapon_tiehuan.png	equipposter/poster_weapon_tiehuan.png	equiptex/tex_weapon_tiehuan.png	242	none
36	狼牙棒	1	4	长满铁质尖刺的狼牙棒，看上去就很有杀伤力。	20	1.9	equipposter/poster_weapon_langyabang.png	equipposter/poster_weapon_langyabang.png	equiptex/tex_weapon_langyabang.png	243	none
37	长枪	1	4	普通的长枪，骑士作战时最爱使用的武器，虽然挥动起来比较笨拙，但冲刺攻击效果不错。	19	1.8	equipposter/poster_weapon_changqiang.png	equipposter/poster_weapon_changqiang.png	equiptex/tex_weapon_changqiang.png	244	none
38	十字战甲	2	1	胸前刻有十字的神圣战甲，传说接受了神明的祝福，而拥有无比强大的防御力。	112	8.8	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	131	none
39	火烈鸟大氅	2	1	使用上千火烈鸟羽毛编织而成的大氅，柔软舒适，华贵无比。	99	8.1	equipposter/poster_clothes_huolieniaodachang.png	equipposter/poster_clothes_huolieniaodachang.png	equiptex/tex_clothes_huolieniaodachang.png	138	none
40	战神头盔	2	1	传说中巨人信仰的战神所戴的头盔，被赋予了无尽的勇气和不屈意志。	101	7.9	equipposter/poster_clothes_zhanshentoukui.png	equipposter/poster_clothes_zhanshentoukui.png	equiptex/tex_clothes_zhanshentoukui.png	135	none
41	统治者披风	2	1	上位统治者专属的披风，系上之后威风凛凛，尽显王者之风。	98	7.8	equipposter/poster_clothes_tongzhizhepifeng.png	equipposter/poster_clothes_tongzhizhepifeng.png	equiptex/tex_clothes_tongzhizhepifeng.png	139	none
42	玫瑰战甲	2	1	粉色的战甲，上面镂刻着朵朵盛开的玫瑰，美艳绝伦。	100	7.8	equipposter/poster_clothes_meiguizhanjia.png	equipposter/poster_clothes_meiguizhanjia.png	equiptex/tex_clothes_meiguizhanjia.png	136	none
43	黄金甲	2	2	纯金打造的全身战甲，熠熠生辉，且防御力不俗。但沉重笨拙的缺点也十分明显。	63	4.7	equipposter/poster_clothes_huangjinjia.png	equipposter/poster_clothes_huangjinjia.png	equiptex/tex_clothes_huangjinjia.png	177	none
44	恶魔斗篷	2	2	恶魔穿着的斗篷，每时每刻都透露着一股诡异邪魅的气息。	62	4.5	equipposter/poster_clothes_emodoupeng.png	equipposter/poster_clothes_emodoupeng.png	equiptex/tex_clothes_emodoupeng.png	178	none
45	公爵帽	2	2	公爵们经常佩戴的帽子，黑色宽严，插有天鹅羽毛，柔软舒适。	60	4.3	equipposter/poster_clothes_gongjuemao.png	equipposter/poster_clothes_gongjuemao.png	equiptex/tex_clothes_gongjuemao.png	179	none
46	正义大氅	2	2	海军将领穿着的大氅，在背后写着正义两个大字。	59	4.1	equipposter/poster_clothes_zhengyidachang.png	equipposter/poster_clothes_zhengyidachang.png	equiptex/tex_clothes_zhengyidachang.png	180	none
47	贵族披风	2	2	贵族常用的披风，柔软轻盈，顺滑无比。	55	4.1	equipposter/poster_clothes_guizupifeng.png	equipposter/poster_clothes_guizupifeng.png	equiptex/tex_clothes_guizupifeng.png	181	none
48	天空骑士	2	2	空岛骑士所戴的头盔，两侧有羽翼状的装饰，十分容易辨认。	54	4	equipposter/poster_clothes_tiankongqishi.png	equipposter/poster_clothes_tiankongqishi.png	equiptex/tex_clothes_tiankongqishi.png	182	none
49	吸血鬼斗篷	2	2	传闻是吸血鬼们常穿的斗篷，尖领圆围，质地似皮，穿上后仿若蝙蝠。	50	3.9	equipposter/poster_clothes_xixueguidoupeng.png	equipposter/poster_clothes_xixueguidoupeng.png	equiptex/tex_clothes_xixueguidoupeng.png	183	none
50	船长帽	2	2	海贼船长们才有资格戴的帽子，往往在中间有骷髅刺绣。	46	3.6	equipposter/poster_clothes_chuangzhangmao.png	equipposter/poster_clothes_chuangzhangmao.png	equiptex/tex_clothes_chuangzhangmao.png	184	none
51	冒险者长袍	2	3	四处冒险的旅人们常穿的长袍，轻便紧身，易于行动。	30	2.3	equipposter/poster_clothes_maoxianzhechangpao.png	equipposter/poster_clothes_maoxianzhechangpao.png	equiptex/tex_clothes_maoxianzhechangpao.png	204	none
52	护目镜皮帽	2	3	带有护目镜的皮帽，将护目镜放下后可防风防尘。	29	2.2	equipposter/poster_clothes_humujingpimao.png	equipposter/poster_clothes_humujingpimao.png	equiptex/tex_clothes_humujingpimao.png	205	none
53	流浪者斗篷	2	3	流浪者们穿着的斗篷，虽然简陋破旧，却更为坚韧耐磨。	26	2.2	equipposter/poster_clothes_liulangzhedoupeng.png	equipposter/poster_clothes_liulangzhedoupeng.png	equiptex/tex_clothes_liulangzhedoupeng.png	206	none
54	海军制服	2	3	海军常见的制服，朴素统一，简约实用。	26	2.1	equipposter/poster_clothes_haijunzhifu.png	equipposter/poster_clothes_haijunzhifu.png	equiptex/tex_clothes_haijunzhifu.png	207	none
55	圆顶礼帽	2	3	圆顶的黑色礼帽，利用硬式材质来保护头部，是绅士的象征。	25	2.1	equipposter/poster_clothes_yuandinglimao.png	equipposter/poster_clothes_yuandinglimao.png	equiptex/tex_clothes_yuandinglimao.png	208	none
56	海贼头巾	2	3	普通海贼们常围在头上的头巾，可防止头发受潮。	25	2	equipposter/poster_clothes_haizeitoujin.png	equipposter/poster_clothes_haizeitoujin.png	equiptex/tex_clothes_haizeitoujin.png	209	none
57	铁壁	2	3	铁质的大圆盾，可较大范围的防护身体。	24	2	equipposter/poster_clothes_tiebi.png	equipposter/poster_clothes_tiebi.png	equiptex/tex_clothes_tiebi.png	210	none
58	贝雷帽	2	3	白色的贝雷帽，空岛卫兵的象征性装扮。	24	1.9	equipposter/poster_clothes_beileimao.png	equipposter/poster_clothes_beileimao.png	equiptex/tex_clothes_beileimao.png	211	none
59	海贼帽	2	3	普通海贼戴的帽子，没有什么特色。	23	1.8	equipposter/poster_clothes_haizeimao.png	equipposter/poster_clothes_haizeimao.png	equiptex/tex_clothes_haizeimao.png	212	none
60	海贼披风	2	4	普通海贼系着的披风，没有什么特色。	15	1.2	equipposter/poster_clothes_haizeipifeng.png	equipposter/poster_clothes_haizeipifeng.png	equiptex/tex_clothes_haizeipifeng.png	231	none
61	三角泳裤	2	4	三角形的泳裤，穿上之后一定会很性感，走在大街上会引起骚动。	14	1.1	equipposter/poster_clothes_sanjiaoyongku.png	equipposter/poster_clothes_sanjiaoyongku.png	equiptex/tex_clothes_sanjiaoyongku.png	232	none
62	水手头巾	2	4	普通水手戴的头巾，能一定程度上防止头发受潮。	14	1.1	equipposter/poster_clothes_shuishoutoujin.png	equipposter/poster_clothes_shuishoutoujin.png	equiptex/tex_clothes_shuishoutoujin.png	233	none
63	厨师帽	2	4	厨师们带着的帽子，据说帽子越高，则代表这名厨师的技艺越高超。	13	1	equipposter/poster_clothes_chushimao.png	equipposter/poster_clothes_chushimao.png	equiptex/tex_clothes_chushimao.png	234	none
64	草帽	2	4	普普通通的草帽，甚至还因为长期佩戴，使得边缘有了些许破损，却拥有着非凡的意义与约定。	13	1	equipposter/poster_clothes_caomao.png	equipposter/poster_clothes_caomao.png	equiptex/tex_clothes_caomao.png	235	none
65	旅者长衫	2	4	旅行者穿着的长衫，价格便宜，坏了就换件新的吧。	12	0.9	equipposter/poster_clothes_lvzhechangshan.png	equipposter/poster_clothes_lvzhechangshan.png	equiptex/tex_clothes_lvzhechangshan.png	236	none
66	命运流火	3	1	不知名的材料制作而成，仿佛一团火焰在水晶中流动，充满着命运的神秘感。	340	26.9	equipposter/poster_jewelry_mingyunliuhuo.png	equipposter/poster_jewelry_mingyunliuhuo.png	equiptex/tex_jewelry_mingyunliuhuo.png	118	none
67	死亡诱惑	3	1	骷髅状的挂饰，直视它空洞的双瞳，就会沉入死亡的阴影之中，只有意志坚强者才能佩戴。	325	23.8	equipposter/poster_jewelry_siwangyouhuo.png	equipposter/poster_jewelry_siwangyouhuo.png	equiptex/tex_jewelry_siwangyouhuo.png	119	none
68	十字挂饰	3	1	十字型的华丽挂饰，上面镶嵌着宝石，熠熠生辉，充斥着神圣而高贵的气息。	310	23.4	equipposter/poster_jewelry_shiziguashi.png	equipposter/poster_jewelry_shiziguashi.png	equiptex/tex_jewelry_shiziguashi.png	120	none
69	深海之眼	3	1	银色的戒指上，镶嵌着深蓝色的巨大宝石，仿佛海神之眼，幽蓝而深邃。	300	23.3	equipposter/poster_jewelry_shenhaizhiyan.png	equipposter/poster_jewelry_shenhaizhiyan.png	equiptex/tex_jewelry_shenhaizhiyan.png	122	none
70	诱惑之瞳	3	1	金色的戒指上镶嵌着巨大的紫色宝石，神秘妖冶，充满诱惑。	290	22.8	equipposter/poster_jewelry_youhuozhitong.png	equipposter/poster_jewelry_youhuozhitong.png	equiptex/tex_jewelry_youhuozhitong.png	130	none
71	贵族项链	3	2	贵族们佩戴的项链，做工精细，华贵无比。	196	15.3	equipposter/poster_jewelry_guizuxianglian.png	equipposter/poster_jewelry_guizuxianglian.png	equiptex/tex_jewelry_guizuxianglian.png	174	none
72	飞翔之翼	3	2	戒指的环扣处设计了羽翼一般的造型，仿若展翅欲飞，故而得名。	196	15.3	equipposter/poster_jewelry_feixiangzhiyi.png	equipposter/poster_jewelry_feixiangzhiyi.png	equiptex/tex_jewelry_feixiangzhiyi.png	175	none
73	骷髅项链	3	2	骷髅造型的项链，海贼们最喜欢佩戴的首饰之一。	200	14.9	equipposter/poster_jewelry_kulouxianglian.png	equipposter/poster_jewelry_kulouxianglian.png	equiptex/tex_jewelry_kulouxianglian.png	170	none
74	勾玉转轮	3	2	勾玉状的转轮，传说为天照大神束发所用，常被当做与神联系的媒介。	198	13.8	equipposter/poster_jewelry_gouyuzhuanlun.png	equipposter/poster_jewelry_gouyuzhuanlun.png	equiptex/tex_jewelry_gouyuzhuanlun.png	173	none
75	金蛇耳环	3	2	纯金打造的蛇形耳环，曲线优美，妖娆动人。	200	13.6	equipposter/poster_jewelry_jinsheerhuan.png	equipposter/poster_jewelry_jinsheerhuan.png	equiptex/tex_jewelry_jinsheerhuan.png	171	none
76	兽骨挂饰	3	2	凶兽骨头所制的挂饰，象征着佩戴者的无上勇气与狂野战力。	200	13.5	equipposter/poster_jewelry_shouguguashi.png	equipposter/poster_jewelry_shouguguashi.png	equiptex/tex_jewelry_shouguguashi.png	172	none
77	金戒指	3	2	纯金打造的戒指，价格高昂，有钱有势的人才会佩戴。	204	13.1	equipposter/poster_jewelry_jinjiezhi.png	equipposter/poster_jewelry_jinjiezhi.png	equiptex/tex_jewelry_jinjiezhi.png	169	none
78	金耳环	3	2	纯金打造的耳环，价格高昂，有钱有势的人才会佩戴。	196	13	equipposter/poster_jewelry_jinerhuan.png	equipposter/poster_jewelry_jinerhuan.png	equiptex/tex_jewelry_jinerhuan.png	176	none
79	海星项链	3	3	海星造型的项链，上面镶嵌着珍珠，使其更具海洋的气息。	125	8.8	equipposter/poster_jewelry_haixingxianglian.png	equipposter/poster_jewelry_haixingxianglian.png	equiptex/tex_jewelry_haixingxianglian.png	197	none
80	海星手镯	3	3	镶嵌着黄金质地五角星的手镯，造型优美，价格不菲。	122	8.5	equipposter/poster_jewelry_haixingshouzhuo.png	equipposter/poster_jewelry_haixingshouzhuo.png	equiptex/tex_jewelry_haixingshouzhuo.png	198	none
81	银质怀表	3	3	白银打造的怀表，不但可以作为装饰品，更可以提高佩戴者的时间观念。	120	8.2	equipposter/poster_jewelry_yinzhihuaibiao.png	equipposter/poster_jewelry_yinzhihuaibiao.png	equiptex/tex_jewelry_yinzhihuaibiao.png	199	none
82	水晶吊坠	3	3	普通水晶打造的吊坠，晶莹剔透，美轮美奂。	114	7.9	equipposter/poster_jewelry_shuijingdiaozhui.png	equipposter/poster_jewelry_shuijingdiaozhui.png	equiptex/tex_jewelry_shuijingdiaozhui.png	200	none
83	蓝水晶挂饰	3	3	蓝水晶打造的吊坠，晶莹剔透，美轮美奂。	113	7.6	equipposter/poster_jewelry_lanshuijingguashi.png	equipposter/poster_jewelry_lanshuijingguashi.png	equiptex/tex_jewelry_lanshuijingguashi.png	201	none
84	紫水晶挂饰	3	3	紫水晶打造的吊坠，晶莹剔透，美轮美奂。	110	7.5	equipposter/poster_jewelry_zishuijingguashi.png	equipposter/poster_jewelry_zishuijingguashi.png	equiptex/tex_jewelry_zishuijingguashi.png	202	none
85	珍珠项链	3	3	珍珠串联而成的项链，每颗珍珠都经过严格甄选，圆润有光，价值不菲。	110	7.4	equipposter/poster_jewelry_zhenzhuxianglian.png	equipposter/poster_jewelry_zhenzhuxianglian.png	equiptex/tex_jewelry_zhenzhuxianglian.png	203	none
86	红宝石戒指	3	4	镶嵌着红宝石的戒指，象征着富有和活力。	70	4.4	equipposter/poster_jewelry_hongbaoshijiezhi.png	equipposter/poster_jewelry_hongbaoshijiezhi.png	equiptex/tex_jewelry_hongbaoshijiezhi.png	225	none
87	翡翠项链	3	4	以翡翠饰品作为吊坠的项链，而链子则为白银质地，故而价值一般。	65	4.3	equipposter/poster_jewelry_feicuixianglian.png	equipposter/poster_jewelry_feicuixianglian.png	equiptex/tex_jewelry_feicuixianglian.png	226	none
88	翡翠指环	3	4	表层镶嵌着翡翠的戒指，使得整个戒指呈现出翠绿色。	65	4.1	equipposter/poster_jewelry_feicuizhihuan.png	equipposter/poster_jewelry_feicuizhihuan.png	equiptex/tex_jewelry_feicuizhihuan.png	227	none
89	银戒指	3	4	纯银打造的戒指，平淡无奇，普通人也能买得起的常见首饰。	63	3.9	equipposter/poster_jewelry_yinjiezhi.png	equipposter/poster_jewelry_yinjiezhi.png	equiptex/tex_jewelry_yinjiezhi.png	228	none
90	生铁戒指	3	4	生铁打造的戒指，朴素平淡，坚固耐用。	59	3.9	equipposter/poster_jewelry_shengtiejiezhi.png	equipposter/poster_jewelry_shengtiejiezhi.png	equiptex/tex_jewelry_shengtiejiezhi.png	229	none
91	生铁项链	3	4	生铁打造的项链，朴素平淡，坚固耐用。	58	3.9	equipposter/poster_jewelry_shengtiexianglian.png	equipposter/poster_jewelry_shengtiexianglian.png	equiptex/tex_jewelry_shengtiexianglian.png	230	none
92	霸海	1	1	外表看上去极其普通的弯刀，据说只有被认可的海上霸者，才能发挥其蕴含着的神秘力量。	220	15.8	equipposter/poster_weapon_bahai.png	equipposter/poster_weapon_bahai.png	equiptex/tex_weapon_bahai.png	148	none
93	海皇三叉戟	1	1	据传为海皇所用的三叉戟神器，既能掀起狂暴的海浪，也能召唤海兽为其效力。	195	14.2	equipposter/poster_weapon_haihuangsanchaji.png	equipposter/poster_weapon_haihuangsanchaji.png	equiptex/tex_weapon_haihuangsanchaji.png	150	none
94	海神羽织	2	1	被海神祝福过的羽衣，如丝带一般，轻盈飘逸。	107	9.2	equipposter/poster_clothes_haishenyuzhi.png	equipposter/poster_clothes_haishenyuzhi.png	equiptex/tex_clothes_haishenyuzhi.png	133	none
95	王者战衣	2	1	据传是海贼王穿过的大衣，华丽高贵，充满王者霸气。	110	9.5	equipposter/poster_clothes_wangzhezhanyi.png	equipposter/poster_clothes_wangzhezhanyi.png	equiptex/tex_clothes_wangzhezhanyi.png	132	none
96	海洋之心	3	1	鲜艳深蓝色的透明钻石，光芒四射的外表下隐藏着充满厄运与不幸的历史。	364	29.1	equipposter/poster_jewelry_haiyangzhixin.png	equipposter/poster_jewelry_haiyangzhixin.png	equiptex/tex_jewelry_haiyangzhixin.png	116	none
97	神罚[S]	1	5	传说中的灭世神兵，其恐怖的力量犹如天神的惩罚，令人闻风生畏，被拆成碎片封存在世界的各个角落。	600	280.5	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	equipposter/poster_weapon_shenfa.png	106	none
98	狗头帽	2	1	由海王皮制成，海军大将和中将的标志性装扮，海蕴含着神秘的力量，海军最高实力的象征。	105	9.2	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	equipposter/poster_clothes_goutoumao.png	134	none
99	神武器[GM]	1	5	GM专用武器。	9999	500.5	equipposter/poster_weapon_tianwang.png	equipposter/poster_weapon_tianwang.png	equipposter/poster_weapon_tianwang.png	105	none
100	神防具[GM]	2	5	GM专用防具。	9999	500.5	equipposter/poster_clothes_haiwang.png	equipposter/poster_clothes_haiwang.png	equipposter/poster_clothes_haiwang.png	94	none
101	护目镜	2	1	本身是用来保护眼睛不被强光刺激，但是在萨博身上貌似仅仅成为了一个装饰品。	99	9	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	equipposter/poster_clothes_humujing.png	137	none
102	英雄勋章	3	1	前海军元帅，现全军统帅空吾立下赫赫战功，由世界政府最高层亲自颁发给英雄的荣誉的象征。	360	29.3	equipposter/poster_jewelry_zongshuaixunzhang.png	equipposter/poster_jewelry_zongshuaixunzhang.png	equiptex/tex_jewelry_zongshuaixunzhang.png	117	none
103	十字剑	1	1	乱纹钢刃，十字护手，剑下败者数不胜数，不败传说居鲁士的佩剑。	190	14.3	equipposter/poster_weapon_jingjichangtiejian.png	equipposter/poster_weapon_jingjichangtiejian.png	equiptex/tex_weapon_jingjichangtiejian.png	151	none
104	神域[S]	2	5	传说中的守护神所赐予，抵御一切伤害之物，此物不知材质，被化为碎片供奉在世界各地。	450	253.2	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	equipposter/poster_clothes_shenyu.png	95	none
105	神恩[S]	3	5	传说中神之配饰，拥有无限生机，可医死人肉白骨，哪怕沾上一丝气息，也能强身壮体，健步如飞，由于天地巨变被打破，其碎片也不知所踪。	1500	270.8	equipposter/poster_jewelry_shenen.png	equipposter/poster_jewelry_shenen.png	equiptex/tex_jewelry_shenen.png	86	none
106	血色战斧	1	1	沾满了邪恶海盗的鲜血，曾经是赏金猎人们最喜爱的武器	150	10.5	equipposter/poster_weapon_zhanfu.png	equipposter/poster_weapon_zhanfu.png	equiptex/tex_jewelry_zhanfu.png	160	none
107	黑刀夜	1	5	世界最强之黑刀，无上大快刀之一，漆黑的利刃，为乱刃重花丁字型。经过进化后能力更强。	302	22.5	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	108	none
108	王者薙刀	1	5	巨大的长柄薙刀，因为其主人白胡子的缘故，散发出王者霸气。经过进化后能力更强。	284	20.5	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	111	none
109	初代鬼彻	1	5	无上大快刀之一，传说中的妖刀。只有比剑灵强大，才能驾驭，否则最终被吞噬，死于非命。经过进化后能力更强。	267	18.9	equipposter/poster_weapon_chudaiguiche.png	equipposter/poster_weapon_chudaiguiche.png	equiptex/tex_weapon_chudaiguiche.png	112	none
110	七星剑	1	5	闪耀着七星光辉的圣剑，因为受到诅咒，从而成为足以毁天灭地的妖刀。经过进化后能力更强。	254	17.5	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	113	none
111	恶魔战斧	1	5	巨大的战斧，传说为恶魔的兵刃，散发着诡异恐怖的气息。经过进化后能力更强。	246	16.5	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	114	none
