ID	果实ID	等级	升级经验	吞噬经验转换百分比	售价	已解锁孔数	已解锁属性加成	已解锁技能ID	身价
270005	27	5	128000	100	12614500	5	5,11,19,28,37	0	5200
280001	28	1	16000	100	147800	2	5	0	703
280002	28	2	32000	100	1576800	3	5,11	0	1546
280003	28	3	64000	100	3153600	4	5,11,17	0	2389
280004	28	4	128000	100	6307200	5	5,11,17,25	0	3514
280005	28	5	128000	100	12614500	5	5,11,17,25,33	0	4638
290001	29	1	16000	100	147800	2	4	0	562
290002	29	2	32000	100	1576800	3	4,9	0	1265
290003	29	3	64000	100	3153600	4	4,9,15	0	2108
290004	29	4	128000	100	6307200	5	4,9,15,22	0	3092
290005	29	5	128000	100	12614500	5	4,9,15,22,30	0	4217
300001	30	1	16000	100	147800	2	4	0	562
300002	30	2	32000	100	1576800	3	4,9	0	1265
300003	30	3	64000	100	3153600	4	4,9,15	0	2108
300004	30	4	128000	100	6307200	5	4,9,15,22	0	3092
300005	30	5	128000	100	12614500	5	4,9,15,22,31	0	4357
310001	31	1	16000	100	147800	2	7	0	984
310002	31	2	32000	100	1576800	3	7,14	0	1968
310003	31	3	64000	100	3153600	4	7,14,22	0	3092
310004	31	4	128000	100	6307200	5	7,14,22,30	0	4217
310005	31	5	128000	100	12614500	5	7,14,22,30,39	0	5481
320001	32	1	4000	100	73900	2	5	0	213
320002	32	2	8000	100	394200	3	5,10	0	426
320003	32	3	16000	100	788400	4	5,10,16	0	682
320004	32	4	16000	100	1576800	4	5,10,16,22	0	937
330001	33	1	4000	100	73900	2	7	0	298
330002	33	2	8000	100	394200	3	7,14	0	596
330003	33	3	16000	100	788400	4	7,14,21	0	895
330004	33	4	16000	100	1576800	4	7,14,21,28	0	1193
340001	34	1	4000	100	73900	2	5	0	213
340002	34	2	8000	100	394200	3	5,10	0	426
340003	34	3	16000	100	788400	4	5,10,16	0	682
340004	34	4	16000	100	1576800	4	5,10,16,23	0	980
350001	35	1	4000	100	73900	2	5	0	213
350002	35	2	8000	100	394200	3	5,10	0	426
350003	35	3	16000	100	788400	4	5,10,16	0	682
350004	35	4	16000	100	1576800	4	5,10,16,22	0	937
360001	36	1	4000	100	73900	2	4	0	170
360002	36	2	8000	100	394200	3	4,9	0	383
360003	36	3	16000	100	788400	4	4,9,14	0	596
360004	36	4	16000	100	1576800	4	4,9,14,19	0	809
370001	37	1	4000	100	73900	2	4	0	170
370002	37	2	8000	100	394200	3	4,8	0	341
370003	37	3	16000	100	788400	4	4,8,12	0	511
370004	37	4	16000	100	1576800	4	4,8,12,17	0	724
380001	38	1	4000	100	73900	2	4	0	170
380002	38	2	8000	100	394200	3	4,9	0	383
380003	38	3	16000	100	788400	4	4,9,14	0	596
380004	38	4	16000	100	1576800	4	4,9,14,20	0	852
390001	39	1	4000	100	73900	2	5	0	213
390002	39	2	8000	100	394200	3	5,10	0	426
390003	39	3	16000	100	788400	4	5,10,16	0	682
390004	39	4	16000	100	1576800	4	5,10,16,22	0	937
400001	40	1	4000	100	73900	2	3	0	128
400002	40	2	8000	100	394200	3	3,7	0	298
400003	40	3	16000	100	788400	4	3,7,11	0	469
400004	40	4	16000	100	1576800	4	3,7,11,16	0	682
410001	41	1	4000	100	73900	2	3	0	128
410002	41	2	8000	100	394200	3	3,6	0	256
410003	41	3	16000	100	788400	4	3,6,10	0	426
410004	41	4	16000	100	1576800	4	3,6,10,14	0	596
420001	42	1	4000	100	73900	2	4	0	170
420002	42	2	8000	100	394200	3	4,9	0	383
420003	42	3	16000	100	788400	4	4,9,14	0	596
420004	42	4	16000	100	1576800	4	4,9,14,19	0	809
430001	43	1	4000	100	73900	2	4	0	170
430002	43	2	8000	100	394200	3	4,8	0	341
430003	43	3	16000	100	788400	4	4,8,12	0	511
430004	43	4	16000	100	1576800	4	4,8,12,17	0	724
440001	44	1	4000	100	73900	2	3	0	128
440002	44	2	8000	100	394200	3	3,7	0	298
440003	44	3	16000	100	788400	4	3,7,11	0	469
440004	44	4	16000	100	1576800	4	3,7,11,15	0	639
450001	45	1	4000	100	73900	2	4	0	170
450002	45	2	8000	100	394200	3	4,8	0	341
450003	45	3	16000	100	788400	4	4,8,13	0	554
450004	45	4	16000	100	1576800	4	4,8,13,18	0	767
460001	46	1	4000	100	73900	2	4	0	170
460002	46	2	8000	100	394200	3	4,8	0	341
460003	46	3	16000	100	788400	4	4,8,12	0	511
460004	46	4	16000	100	1576800	4	4,8,12,16	0	682
470001	47	1	4000	100	73900	2	4	0	170
470002	47	2	8000	100	394200	3	4,9	0	383
470003	47	3	16000	100	788400	4	4,9,14	0	596
470004	47	4	16000	100	1576800	4	4,9,14,19	0	809
480001	48	1	4000	100	73900	2	3	0	128
480002	48	2	8000	100	394200	3	3,7	0	298
480003	48	3	16000	100	788400	4	3,7,11	0	469
480004	48	4	16000	100	1576800	4	3,7,11,17	0	724
490001	49	1	4000	100	73900	2	3	0	128
490002	49	2	8000	100	394200	3	3,7	0	298
490003	49	3	16000	100	788400	4	3,7,11	0	469
490004	49	4	16000	100	1576800	4	3,7,11,15	0	639
500001	50	1	4000	100	73900	2	3	0	128
500002	50	2	8000	100	394200	3	3,6	0	256
500003	50	3	16000	100	788400	4	3,6,11	0	469
500004	50	4	16000	100	1576800	4	3,6,11,16	0	682
510001	51	1	4000	100	73900	2	4	0	170
510002	51	2	8000	100	394200	3	4,8	0	341
510003	51	3	16000	100	788400	4	4,8,12	0	511
510004	51	4	16000	100	1576800	4	4,8,12,17	0	724
520001	52	1	4000	100	73900	2	3	0	128
520002	52	2	8000	100	394200	3	3,7	0	298
520003	52	3	16000	100	788400	4	3,7,11	0	469
520004	52	4	16000	100	1576800	4	3,7,11,16	0	682
530001	53	1	4000	100	73900	2	5	0	213
530002	53	2	8000	100	394200	3	5,10	0	426
530003	53	3	16000	100	788400	4	5,10,16	0	682
530004	53	4	16000	100	1576800	4	5,10,16,22	0	937
540001	54	1	4000	100	73900	2	3	0	128
540002	54	2	8000	100	394200	3	3,7	0	298
540003	54	3	16000	100	788400	4	3,7,11	0	469
540004	54	4	16000	100	1576800	4	3,7,11,15	0	639
550001	55	1	2000	100	37000	2	2	0	35
550002	55	2	4000	100	197100	3	2,4	0	70
550003	55	3	16000	100	394200	4	2,4,8	0	140
560001	56	1	2000	100	37000	2	2	0	35
560002	56	2	4000	100	197100	3	2,5	0	88
560003	56	3	16000	100	394200	4	2,5,9	0	158
570001	57	1	2000	100	37000	2	2	0	35
570002	57	2	4000	100	197100	3	2,4	0	70
570003	57	3	16000	100	394200	4	2,4,7	0	123
580001	58	1	2000	100	37000	2	4	0	70
580002	58	2	4000	100	197100	3	4,9	0	158
580003	58	3	16000	100	394200	3	4,9,14	0	246
590001	59	1	2000	100	37000	2	2	0	35
590002	59	2	4000	100	197100	3	2,5	0	88
590003	59	3	16000	100	394200	3	2,5,9	0	158
600001	60	1	2000	100	37000	2	2	0	35
600002	60	2	4000	100	197100	3	2,5	0	88
600003	60	3	16000	100	394200	3	2,5,8	0	140
610001	61	1	2000	100	37000	2	2	0	35
610002	61	2	4000	100	197100	3	2,4	0	70
610003	61	3	16000	100	394200	3	2,4,7	0	123
620001	62	1	2000	100	37000	2	2	0	35
620002	62	2	4000	100	197100	3	2,5	0	88
620003	62	3	16000	100	394200	3	2,5,8	0	140
630001	63	1	2000	100	37000	2	4	0	70
630002	63	2	4000	100	197100	3	4,8	0	140
630003	63	3	16000	100	394200	3	4,8,12	0	211
640001	64	1	2000	100	37000	2	3	0	53
640002	64	2	4000	100	197100	3	3,6	0	105
640003	64	3	16000	100	394200	3	3,6,10	0	176
650001	65	1	2000	100	37000	2	2	0	35
650002	65	2	4000	100	197100	3	2,5	0	88
650003	65	3	16000	100	394200	3	2,5,8	0	140
660001	66	1	2000	100	37000	2	2	0	35
660002	66	2	4000	100	197100	3	2,5	0	88
660003	66	3	16000	100	394200	3	2,5,9	0	158
670001	67	1	2000	100	37000	2	2	0	35
670002	67	2	4000	100	197100	3	2,5	0	88
670003	67	3	16000	100	394200	3	2,5,9	0	158
680001	68	1	2000	100	37000	2	3	0	53
680002	68	2	4000	100	197100	3	3,7	0	123
680003	68	3	16000	100	394200	3	3,7,11	0	193
690001	69	1	2000	100	37000	2	2	0	35
690002	69	2	4000	100	197100	3	2,5	0	88
690003	69	3	16000	100	394200	3	2,5,8	0	140
700001	70	1	16000	100	147800	2	7	0	984
700002	70	2	32000	100	1576800	3	7,14	0	1968
700003	70	3	64000	100	3153600	4	7,14,22	0	3092
700004	70	4	128000	100	6307200	5	7,14,22,30	0	4217
700005	70	5	128000	100	12614500	5	7,14,22,30,41	0	5763
710001	71	1	16000	100	147800	2	5	0	703
710002	71	2	32000	100	1576800	3	5,10	0	1406
710003	71	3	64000	100	3153600	4	5,10,16	0	2249
710004	71	4	128000	100	6307200	5	5,10,16,22	0	3092
710005	71	5	128000	100	12614500	5	5,10,16,22,29	0	4076
720001	72	1	16000	100	147800	2	7	0	984
720002	72	2	32000	100	1576800	3	7,14	0	1968
720003	72	3	64000	100	3153600	4	7,14,22	0	3092
720004	72	4	128000	100	6307200	5	7,14,22,31	0	4357
720005	72	5	128000	100	12614500	5	7,14,22,31,40	0	5622
730001	73	1	4000	100	73900	2	5	0	213
730002	73	2	8000	100	394200	3	5,9	0	383
730003	73	3	16000	100	788400	4	5,9,15	0	639
730004	73	4	16000	100	1576800	4	5,9,15,21	0	895
740001	74	1	16000	100	147800	2	8	0	1124
740002	74	2	32000	100	1576800	3	8,16	0	2249
740003	74	3	64000	100	3153600	4	8,16,25	0	3514
740004	74	4	128000	100	6307200	5	8,16,25,34	0	4779
740005	74	5	128000	100	12614500	5	8,16,25,34,44	0	6184
750001	75	1	4000	100	73900	2	5	0	213
750002	75	2	8000	100	394200	3	5,9	0	383
750003	75	3	16000	100	788400	4	5,9,14	0	596
750004	75	4	16000	100	1576800	4	5,9,14,19	0	809
760001	76	1	16000	100	147800	2	7	0	984
760002	76	2	32000	100	1576800	3	7,14	0	1968
760003	76	3	64000	100	3153600	4	7,14,21	0	2952
760004	76	4	128000	100	6307200	5	7,14,21,28	0	3935
760005	76	5	128000	100	12614500	5	7,14,21,28,36	0	5060
770001	77	1	4000	100	73900	2	4	0	170
770002	77	2	8000	100	394200	3	4,8	0	341
770003	77	3	16000	100	788400	4	4,8,13	0	554
770004	77	4	16000	100	1576800	4	4,8,13,19	0	809
780001	78	1	4000	100	73900	2	5	0	213
780002	78	2	8000	100	394200	3	5,9	0	383
780003	78	3	16000	100	788400	4	5,9,14	0	596
780004	78	4	16000	100	1576800	4	5,9,14,18	0	767
790001	79	1	4000	100	73900	2	5	0	213
790002	79	2	8000	100	394200	3	5,9	0	383
790003	79	3	16000	100	788400	4	5,9,15	0	639
790004	79	4	16000	100	1576800	4	5,9,15,21	0	895
800001	80	1	4000	100	73900	2	4	0	170
800002	80	2	8000	100	394200	3	4,8	0	341
800003	80	3	16000	100	788400	4	4,8,13	0	554
800004	80	4	16000	100	1576800	4	4,8,13,18	0	767
810001	81	1	4000	100	73900	2	5	0	213
810002	81	2	8000	100	394200	3	5,10	0	426
810003	81	3	16000	100	788400	4	5,10,15	0	639
810004	81	4	16000	100	1576800	4	5,10,15,20	0	852
820001	82	1	4000	100	73900	2	4	0	170
820002	82	2	8000	100	394200	3	4,9	0	383
820003	82	3	16000	100	788400	4	4,9,15	0	639
820004	82	4	16000	100	1576800	4	4,9,15,21	0	895
830001	83	1	16000	100	147800	2	8	0	1124
830002	83	2	32000	100	1576800	3	8,15	0	2108
830003	83	3	64000	100	3153600	4	8,15,22	0	3092
830004	83	4	128000	100	6307200	5	8,15,22,29	0	4076
830005	83	5	128000	100	12614500	5	8,15,22,29,37	0	5200
840001	84	1	16000	100	147800	2	8	0	1124
840002	84	2	32000	100	1576800	3	8,14	0	1968
840003	84	3	64000	100	3153600	4	8,14,22	0	3092
840004	84	4	128000	100	6307200	5	8,14,22,29	0	4076
840005	84	5	128000	100	12614500	5	8,14,22,29,37	0	5200
850001	85	1	16000	100	147800	2	7	0	984
850002	85	2	32000	100	1576800	3	7,13	0	1827
850003	85	3	64000	100	3153600	4	7,13,21	0	2952
850004	85	4	128000	100	6307200	5	7,13,21,28	0	3935
850005	85	5	128000	100	12614500	5	7,13,21,28,36	0	5060
860001	86	1	16000	100	147800	2	4	0	562
860002	86	2	32000	100	1576800	3	4,10	0	1406
860003	86	3	64000	100	3153600	4	4,10,16	0	2249
860004	86	4	128000	100	6307200	5	4,10,16,23	0	3233
860005	86	5	128000	100	12614500	5	4,10,16,23,32	0	4498
870001	87	1	16000	100	147800	2	7	0	984
870002	87	2	32000	100	1576800	3	7,13	0	1827
870003	87	3	64000	100	3153600	4	7,13,20	0	2811
870004	87	4	128000	100	6307200	5	7,13,20,27	0	3795
870005	87	5	128000	100	12614500	5	7,13,20,27,35	0	4919
880001	88	1	16000	100	147800	2	7	0	984
880002	88	2	32000	100	1576800	3	7,14	0	1968
880003	88	3	64000	100	3153600	4	7,14,21	0	2952
880004	88	4	128000	100	6307200	5	7,14,21,28	0	3935
880005	88	5	128000	100	12614500	5	7,14,21,28,36	0	5060
890001	89	1	16000	100	147800	2	9	0	1265
890002	89	2	32000	100	1576800	3	9,15	0	2108
890003	89	3	64000	100	3153600	4	9,15,25	0	3514
890004	89	4	128000	100	6307200	5	9,15,25,34	0	4779
890005	89	5	128000	100	12614500	5	9,15,25,34,42	0	5903
900001	90	1	4000	100	73900	2	5	0	213
900002	90	2	8000	100	394200	3	5,9	0	383
900003	90	3	16000	100	788400	4	5,9,15	0	639
900004	90	4	16000	100	1576800	4	5,9,15,21	0	895
910001	91	1	16000	100	147800	2	7	0	984
910002	91	2	32000	100	1576800	3	7,13	0	1827
910003	91	3	64000	100	3153600	4	7,13,22	0	3092
910004	91	4	128000	100	6307200	5	7,13,22,31	0	4357
910005	91	5	128000	100	12614500	5	7,13,22,31,39	0	5481
920001	92	1	4000	100	73900	2	5	0	213
920002	92	2	8000	100	394200	3	5,9	0	383
920003	92	3	16000	100	788400	4	5,9,14	0	596
920004	92	4	16000	100	1576800	4	5,9,14,19	0	809
930001	93	1	4000	100	73900	2	5	0	213
930002	93	2	8000	100	394200	3	5,9	0	383
930003	93	3	16000	100	788400	4	5,9,14	0	596
930004	93	4	16000	100	1576800	4	5,9,14,20	0	852
940001	94	1	16000	100	147800	2	7	0	984
940002	94	2	32000	100	1576800	3	7,14	0	1968
940003	94	3	64000	100	3153600	4	7,14,23	0	3233
940004	94	4	128000	100	6307200	5	7,14,23,32	0	4498
940005	94	5	128000	100	12614500	5	7,14,23,32,40	0	5622
950001	95	1	4000	100	73900	2	5	0	213
950002	95	2	8000	100	394200	3	5,9	0	383
950003	95	3	16000	100	788400	4	5,9,14	0	596
950004	95	4	16000	100	1576800	4	5,9,14,19	0	809
960001	96	1	4000	100	73900	2	4	0	170
960002	96	2	8000	100	394200	3	4,8	0	341
960003	96	3	16000	100	788400	4	4,8,13	0	554
960004	96	4	16000	100	1576800	4	4,8,13,18	0	767
970001	97	1	16000	100	147800	2	8	0	1124
970002	97	2	32000	100	1576800	3	8,16	0	2249
970003	97	3	64000	100	3153600	4	8,16,25	0	3514
970004	97	4	128000	100	6307200	5	8,16,25,34	0	4779
970005	97	5	128000	100	12614500	5	8,16,25,34,44	0	6184
980001	98	1	16000	100	147800	2	8	0	1124
980002	98	2	32000	100	1576800	3	8,16	0	2249
980003	98	3	64000	100	3153600	4	8,16,25	0	3514
980004	98	4	128000	100	6307200	5	8,16,25,34	0	4779
980005	98	5	128000	100	12614500	5	8,16,25,34,43	0	6044
990001	99	1	16000	100	147800	2	7	0	984
990002	99	2	32000	100	1576800	3	7,15	0	2108
990003	99	3	64000	100	3153600	4	7,15,24	0	3373
990004	99	4	128000	100	6307200	5	7,15,24,33	0	4638
990005	99	5	128000	100	12614500	5	7,15,24,33,43	0	6044
1000001	100	1	16000	100	147800	2	7	0	984
1000002	100	2	32000	100	1576800	3	7,14	0	1968
1000003	100	3	64000	100	3153600	4	7,14,22	0	3092
1000004	100	4	128000	100	6307200	5	7,14,22,31	0	4357
1000005	100	5	128000	100	12614500	5	7,14,22,31,41	0	5763
1010001	101	1	16000	100	147800	2	7	0	984
1010002	101	2	32000	100	1576800	3	7,14	0	1968
1010003	101	3	64000	100	3153600	4	7,14,22	0	3092
1010004	101	4	128000	100	6307200	5	7,14,22,31	0	4357
1010005	101	5	128000	100	12614500	5	7,14,22,31,40	0	5622
1020001	102	1	16000	100	147800	2	7	0	984
1020002	102	2	32000	100	1576800	3	7,14	0	1968
1020003	102	3	64000	100	3153600	4	7,14,22	0	3092
1020004	102	4	128000	100	6307200	5	7,14,22,30	0	4217
1020005	102	5	128000	100	12614500	5	7,14,22,30,39	0	5481
1030001	103	1	16000	100	147800	2	7	0	984
1030002	103	2	32000	100	1576800	3	7,14	0	1968
1030003	103	3	64000	100	3153600	4	7,14,22	0	3092
1030004	103	4	128000	100	6307200	5	7,14,22,30	0	4217
1030005	103	5	128000	100	12614500	5	7,14,22,30,39	0	5481
1040001	104	1	16000	100	147800	2	7	0	984
1040002	104	2	32000	100	1576800	3	7,14	0	1968
1040003	104	3	64000	100	3153600	4	7,14,22	0	3092
1040004	104	4	128000	100	6307200	5	7,14,22,30	0	4217
1040005	104	5	128000	100	12614500	5	7,14,22,30,38	0	5341
1050001	105	1	16000	100	147800	2	7	0	984
1050002	105	2	32000	100	1576800	3	7,14	0	1968
1050003	105	3	64000	100	3153600	4	7,14,21	0	2952
1050004	105	4	128000	100	6307200	5	7,14,21,29	0	4076
1050005	105	5	128000	100	12614500	5	7,14,21,29,37	0	5200
1060001	106	1	16000	100	147800	2	7	0	984
1060002	106	2	32000	100	1576800	3	7,15	0	2108
1060003	106	3	64000	100	3153600	4	7,15,23	0	3233
1060004	106	4	128000	100	6307200	5	7,15,23,31	0	4357
1060005	106	5	128000	100	12614500	5	7,15,23,31,40	0	5622
1070001	107	1	16000	100	147800	2	7	0	984
1070002	107	2	32000	100	1576800	3	7,15	0	2108
1070003	107	3	64000	100	3153600	4	7,15,23	0	3233
1070004	107	4	128000	100	6307200	5	7,15,23,32	0	4498
1070005	107	5	128000	100	12614500	5	7,15,23,32,42	0	5903
1080001	108	1	16000	100	147800	2	7	0	984
1080002	108	2	32000	100	1576800	3	7,14	0	1968
1080003	108	3	64000	100	3153600	4	7,14,22	0	3092
1080004	108	4	128000	100	6307200	5	7,14,22,31	0	4357
1080005	108	5	128000	100	12614500	5	7,14,22,31,40	0	5622
1090001	109	1	16000	100	147800	2	7	0	984
1090002	109	2	32000	100	1576800	3	7,15	0	2108
1090003	109	3	64000	100	3153600	4	7,15,23	0	3233
1090004	109	4	128000	100	6307200	5	7,15,23,32	0	4498
1090005	109	5	128000	100	12614500	5	7,15,23,32,41	0	5763
1100001	110	1	16000	100	147800	2	8	0	1124
1100002	110	2	32000	100	1576800	3	8,17	0	2389
1100003	110	3	64000	100	3153600	4	8,17,26	0	3654
1100004	110	4	128000	100	6307200	5	8,17,26,36	0	5060
1100005	110	5	128000	100	12614500	5	8,17,26,36,46	0	6465
1110001	111	1	16000	100	147800	2	7	0	984
1110002	111	2	32000	100	1576800	3	7,15	0	2108
1110003	111	3	64000	100	3153600	4	7,15,24	0	3373
1110004	111	4	128000	100	6307200	5	7,15,24,33	0	4638
1110005	111	5	128000	100	12614500	5	7,15,24,33,43	0	6044
1120001	112	1	16000	100	147800	2	7	0	984
1120002	112	2	32000	100	1576800	3	7,14	0	1968
1120003	112	3	64000	100	3153600	4	7,14,22	0	3092
1120004	112	4	128000	100	6307200	5	7,14,22,31	0	4357
1120005	112	5	128000	100	12614500	5	7,14,22,31,41	0	5763
1130001	113	1	16000	100	147800	2	9	0	1265
1130002	113	2	32000	100	1576800	3	9,18	0	2530
1130003	113	3	64000	100	3153600	4	9,18,27	0	3795
1130004	113	4	128000	100	6307200	5	9,18,27,37	0	5200
1130005	113	5	128000	100	12614500	5	9,18,27,37,47	0	6606
1140001	114	1	16000	100	147800	2	7	0	984
