id	人物名称	能否进化	进化后id	限定条件-船员等级	限定条件-船员突破等级	限定条件-进化药剂数量	限定条件-精华	限定条件-精华数量	潜力值成长值	攻击成长值	防御成长值	血量成长值	意志成长值	进化扣除等级
207	霍迪·琼斯	1	269	100	3	40	61001:1101013:40	40	33	7.8	4	10.2	10.7	0
204	青椒	1	270	100	3	40	61001:1101014:40	40	31	7	4.3	10.5	11	0
24	甚平	1	264	100	3	40	61001:1101014:40	40	32	6.8	4.2	10.8	10.6	0
25	汉库克	1	265	100	3	40	61001:1101009:40	40	37	8.6	0	11.4	12.1	0
26	克洛克达尔	1	266	100	3	40	61001:1101011:40	40	33	7.6	4.4	9.7	10.8	0
27	莫利亚	1	267	100	3	40	61001:1101011:40	40	33	6.8	4.1	9.8	10.5	0
16	巴索罗米·熊	1	263	100	3	40	61001:1101014:40	40	33	6.7	4.4	10.7	10.9	0
218	2年后布鲁克	1	271	100	3	40	61001:1101012:40	40	33	6.7	4.3	10.7	10.3	0
1	熊猫人	1	272	100	3	40	61001:1101009:40	40	38	14	6	5	16	0
230	白胡子	0	230	100	3	40	61001:1101009:40	40	43	11	5.4	16.5	15.1	0
231	卡普	0	231	100	3	40	61001:1101014:40	40	42	10.4	5.8	16.8	13.7	0
236	战国	0	236	100	3	40	61001:1101010:40	40	42	8.9	5.8	15.4	15	0
233	龙	0	233	100	3	40	61001:1101011:40	40	43	10.6	5.4	16	14.8	0
240	雷利	0	240	100	3	40	61001:1101012:40	40	42	9.8	5.4	15.8	13.4	0
241	香克斯	0	241	100	3	40	61001:1101012:40	40	42	10.5	5.1	15	14.6	0
239	鹰眼	0	239	100	3	40	61001:1101012:40	40	43	10.6	3.8	14.6	14.7	0
237	赤犬	0	237	100	3	40	61001:1101011:40	40	44	10.3	5.1	14.8	13.8	0
242	青雉	0	242	100	3	40	61001:1101011:40	40	42	7.5	8.1	15	13.3	0
244	黄猿	0	244	100	3	40	61001:1101011:40	40	40	9.4	5.4	15.3	14.2	0
238	黑胡子	0	238	100	3	40	61001:1101011:40	40	44	9.5	5.3	15.8	13.3	0
235	凯多	0	235	100	3	40	61001:1101010:40	40	44	10.4	5.5	15.7	13.9	0
234	夏洛特玲玲	0	234	100	3	40	61001:1101009:40	40	42	7.5	8.3	15.7	15.3	0
247	多弗朗明哥	0	247	100	3	40	61001:1101009:40	40	41	9.4	5.3	15.1	14	0
251	艾斯	0	251	100	3	40	61001:1101011:40	40	44	10.4	6.3	15.4	10.4	0
252	基德	0	252	100	3	40	61001:1101009:40	40	39	8.6	5.5	15.3	14	0
248	艾尼路	0	248	100	3	40	61001:1101011:40	40	39	9.4	5.4	14	13.4	0
249	雨之希留	0	249	100	3	40	61001:1101012:40	40	38	9.4	5	14	13.3	0
254	基拉	0	254	100	3	40	61001:1101009:40	40	37	9	5.1	13.7	13.8	0
250	乌尔基	0	250	100	3	40	61001:1101009:40	40	37	8.9	4.9	13.9	13.7	0
228	罗杰	0	228	100	3	40	61001:1101014:40	40	45	11	6	16.8	15.3	0
229	白星	0	229	100	3	40	61001:1101013:40	40	44	8.8	5	16.9	17.6	0
253	2年后路飞	0	253	100	3	40	61001:1101009:40	40	43	10.4	5.6	14.8	13.3	0
255	萨博	0	255	100	3	40	61001:1101011:40	40	43	9.1	7.3	14.7	13	0
256	2年后索隆	0	256	100	3	40	61001:1101012:40	40	42	10.4	4.6	14.4	13.7	0
257	2年后香吉士	0	257	100	3	40	61001:1101014:40	40	41	9.5	5.4	14.7	13.3	0
258	2年后罗宾	0	258	100	3	40	61001:1101009:40	40	40	9.3	5.3	14.3	14	0
259	2年后娜美	0	259	100	3	40	61001:1101011:40	40	42	9	5.3	12.8	16	0
260	2年后乔巴	0	260	100	3	40	61001:1101010:40	40	42	8.4	6.8	15.4	11.9	0
261	2年后弗兰奇	0	261	100	3	40	61001:1101014:40	40	42	6	7.5	14.2	13.1	0
262	2年后乌索普	0	262	100	3	40	61001:1101014:40	40	42	10.5	5.1	14.1	3.6	0
232	空	0	232	100	3	40	61001:1101014:40	40	42	10.3	6.6	16.8	13.9	0
245	居鲁士	0	245	100	3	40	61001:1101012:40	40	41	9.4	5.5	14.7	14.3	0
246	藤虎	0	246	100	3	40	61001:1101012:40	40	40	10	5.1	15	13.7	0
268	卡文迪许	0	268	100	3	40	61001:1101012:40	40	36	8.8	6.2	11.8	13.5	0
243	尼普顿	0	243	100	3	40	61001:1101013:40	40	40	9.4	5.6	15.7	13.9	0
269	霍迪·琼斯	0	269	100	3	40	61001:1101013:40	40	40	9.8	6	12.2	13.9	0
270	青椒	0	270	100	3	40	61001:1101014:40	40	37	8.8	6.5	12.6	14.3	0
264	甚平	0	264	100	3	40	61001:1101014:40	40	38	8.5	6.3	13	13.8	0
265	汉库克	0	265	100	3	40	61001:1101009:40	40	44	10.8	0	13.7	15.7	0
266	克洛克达尔	0	266	100	3	40	61001:1101011:40	40	40	9.5	6.6	11.6	14	0
267	莫利亚	0	267	100	3	40	61001:1101011:40	40	40	8.5	6.2	11.8	13.7	0
263	巴索罗米·熊	0	263	100	3	40	61001:1101014:40	40	40	8.4	6.6	12.8	14.2	0
271	2年后布鲁克	0	271	100	3	40	61001:1101012:40	40	39	8	5	14	13	0
272	熊猫人	0	272	100	3	40	61001:1101009:40	40	45	15	8	7	15	0
