ID	人物名称	人物品质	角色阵营	人物说明	默认技能	初始血量	初始攻击力	初始防御力	初始内力	初始经验值	人物机缘1	人物机缘2	人物机缘3	人物机缘4	人物机缘5	人物机缘6	是否显示	Icom图片路径	TitleIcon图片路径	海报图片路径	名字图片路径	背景图片路径	战斗图片	音效	orderId
994	杰尔马·尼治	5	1	文斯莫克家族的次子，杰尔马66军团，山治的哥哥排行老二。绰号为“电击蓝”	30	550	350	340	750	172	1045	1046	1047	1048	1049	1050	1	members/poster_battle_S++_3.png	topmembers/poster_battle_S++_3.png	person/poster_battle_S++_3.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_battle_S++_3.png	sound/man07.mp3	1
995	杰尔马·伊治	5	1	文斯莫克家族的四子，杰尔马66军团，山治的弟弟排行老四。绰号为“绞盘绿”	30	550	350	340	750	172	1051	1052	1053	1054	1055	1056	1	members/poster_battle_S++_4.png	topmembers/poster_battle_S++_4.png	person/poster_battle_S++_4.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_battle_S++_4.png	sound/man07.mp3	1
951	阉魔·索隆	5	1	到达和之国后获得传说中阉魔刀的索隆实力强大，觉醒后直逼四王。	27	730	990	330	700	184	43	433	352	334	601	967	1	members/head_char_S1++_suolong.png	topmembers/tophead_char_S1++_suolong.png	person/poster_char_S1++_suolong.png	chartex/tex_char_S_suolong.png	card04	battleperson/poster_battle_S1++_suolong.png	sound/suolong.mp3	1
952	纪念：白胡子	5	1	可能他老了，确实老了，不过那颗超越年龄的心不会老，那豪迈强壮的身躯更不会老去。	10	598	980	300	750	184	1	406	489	469	456	5	1	members/head_char_S1++_baihuzi.png	topmembers/tophead_char_S1++_baihuzi.png	person/poster_char_S1++_baihuzi.png	chartex/tex_char_S_baihuzi.png	card04	battleperson/poster_battle_S1++_baihuzi.png	sound/man07.mp3	2
953	纪念：艾斯	5	1	路飞的哥哥，海贼王哥尔·D·罗杰的儿子。绰号“火拳”	41	550	850	340	750	184	405	80	570	446	481	582	1	members/head_char_S1++_aisi.png	topmembers/tophead_char_S1++_aisi.png	person/poster_char_S1++_aisi.png	chartex/tex_char_S_aisi.png	card04	battleperson/poster_battle_S1++_aisi.png	sound/man03.mp3	3
954	狂暴·龙	5	1	"革命军的首领,世界上最恶的犯罪者。唯一能直接打倒世界政府的革命军领导人。"	25	530	730	330	700	188	425	152	153	150	135	481	1	members/head_char_S1++_long.png	topmembers/tophead_char_S1++_long.png	person/poster_char_S1++_long.png	chartex/tex_char_S+_long.png	card02	battleperson/poster_battle_S1++_long.png	sound/man05.mp3	4
955	迷踪·萨博	5	1	革命军的二号人物，路飞的哥哥，现已夺回艾斯的烧烧果实，人称火拳萨博。	60	550	635	428	720	188	732	733	734	735	736	737	1	members/head_char_S1++_sabo.png	topmembers/tophead_char_S1++_sabo.png	person/poster_char_S1++_sabo.png	chartex/tex_char_S_sabo.png	card02	battleperson/poster_battle_S1++_sabo.png	sound/man03.mp3	5
956	庆典·汉库克	5	1	王下七武海中唯一的女性，九蛇海贼团的船长，海贼王中最美的女人。	44	530	330	330	700	180	679	133	463	674	531	266	1	members/head_char_Y2_hankuke.png	topmembers/tophead_char_Y2_hankuke.png	person/poster_char_Y2_hankuke.png	chartex/tex_char_S_hankuke.png	card03	battleperson/poster_battle_Y2_hankuke.png	sound/girl01.mp3	6
957	庆典·鹰眼	5	1	王下七武海之一，被称为世界第一剑客。他的眼神锐利似鹰，故得名“鹰眼”。	76	560	350	380	750	180	600	157	658	525	215	684	1	members/head_char_Y2_yingyan.png	topmembers/tophead_char_Y2_yingyan.png	person/poster_char_Y2_yingyan.png	chartex/tex_char_S_yingyan.png	card02	battleperson/poster_battle_Y2_yingyan.png	sound/man07.mp3	7
958	庆典·青雉	5	1	海军三大将，海军总部的“最高战力”之一。穿着白色西装背心与深蓝色衬衫，喜欢睡觉。	38	530	330	330	700	184	417	31	423	284	154	30	1	members/head_char_Y2_qingzhi.png	topmembers/tophead_char_Y2_qingzhi.png	person/poster_char_Y2_qingzhi.png	chartex/tex_char_S_qingzhi.png	card02	battleperson/poster_battle_Y2_qingzhi.png	sound/man07.mp3	8
959	庆典·赤犬	5	1	海军三大将之一，拥有：自然系岩浆果实。	13	550	340	360	750	188	583	236	422	590	217	974	1	members/head_char_Y2_chiquan.png	topmembers/tophead_char_Y2_chiquan.png	person/poster_char_Y2_chiquan.png	chartex/tex_char_S_chiquan.png	card04	battleperson/poster_battle_Y2_chiquan.png	sound/man09.mp3	9
960	庆典·白胡子	5	1	四皇之一，白胡子海贼团的船长；号称“世界最强的男人”。拥有震动果实的能力者。	10	598	450	300	750	184	1	406	489	469	456	5	1	members/head_char_Y2_baihuzi.png	topmembers/tophead_char_Y2_baihuzi.png	person/poster_char_Y2_baihuzi.png	chartex/tex_char_S_baihuzi.png	card04	battleperson/poster_battle_Y2_baihuzi.png	sound/man07.mp3	10
961	庆典·罗杰	5	1	被全世界尊称为“海贼王”，是世上唯一已完成“伟大航路”的罗杰海贼团的船长。	33	598	350	300	750	196	689	690	691	692	693	694	1	members/head_char_Y2_luojie.png	topmembers/tophead_char_Y2_luojie.png	person/poster_char_Y2_luojie.png	chartex/tex_char_S_luojie.png	card04	battleperson/poster_battle_Y2_luojie.png	sound/man08.mp3	11
962	庆典·索隆	5	1	草帽海贼团战斗员。2年间，舍弃尊严向鹰眼学习剑术，左眼留下了伤疤。	27	530	330	330	700	184	43	433	352	334	601	967	1	members/head_char_Y2_suolong.png	topmembers/tophead_char_Y2_suolong.png	person/poster_char_Y2_suolong.png	chartex/tex_char_S_suolong.png	card04	battleperson/poster_battle_Y2_suolong.png	sound/suolong.mp3	12
963	庆典·乔巴	5	1	草帽海贼团船医，吃了人人果实的驯鹿能力者，人人驯鹿。	31	530	330	330	700	136	43	147	361	188	388	477	1	members/head_char_Y2_qiaoba.png	topmembers/tophead_char_Y2_qiaoba.png	person/poster_char_Y2_qiaoba.png	chartex/tex_char_S_qiaoba.png	card03	battleperson/poster_battle_Y2_qiaoba.png	sound/qiaoba.mp3	13
964	庆典·玲玲	5	1	四皇之一，体型巨大，性情暴虐，极度的嗜吃甜食。	30	530	330	330	700	180	354	443	468	491	724	977	1	members/head_char_Y2_xialuotelingling.png	topmembers/tophead_char_Y2_xialuotelingling.png	person/poster_char_Y2_xialuotelingling.png	chartex/tex_char_S+_xialuotelingling.png	card04	battleperson/poster_battle_Y2_xialuotelingling.png	sound/girl02.mp3	14
965	庆典·香克士	5	1	草帽海贼团厨师，金发卷眉。2年间，练成人妖拳法，并拿到了可以提升实力的人妖食谱。	28	530	330	330	700	188	43	318	204	584	393	965	1	members/head_char_Y2_xiangjishi.png	topmembers/tophead_char_Y2_xiangjishi.png	person/poster_char_Y2_xiangjishi.png	chartex/tex_char_S_xiangjishi.png	card02	battleperson/poster_battle_Y2_xiangjishi.png	sound/xiangjishi.mp3	15
966	庆典·甚平	5	1	原为“王下七武海”，鱼人海贼团船长。鲸鲨鱼人，为人行侠仗义，人称“海侠”。	43	530	330	330	700	184	467	540	527	478	567	464	1	members/head_char_Y2_shenping.png	topmembers/tophead_char_Y2_shenping.png	person/poster_char_Y2_shenping.png	chartex/tex_char_S+_shenping.png	card02	battleperson/poster_battle_Y2_shenping.png	sound/man05.mp3	16
967	庆典·莫利亚	5	1	王下七武海之一，“影子果实”能力者，影子人，拥有夺取别人影子的能力。	74	554	328	300	650	184	339	35	528	439	289	117	1	members/head_char_Y2_moliya.png	topmembers/tophead_char_Y2_moliya.png	person/poster_char_Y2_moliya.png	chartex/tex_char_S_moliya.png	card02	battleperson/poster_battle_Y2_moliya.png	sound/man05.mp3	17
968	庆典·布鲁克	5	1	草帽海贼团音乐家。2年间，掌握了灵魂出窍的特性，并成为了闻名世界的灵歌王。	36	540	320	550	570	180	43	23	47	45	603	166	1	members/head_char_Y2_buluke.png	topmembers/tophead_char_Y2_buluke.png	person/poster_char_Y2_buluke.png	chartex/tex_char_S+_buluke.png	card03	battleperson/poster_battle_Y2_buluke.png	sound/buluke.mp3	18
969	珍藏·乌索普	5	1	草帽海贼团狙击手，曾是出一名的吹牛大王，但人比较善良，梦想是要成为勇敢的海上战士。	29	530	330	330	700	136	43	148	533	141	643	93	1	members/head_char_S1++_wusuopu.png	topmembers/tophead_char_S1++_wusuopu.png	person/poster_char_S1++_wusuopu.png	chartex/tex_char_S_wusuopu.png	card04	battleperson/poster_battle_S1++_wusuopu.png	sound/wusuopu.mp3	19
970	珍藏·白星	5	1	人鱼公主，是古代兵器之一，海王波塞冬，可以控制海王类，可是胆小爱哭。	8	598	350	380	750	192	695	696	697	698	699	700	1	members/head_char_S1++_baixing.png	topmembers/tophead_char_S1++_baixing.png	person/poster_char_S1++_baixing.png	chartex/tex_char_S_baixing.png	card04	battleperson/poster_battle_S1++_baixing.png	sound/girl05.mp3	20
971	珍藏·香克斯	5	1	四皇之一，红发海贼团的船长，“拥有世界上最强霸气的男人”，实力高深莫测。	74	530	1330	330	700	184	50	39	490	545	660	4	1	members/head_char_S1++_xiangkesi.png	topmembers/tophead_char_S1++_xiangkesi.png	person/poster_char_S1++_xiangkesi.png	chartex/tex_char_S+_xiangkesi.png	card02	battleperson/poster_battle_S1++_xiangkesi.png	sound/man08.mp3	21
945	神·艾尼路	5	1	空岛的统治者，响雷果实能力者，遇到攻击时身体可以变成雷电元素使物理攻击无效。	21	550	360	330	770	180	300	591	343	298	441	165	1	members/head_char_SS_shenainilu.png	topmembers/tophead_char_SS_shenainilu.png	person/poster_char_SS_shenainilu.png	chartex/tex_char_SS_shenainilu.png	card02	battleperson/poster_battle_SS_shenainilu.png	sound/man05.mp3	22
946	机器人	5	1	草帽海贼团船匠，身为改造人。传说中的船匠托姆的其中一位徒弟。	34	530	340	380	760	184	43	46	532	542	233	565	1	members/head_char_SS_jiqiren.png	topmembers/tophead_char_SS_jiqiren.png	person/poster_char_SS_jiqiren.png	chartex/tex_char_SS_jiqiren.png	card04	battleperson/poster_battle_SS_jiqiren.png	sound/folanqi.mp3	23
947	世界第一剑客	5	1	王下七武海之一，被称为世界第一剑客。他的眼神锐利似鹰，故得名“鹰眼”。	76	560	350	380	750	180	600	157	658	525	215	684	1	members/head_char_SS_diyijianke.png	topmembers/tophead_char_SS_diyijianke.png	person/poster_char_SS_diyijianke.png	chartex/tex_char_SS_diyijianke.png	card03	battleperson/poster_battle_SS_diyijianke.png	sound/man07.mp3	24
948	烟雾人	5	1	他总是叼着两支雪茄，看上去很凶恶，是个独行侠，常不听从上司的命令，绰号“烟男”	49	555	345	375	780	165	899	900	901	902	903	904	1	members/head_char_SS_yanwuren.png	topmembers/tophead_char_SS_yanwuren.png	person/poster_char_SS_yanwuren.png	chartex/tex_char_SS_yanwuren.png	card02	battleperson/poster_battle_SS_yanwuren.png	sound/man06.mp3	25
949	灵魂音乐家	5	1	草帽海贼团音乐家，因为吃了黄泉果实，死后复活过一次。梦想到达伟大航道的尽头。	36	540	360	370	755	186	43	23	47	45	603	166	1	members/head_char_SS_yinyuejia.png	topmembers/tophead_char_SS_yinyuejia.png	person/poster_char_SS_yinyuejia.png	chartex/tex_char_SS_yinyuejia.png	card04	battleperson/poster_battle_SS_yinyuejia.png	sound/buluke.mp3	26
950	海鸣·阿普	5	1	广播海贼团船长，11位超新星之一，伟大航路出身，“长手族”。恶魔果实能力者。	36	545	355	365	765	185	845	846	847	848	849	850	1	members/head_char_SS_haimingapu.png	topmembers/tophead_char_SS_haimingapu.png	person/poster_char_SS_haimingapu.png	chartex/tex_char_SS_haimingapu.png	card03	battleperson/poster_battle_SS_haimingapu.png	sound/man05.mp3	27
940	薇薇	5	1	阿拉巴斯坦王国的公主性格温柔，不希望看到别人受伤，但往往自己是受伤最多的人。	70	530	380	380	700	172	875	876	877	878	879	880	1	members/head_char_SS_weiwei.png	topmembers/tophead_char_SS_weiwei.png	person/poster_char_SS_weiwei.png	chartex/tex_char_SS_weiwei.png	card03	battleperson/poster_battle_SS_weiwei.png	sound/man04.mp3	28
941	女帝·汉库克	5	1	王下七武海中唯一的女性，九蛇海贼团的船长，海贼王中最美的女人。	44	530	330	330	700	180	679	133	463	674	531	266	1	members/head_char_SS_hankuke.png	topmembers/tophead_char_SS_hankuke.png	person/poster_char_SS_hankuke.png	chartex/tex_char_S_hankuke.png	card03	battleperson/poster_battle_SS_hankuke.png	sound/girl01.mp3	29
942	沙漠之王·克洛克达尔	5	1	王下七武海之一，具有着沙沙果实能力，能自由的操控沙子，并能将身体沙化。	22	550	310	550	570	180	668	53	235	529	536	265	1	members/head_char_SS_keluokedaer.png	topmembers/tophead_char_SS_keluokedaer.png	person/poster_char_SS_keluokedaer.png	chartex/tex_char_SS_keluokedaer.png	card02	battleperson/poster_battle_SS_keluokedaer.png	sound/man05.mp3	30
943	金狮子·史基	5	1	外号“金狮子”，飞空海贼团船长－金狮子海贼舰队提督“飞天海贼”。与罗杰和白胡子齐名，是推进城历史上第一位逃脱的海贼	30	550	350	300	750	190	959	960	961	962	963	964	1	members/head_char_SS_shiji.png	topmembers/tophead_char_SS_shiji.png	person/poster_char_SS_shiji.png	chartex/tex_char_shiji.png	card03	battleperson/poster_battle_SS_shiji.png	sound/man07.mp3	31
944	剧毒粉·蕾玖	5	1	文斯莫克家族的长女，杰尔马王国的公主，山治的姐姐。绰号为“剧毒粉”	30	550	350	340	750	172	947	948	949	950	951	952	1	members/head_char_SS_leijiu.png	topmembers/tophead_char_SS_leijiu.png	person/poster_char_SS_leijiu.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_battle_SS_leijiu.png	sound/man07.mp3	32
934	天夜叉·多弗朗明哥	5	1	唐吉诃德海贼团船长，“王下七武海”之一，拥有霸王色霸气。	74	550	350	340	750	172	40	234	526	369	403	228	1	members/head_char_S++_duofolangmingge.png	topmembers/tophead_char_S++_duofolangmingge.png	person/poster_char_S++_duofolangmingge.png	chartex/tex_char_S++_duofolangmingge.png	card03	battleperson/poster_battle_S++_duofolangmingge.png	sound/man07.mp3	33
935	大将藤虎	5	1	海军本部新任大将，有着自己的正义，希望能废除王下七武海制度，重力果实能力者。	46	600	380	380	850	184	738	739	740	741	742	975	1	members/head_char_S++_tenghu.png	topmembers/tophead_char_S++_tenghu.png	person/poster_char_S++_tenghu.png	chartex/tex_char_S_tenghu.png	card02	battleperson/poster_battle_S++_tenghu.png	sound/man06.mp3	34
936	小贼猫·娜美	5	1	草帽海贼团航海士，精通气象学和航海术，头脑聪明又机灵，能用身体感知天气。	25	590	350	380	750	172	43	213	49	335	390	976	1	members/head_char_S++_namei.png	topmembers/tophead_char_S++_namei.png	person/poster_char_S++_namei.png	chartex/tex_char_S_namei.png	card03	battleperson/poster_battle_S++_namei.png	sound/namei.mp3	35
937	大将赤犬	5	1	海军三大将之一，拥有：自然系岩浆果实。	13	550	350	340	750	188	583	236	422	590	217	974	1	members/head_char_S++_chiquan.png	topmembers/tophead_char_S++_chiquan.png	person/poster_char_S++_chiquan.png	chartex/tex_char_S_chiquan.png	card04	battleperson/poster_battle_S++_chiquan.png	sound/man09.mp3	36
938	黑足·香吉士	5	1	草帽海贼团厨师，金发卷眉。2年间，练成人妖拳法，并拿到了可以提升实力的人妖食谱。	28	530	330	330	700	188	43	318	204	584	393	965	1	members/head_char_S++_xiangjishi.png	topmembers/tophead_char_S++_xiangjishi.png	person/poster_char_S++_xiangjishi.png	chartex/tex_char_S_xiangjishi.png	card02	battleperson/poster_battle_S++_xiangjishi.png	sound/xiangjishi.mp3	37
939	面粉大臣·卡塔库栗	5	1	四皇之一BIG MOM的次子。最高干部三将星之一，也是三将星中实力最强的	30	550	350	340	750	184	941	942	943	944	945	946	1	members/head_char_S++_kakutali.png	topmembers/tophead_char_S++_kakutali.png	person/poster_char_S++_kakutali.png	chartex/tex_char_kakutali.png	card03	battleperson/poster_battle_S++_kakutali.png	sound/man07.mp3	38
930	龙之凯多	5	1	四皇之一，人称“百兽凯多”的男子。	74	590	350	380	750	188	309	488	232	36	535	966	1	members/head_char_S++_kaiduo.png	topmembers/tophead_char_S++_kaiduo.png	person/poster_char_S++_kaiduo.png	chartex/tex_char_S++_kaiduo.png	card04	battleperson/poster_battle_S++_kaiduo.png	sound/man011.mp3	39
931	炎帝·艾斯	5	1	路飞的哥哥，海贼王哥尔·D·罗杰的儿子。绰号“火拳”	41	550	350	340	750	184	405	80	570	446	481	582	1	members/head_char_S+_aisi.png	topmembers/tophead_char_S+_aisi.png	person/poster_char_S+_aisi.png	chartex/tex_char_S_aisi.png	card04	battleperson/poster_battle_S+_aisi.png	sound/man03.mp3	40
932	和之国·索隆	5	1	草帽海贼团战斗员。2年间，舍弃尊严向鹰眼学习剑术，左眼留下了伤疤。	27	530	330	330	700	184	43	433	352	334	601	967	1	members/head_char_S++_suolong.png	topmembers/tophead_char_S++_suolong.png	person/poster_char_S++_suolong.png	chartex/tex_char_S_suolong.png	card04	battleperson/poster_battle_S++_suolong.png	sound/suolong.mp3	41
933	夏洛特·克力架(超)	5	1	四皇“BIG MOM”的第10个儿子，托特兰王国的饼干大臣，最高干部三将星之一	30	550	350	340	750	172	968	969	970	971	972	973	1	members/head_char_S+_kelijia.png	topmembers/tophead_char_S+_kelijia.png	person/poster_char_S+_kelijia.png	chartex/tex_char_kelijia.png	card02	battleperson/poster_battle_S+_kelijia.png	sound/man07.mp3	42
928	五档路飞	5	1	草帽海贼团船长。进入新世界后，实力暴涨，无限接近海贼王的男人。	26	600	380	380	850	184	426	52	42	44	51	571	1	members/head_char_S++_lufei.png	topmembers/tophead_char_S++_lufei.png	person/poster_char_S++_lufei.png	chartex/tex_char_S+_lufei.png	card04	battleperson/poster_battle_S++_lufei.png	sound/lufei.mp3	43
929	史基(超)	5	1	外号“金狮子”，飞空海贼团船长－金狮子海贼舰队提督“飞天海贼”。与罗杰和白胡子齐名，是推进城历史上第一位逃脱的海贼	30	550	350	300	750	190	959	960	961	962	963	964	1	members/head_char_S+_jinshizi.png	topmembers/tophead_char_S+_jinshizi.png	person/poster_char_S+_jinshizi.png	chartex/tex_char_jinshizi.png	card03	battleperson/poster_battle_S+_jinshizi.png	sound/man07.mp3	44
922	加洛特(超)	5	1	具有兔子的许多生活属性，比如爱吃胡萝卜。加洛特可以使用摩擦生电而进行攻击敌人	31	530	350	345	700	180	935	936	937	938	939	940	1	members/head_char_S+_jialuote.png	topmembers/tophead_char_S+_jialuote.png	person/poster_char_S+_jialuote.png	chartex/tex_char_jialuote.png	card03	battleperson/poster_battle_S+_jialuote.png	sound/man07.mp3	45
923	夏洛特·卡塔库栗(超)	5	1	四皇之一BIG MOM的次子。最高干部三将星之一，也是三将星中实力最强的	30	530	360	330	700	184	941	942	943	944	945	946	1	members/head_char_S+_kakutali.png	topmembers/tophead_char_S+_kakutali.png	person/poster_char_S+_kakutali.png	chartex/tex_char_kakutali.png	card03	battleperson/poster_battle_S+_kakutali.png	sound/man07.mp3	46
924	文斯莫克·蕾玖(超)	5	1	文斯莫克家族的长女，杰尔马王国的公主，山治的姐姐。绰号为“剧毒粉”	30	550	350	340	750	172	947	948	949	950	951	952	1	members/head_char_S+_leijiu.png	topmembers/tophead_char_S+_leijiu.png	person/poster_char_S+_leijiu.png	chartex/tex_char_leijiu.png	card03	battleperson/poster_battle_S+_leijiu.png	sound/man07.mp3	47
925	夏洛特·斯慕吉(超)	5	1	皇“BIG·MOM”夏洛特·玲玲的第14个女儿，托特兰王国的果汁大臣，最高干部三将星之一	76	530	330	360	700	132	953	954	955	956	957	958	1	members/head_char_S+_simuji.png	topmembers/tophead_char_S+_simuji.png	person/poster_char_S+_simuji.png	chartex/tex_char_simuji.png	card03	battleperson/poster_battle_S+_simuji.png	sound/man07.mp3	48
926	布鲁克(超)	5	1	草帽海贼团音乐家。2年间，掌握了灵魂出窍的特性，并成为了闻名世界的灵歌王。	36	540	320	550	570	180	43	23	47	45	603	166	1	members/head_char_S+_buluke.png	topmembers/tophead_char_S+_buluke.png	person/poster_char_S+_buluke.png	chartex/tex_char_S+_buluke.png	card03	battleperson/poster_battle_S+_buluke.png	sound/buluke.mp3	49
927	克洛克达尔(超)	5	1	王下七武海之一，具有着沙沙果实能力，能自由的操控沙子，并能将身体沙化。	22	550	310	550	570	180	668	53	235	529	536	265	1	members/head_char_S+_keluokedaer.png	topmembers/tophead_char_S+_keluokedaer.png	person/poster_char_S+_keluokedaer.png	chartex/tex_char_S+_keluokedaer.png	card02	battleperson/poster_battle_S+_keluokedaer.png	sound/man05.mp3	50
910	雨之希留(超)	5	1	原为海军本部海底大监狱推进城看守长，现在是黑胡子海贼团团员。	76	530	330	330	700	172	460	509	512	662	579	4	1	members/head_char_S+_xiliu.png	topmembers/tophead_char_S+_xiliu.png	person/poster_char_S+_xiliu.png	chartex/tex_char_S_xiliu.png	card02	battleperson/poster_battle_S+_xiliu.png	sound/man07.mp3	51
911	乌尔基(超)	5	1	破戒僧海贼团船长，11位超新星之一，空岛人，船员以“僧正”来称呼他。	30	550	350	340	750	184	285	537	319	66	299	259	1	members/head_char_S+_wuerji.png	topmembers/tophead_char_S+_wuerji.png	person/poster_char_S+_wuerji.png	chartex/tex_char_S_wuerji.png	card02	battleperson/poster_battle_S+_wuerji.png	sound/man09.mp3	52
912	基拉(超)	5	1	很喜欢战斗的武士海贼，个性沉默，身手敏捷，武器为挂在手上的镰刀，基德海贼团团员	76	560	350	380	750	180	461	65	324	573	602	415	1	members/head_char_S+_jila.png	topmembers/tophead_char_S+_jila.png	person/poster_char_S+_jila.png	chartex/tex_char_S_jila.png	card04	battleperson/poster_battle_S+_jila.png	sound/man03.mp3	53
913	巴托洛米奥(超)	5	1	性格嚣张狂妄，是“最希望消失的海贼实时排行榜”NO.1。屏障果实能力者，是路飞的粉丝。	40	530	330	330	700	180	762	763	764	765	766	767	1	members/head_char_S+_batuoluomiao.png	topmembers/tophead_char_S+_batuoluomiao.png	person/poster_char_S+_batuoluomiao.png	chartex/tex_char_batuoluomiao.png	card04	battleperson/poster_battle_S+_batuoluomiao.png	sound/man05.mp3	54
914	维尔戈(超)	5	1	人称鬼竹，表面是海军G5支部统帅/基地长（现已被揭穿）真正身份为唐吉诃德家族最高级干部。	53	550	350	340	750	188	784	785	786	787	788	789	1	members/head_char_S+_weierge.png	topmembers/tophead_char_S+_weierge.png	person/poster_char_S+_weierge.png	chartex/tex_char_weierge.png	card02	battleperson/poster_battle_S+_weierge.png	sound/man05.mp3	55
915	比斯塔(超)	5	1	白胡子海贼团第五队队长，使用双手花剑。	46	554	328	300	650	184	809	810	811	812	813	814	1	members/head_char_S+_bisita.png	topmembers/tophead_char_S+_bisita.png	person/poster_char_S+_bisita.png	chartex/tex_char_bisita.png	card02	battleperson/poster_battle_S+_bisita.png	sound/man08.mp3	56
916	霍金斯(超)	5	1	"个性沉着冷静,讲话有占卜师的样子,有着比山治还诡异的眉毛.人称“魔术师”。"	30	550	340	360	750	188	839	840	841	842	843	844	1	members/head_char_S+_huojinsi.png	topmembers/tophead_char_S+_huojinsi.png	person/poster_char_S+_huojinsi.png	chartex/tex_char_huojinsi.png	card04	battleperson/poster_battle_S+_huojinsi.png	sound/man04.mp3	57
