Type	名称	类型	品质	初始经验	兑换所需碎片数量	兑换上限	属性ID	动态图片	Icom图片路径	Icom图片路径	说明	融合标示
32	求不得	3	4	0	none	none	0	DragonSoulCoreD02.ccbi	EnergyCore/Poster_core_d_02.png	EnergyCore/Poster_core_d_02.png	除了出售换购贝里，这个能量之核一点用也没有。	0
33	守财奴	3	4	0	none	none	0	DragonSoulCoreD03.ccbi	EnergyCore/Poster_core_d_03.png	EnergyCore/Poster_core_d_03.png	除了出售换购贝里，这个能量之核一点用也没有。	0
34	难如意	3	4	0	none	none	0	DragonSoulCoreD04.ccbi	EnergyCore/Poster_core_d_01.png	EnergyCore/Poster_core_d_01.png	除了出售换购贝里，这个能量之核一点用也没有。	0
35	满招损	3	4	0	none	none	0	DragonSoulCoreD05.ccbi	EnergyCore/Poster_core_d_05.png	EnergyCore/Poster_core_d_05.png	除了出售换购贝里，这个能量之核一点用也没有。	0
36	敲门砖	3	4	0	none	none	0	DragonSoulCoreD06.ccbi	EnergyCore/Poster_core_d_06.png	EnergyCore/Poster_core_d_06.png	除了出售换购贝里，这个能量之核一点用也没有。	0
37	绊脚石	3	4	0	none	none	0	DragonSoulCoreD07.ccbi	EnergyCore/Poster_core_d_06.png	EnergyCore/Poster_core_d_06.png	除了出售换购贝里，这个能量之核一点用也没有。	0
38	杯中物	3	4	0	none	none	0	DragonSoulCoreD08.ccbi	EnergyCore/Poster_core_d_05.png	EnergyCore/Poster_core_d_05.png	除了出售换购贝里，这个能量之核一点用也没有。	0
39	吝啬鬼	3	4	0	none	none	0	DragonSoulCoreD03.ccbi	EnergyCore/Poster_core_d_06.png	EnergyCore/Poster_core_d_06.png	除了出售换购贝里，这个能量之核一点用也没有。	0
40	莫须有	3	4	0	none	none	0	DragonSoulCoreD04.ccbi	EnergyCore/Poster_core_d_05.png	EnergyCore/Poster_core_d_05.png	除了出售换购贝里，这个能量之核一点用也没有。	0
41	金刚	1	5	240	20	8	1	DragonSoulCoreA01.ccbi	EnergyCore/Poster_core_d_01.png	EnergyCore/Poster_core_d_01.png	增加上阵船员血量，最多可兑换8颗。	0
42	亢龙	1	5	240	20	8	2	DragonSoulCoreA02.ccbi	EnergyCore/Poster_core_d_02.png	EnergyCore/Poster_core_d_02.png	增加上阵船员攻击，最多可兑换8颗。	0
43	不动	1	5	240	20	1	3	DragonSoulCoreA03.ccbi	EnergyCore/Poster_core_d_03.png	EnergyCore/Poster_core_d_03.png	增加上阵船员防御，最多可兑换1颗。	0
44	灵验	1	5	240	20	8	4	DragonSoulCoreA04.ccbi	EnergyCore/Poster_core_d_01.png	EnergyCore/Poster_core_d_01.png	增加上阵船员意志，最多可兑换8颗。	0
45	修罗	1	5	240	20	1	6	DragonSoulCoreA05.ccbi	EnergyCore/Poster_core_d_05.png	EnergyCore/Poster_core_d_05.png	增加上阵船员暴击，最多可兑换1颗。	0
46	不拔	1	5	240	20	8	7	DragonSoulCoreA06.ccbi	EnergyCore/Poster_core_d_06.png	EnergyCore/Poster_core_d_06.png	增加上阵船员韧性，最多可兑换8颗。	0
47	鬼步	1	5	240	20	1	8	DragonSoulCoreA07.ccbi	EnergyCore/Poster_core_d_06.png	EnergyCore/Poster_core_d_06.png	增加上阵船员躲闪，最多可兑换1颗。	0
48	心眼	1	5	240	20	8	9	DragonSoulCoreA08.ccbi	EnergyCore/Poster_core_d_05.png	EnergyCore/Poster_core_d_05.png	增加上阵船员命中，最多可兑换8颗。	0
49	八臂	1	5	240	20	1	10	DragonSoulCoreA03.ccbi	EnergyCore/Poster_core_d_06.png	EnergyCore/Poster_core_d_06.png	增加上阵船员格挡，最多可兑换1颗。	0
50	黯灭	1	5	240	20	8	11	DragonSoulCoreA04.ccbi	EnergyCore/Poster_core_d_05.png	EnergyCore/Poster_core_d_05.png	增加上阵船员破防，最多可兑换8颗。	0
51	精华	2	5	1200	none	none	0	DragonSoulCoreD05.ccbi	EnergyCore/Poster_core_c_08.png	EnergyCore/Poster_core_c_08.png	除了提供升级经验，这个能量之核一点用也没有。	0
52	真·修罗	1	5	360	none	none	6,2	DragonSoulItemS01.ccbi	EnergyCore/Poster_mixcore_s_01.png	EnergyCore/Poster_mixcore_s_01.png	增加上阵船员暴击和攻击，不可与单属性暴击同时装备	1
53	真·心眼	1	5	360	none	none	9,2	DragonSoulItemS02.ccbi	EnergyCore/Poster_mixcore_s_02.png	EnergyCore/Poster_mixcore_s_02.png	增加上阵船员命中和攻击，不可与单属性命中同时装备	1
54	真·黯灭	1	5	360	none	none	11,2	DragonSoulItemS03.ccbi	EnergyCore/Poster_mixcore_s_03.png	EnergyCore/Poster_mixcore_s_03.png	增加上阵船员破防和攻击，不可与单属性破防同时装备	1
55	真·不拔	1	5	360	none	none	7,3	DragonSoulItemS04.ccbi	EnergyCore/Poster_mixcore_s_04.png	EnergyCore/Poster_mixcore_s_04.png	增加上阵船员韧性和防御，不可与单属性韧性同时装备	1
56	真·鬼步	1	5	360	none	none	8,3	DragonSoulItemS05.ccbi	EnergyCore/Poster_mixcore_s_05.png	EnergyCore/Poster_mixcore_s_05.png	增加上阵船员躲闪和防御，不可与单属性躲闪同时装备	1
57	真·八臂	1	5	360	none	none	10,3	DragonSoulItemS06.ccbi	EnergyCore/Poster_mixcore_s_06.png	EnergyCore/Poster_mixcore_s_06.png	增加上阵船员格挡和防御，不可与单属性格挡同时装备	1
58	真·亢龙	1	5	360	none	none	2,1	DragonSoulItemS07.ccbi	EnergyCore/Poster_mixcore_s_07.png	EnergyCore/Poster_mixcore_s_07.png	增加上阵船员攻击和血量，不可与单属性攻击同时装备	1
59	真·不动	1	5	360	none	none	3,1	DragonSoulItemS12.ccbi	EnergyCore/Poster_mixcore_s_12.png	EnergyCore/Poster_mixcore_s_12.png	增加上阵船员防御和血量，不可与单属性防御同时装备	1
60	真·灵验	1	5	360	none	none	4,1	DragonSoulItemS09.ccbi	EnergyCore/Poster_mixcore_s_09.png	EnergyCore/Poster_mixcore_s_09.png	增加上阵船员意志和血量，不可与单属性意志同时装备	1
61	真·勇猛	1	1	120	none	none	6,2	DragonSoulItemA01.ccbi	EnergyCore/Poster_mixcore_a_01.png	EnergyCore/Poster_mixcore_a_01.png	增加上阵船员暴击和攻击，不可与单属性暴击同时装备	1
62	真·目利	1	1	120	none	none	9,2	DragonSoulItemA02.ccbi	EnergyCore/Poster_mixcore_a_02.png	EnergyCore/Poster_mixcore_a_02.png	增加上阵船员命中和攻击，不可与单属性命中同时装备	1
63	真·力透	1	1	120	none	none	11,2	DragonSoulItemA03.ccbi	EnergyCore/Poster_mixcore_a_03.png	EnergyCore/Poster_mixcore_a_03.png	增加上阵船员破防和攻击，不可与单属性破防同时装备	1
64	真·坚韧	1	1	120	none	none	7,3	DragonSoulItemA04.ccbi	EnergyCore/Poster_mixcore_a_04.png	EnergyCore/Poster_mixcore_a_04.png	增加上阵船员韧性和防御，不可与单属性韧性同时装备	1
65	真·敏捷	1	1	120	none	none	8,3	DragonSoulItemA05.ccbi	EnergyCore/Poster_mixcore_a_05.png	EnergyCore/Poster_mixcore_a_05.png	增加上阵船员躲闪和防御，不可与单属性躲闪同时装备	1
66	真·招架	1	1	120	none	none	10,3	DragonSoulItemA06.ccbi	EnergyCore/Poster_mixcore_a_06.png	EnergyCore/Poster_mixcore_a_06.png	增加上阵船员格挡和防御，不可与单属性格挡同时装备	1
67	真·热血	1	1	120	none	none	2,1	DragonSoulItemA07.ccbi	EnergyCore/Poster_mixcore_a_07.png	EnergyCore/Poster_mixcore_a_07.png	增加上阵船员攻击和血量，不可与单属性攻击同时装备	1
68	真·铁壁	1	1	120	none	none	3,1	DragonSoulItemA12.ccbi	EnergyCore/Poster_mixcore_a_12.png	EnergyCore/Poster_mixcore_a_12.png	增加上阵船员防御和血量，不可与单属性防御同时装备	1
69	真·高扬	1	1	120	none	none	4,1	DragonSoulItemA09.ccbi	EnergyCore/Poster_mixcore_a_09.png	EnergyCore/Poster_mixcore_a_09.png	增加上阵船员意志和血量，不可与单属性意志同时装备	1
