id	name	时效	升级条件描述	说明	iconPic	namePic	加成属性类型	加成类型	加成额度	成就类型	成就条件数量	跳转页面	排序ID	changeOrPush	AdventureId	开启等级
1017	汪洋大盗	0	通关{再见梅利-决战之桥}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	170	2	0	CareerPage	1	0	0	1
1018	汪洋大盗	0	通关{魔鬼三角-影子集合地}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	180	2	0	CareerPage	1	0	0	1
1019	汪洋大盗	0	通关{新世界-闪光人}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	190	2	0	CareerPage	1	0	0	1
1020	汪洋大盗	0	通关{女儿国-致命之疾}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	200	2	0	CareerPage	1	0	0	1
1021	汪洋大盗	0	通关{推进城-自由世界}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	210	2	0	CareerPage	1	0	0	1
1022	汪洋大盗	0	通关{海军总部-正义必胜}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	220	2	0	CareerPage	1	0	0	1
1023	汪洋大盗	0	通关{顶上决战-白胡子时代}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	230	2	0	CareerPage	1	0	0	1
1024	汪洋大盗	0	通关{两年后-诺亚方舟}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	240	2	0	CareerPage	1	0	0	1
1025	汪洋大盗	0	通关{班克禁区-死亡国度}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	250	2	0	CareerPage	1	0	0	1
1026	汪洋大盗	0	通关{疯狂凯撒-回收凯撒}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	260	2	0	CareerPage	1	0	0	1
1027	汪洋大盗	0	通关{竞技场-艾斯的意志}	none	title/poster_title_dadao.png	titletex/tex_title_dadao.png	5	1	270	2	0	CareerPage	1	0	0	1
2001	海贼VIP	0	VIP等级达到1级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.05	2	0	RechargePage	2	1	0	1
2002	海贼VIP	0	VIP等级达到2级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.1	2	0	RechargePage	2	1	0	1
2003	海贼VIP	0	VIP等级达到3级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.15	2	0	RechargePage	2	1	0	1
2004	海贼VIP	0	VIP等级达到4级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.2	2	0	RechargePage	2	1	0	1
2005	海贼VIP	0	VIP等级达到5级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.25	2	0	RechargePage	2	1	0	1
2006	海贼VIP	0	VIP等级达到6级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.3	2	0	RechargePage	2	1	0	1
2007	海贼VIP	0	VIP等级达到7级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.35	2	0	RechargePage	2	1	0	1
2008	海贼VIP	0	VIP等级达到8级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.4	2	0	RechargePage	2	1	0	1
2009	海贼VIP	0	VIP等级达到9级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.45	2	0	RechargePage	2	1	0	1
2010	海贼VIP	0	VIP等级达到10级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.5	2	0	RechargePage	2	1	0	1
2011	海贼VIP	0	VIP等级达到11级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.55	2	0	RechargePage	2	1	0	1
2012	海贼VIP	0	VIP等级达到12级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.6	2	0	RechargePage	2	1	0	1
2013	海贼VIP	0	VIP等级达到13级	加成效果对所有称号有效	title/poster_title_vip.png	titletex/tex_title_vip.png	5	2	0.65	2	0	RechargePage	2	1	0	1
3001	海贼无双	0	决斗历史最高排名达到10000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	20	2	0	ArenaPage	3	0	0	6
3002	海贼无双	0	决斗历史最高排名达到9000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	40	2	0	ArenaPage	3	0	0	6
3003	海贼无双	0	决斗历史最高排名达到8000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	60	2	0	ArenaPage	3	0	0	6
3004	海贼无双	0	决斗历史最高排名达到7000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	80	2	0	ArenaPage	3	0	0	6
3005	海贼无双	0	决斗历史最高排名达到6000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	100	2	0	ArenaPage	3	0	0	6
3006	海贼无双	0	决斗历史最高排名达到5000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	120	2	0	ArenaPage	3	0	0	6
3007	海贼无双	0	决斗历史最高排名达到4000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	140	2	0	ArenaPage	3	0	0	6
3008	海贼无双	0	决斗历史最高排名达到3000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	160	2	0	ArenaPage	3	0	0	6
3009	海贼无双	0	决斗历史最高排名达到2500名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	180	2	0	ArenaPage	3	0	0	6
3010	海贼无双	0	决斗历史最高排名达到2000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	200	2	0	ArenaPage	3	0	0	6
3011	海贼无双	0	决斗历史最高排名达到1500名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	220	2	0	ArenaPage	3	0	0	6
3012	海贼无双	0	决斗历史最高排名达到1000名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	240	2	0	ArenaPage	3	0	0	6
3013	海贼无双	0	决斗历史最高排名达到500名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	260	2	0	ArenaPage	3	0	0	6
3014	海贼无双	0	决斗历史最高排名达到400名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	280	2	0	ArenaPage	3	0	0	6
3015	海贼无双	0	决斗历史最高排名达到300名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	300	2	0	ArenaPage	3	0	0	6
3016	海贼无双	0	决斗历史最高排名达到250名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	320	2	0	ArenaPage	3	0	0	6
3017	海贼无双	0	决斗历史最高排名达到200名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	340	2	0	ArenaPage	3	0	0	6
3018	海贼无双	0	决斗历史最高排名达到150名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	360	2	0	ArenaPage	3	0	0	6
3019	海贼无双	0	决斗历史最高排名达到100名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	380	2	0	ArenaPage	3	0	0	6
3020	海贼无双	0	决斗历史最高排名达到50名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	400	2	0	ArenaPage	3	0	0	6
3021	海贼无双	0	决斗历史最高排名达到40名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	420	2	0	ArenaPage	3	0	0	6
3022	海贼无双	0	决斗历史最高排名达到30名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	440	2	0	ArenaPage	3	0	0	6
3023	海贼无双	0	决斗历史最高排名达到20名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	460	2	0	ArenaPage	3	0	0	6
3024	海贼无双	0	决斗历史最高排名达到10名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	480	2	0	ArenaPage	3	0	0	6
3025	海贼无双	0	决斗历史最高排名达到1名	none	title/poster_title_wushuang.png	titletex/tex_title_wushuang.png	5	1	600	2	0	ArenaPage	3	0	0	6
4001	技能研究	0	拼合奥义次数达到10次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	10	2	10	AdventurePage	4	0	8	4
4002	技能研究	0	拼合奥义次数达到20次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	20	2	20	AdventurePage	4	0	8	4
4003	技能研究	0	拼合奥义次数达到40次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	30	2	40	AdventurePage	4	0	8	4
4004	技能研究	0	拼合奥义次数达到60次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	40	2	60	AdventurePage	4	0	8	4
4005	技能研究	0	拼合奥义次数达到80次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	50	2	80	AdventurePage	4	0	8	4
4006	技能研究	0	拼合奥义次数达到100次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	60	2	100	AdventurePage	4	0	8	4
4007	技能研究	0	拼合奥义次数达到150次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	70	2	150	AdventurePage	4	0	8	4
4008	技能研究	0	拼合奥义次数达到200次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	80	2	200	AdventurePage	4	0	8	4
4009	技能研究	0	拼合奥义次数达到250次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	90	2	250	AdventurePage	4	0	8	4
4010	技能研究	0	拼合奥义次数达到300次	none	title/poster_title_yanjiu.png	titletex/tex_title_yanjiu.png	5	1	100	2	300	AdventurePage	4	0	8	4
5001	一往无前	0	参与勇往直前次数达到10次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	10	2	10	AdventurePage	5	0	5	12
5002	一往无前	0	参与勇往直前次数达到20次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	20	2	20	AdventurePage	5	0	5	12
5003	一往无前	0	参与勇往直前次数达到40次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	30	2	40	AdventurePage	5	0	5	12
5004	一往无前	0	参与勇往直前次数达到60次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	40	2	60	AdventurePage	5	0	5	12
5005	一往无前	0	参与勇往直前次数达到80次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	50	2	80	AdventurePage	5	0	5	12
5006	一往无前	0	参与勇往直前次数达到100次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	60	2	100	AdventurePage	5	0	5	12
5007	一往无前	0	参与勇往直前次数达到150次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	70	2	150	AdventurePage	5	0	5	12
5008	一往无前	0	参与勇往直前次数达到200次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	80	2	200	AdventurePage	5	0	5	12
5009	一往无前	0	参与勇往直前次数达到250次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	90	2	250	AdventurePage	5	0	5	12
5010	一往无前	0	参与勇往直前次数达到300次	none	title/poster_title_wuqian.png	titletex/tex_title_wuqian.png	5	1	100	2	300	AdventurePage	5	0	5	12
6001	闯阵勇士	0	攻打黑胡子次数达到10次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	10	2	10	AdventurePage	6	0	6	15
6002	闯阵勇士	0	攻打黑胡子次数达到20次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	20	2	20	AdventurePage	6	0	6	15
6003	闯阵勇士	0	攻打黑胡子次数达到40次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	30	2	40	AdventurePage	6	0	6	15
6004	闯阵勇士	0	攻打黑胡子次数达到60次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	40	2	60	AdventurePage	6	0	6	15
6005	闯阵勇士	0	攻打黑胡子次数达到80次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	50	2	80	AdventurePage	6	0	6	15
6006	闯阵勇士	0	攻打黑胡子次数达到100次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	60	2	100	AdventurePage	6	0	6	15
6007	闯阵勇士	0	攻打黑胡子次数达到150次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	70	2	150	AdventurePage	6	0	6	15
6008	闯阵勇士	0	攻打黑胡子次数达到200次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	80	2	200	AdventurePage	6	0	6	15
6009	闯阵勇士	0	攻打黑胡子次数达到250次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	90	2	250	AdventurePage	6	0	6	15
6010	闯阵勇士	0	攻打黑胡子次数达到300次	none	title/poster_title_chuangzhen.png	titletex/tex_title_chuangzhen.png	5	1	100	2	300	AdventurePage	6	0	6	15
7001	四海一家	0	好友数量达到1人	none	title/poster_title_haoyou.png	titletex/tex_title_haoyou.png	5	1	50	2	1	FriendsPage	7	0	11	1
7002	四海一家	0	好友数量达到5人	none	title/poster_title_haoyou.png	titletex/tex_title_haoyou.png	5	1	100	2	5	FriendsPage	7	0	11	1
7003	四海一家	0	好友数量达到10人	none	title/poster_title_haoyou.png	titletex/tex_title_haoyou.png	5	1	150	2	10	FriendsPage	7	0	11	1
10001	茁壮成长	0	将等级提升至16级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	20	2	0	CareerPage	10	0	0	14
10002	茁壮成长	0	将等级提升至20级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	40	2	0	CareerPage	10	0	0	14
10003	茁壮成长	0	将等级提升至25级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	60	2	0	CareerPage	10	0	0	14
10004	茁壮成长	0	将等级提升至30级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	80	2	0	CareerPage	10	0	0	14
10005	茁壮成长	0	将等级提升至35级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	100	2	0	CareerPage	10	0	0	14
10006	茁壮成长	0	将等级提升至40级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	120	2	0	CareerPage	10	0	0	14
10007	茁壮成长	0	将等级提升至45级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	140	2	0	CareerPage	10	0	0	14
10008	茁壮成长	0	将等级提升至50级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	160	2	0	CareerPage	10	0	0	14
10009	茁壮成长	0	将等级提升至55级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	180	2	0	CareerPage	10	0	0	14
10010	茁壮成长	0	将等级提升至60级	none	title/poster_title_zhuozhuangchengzhang.png	title/poster_title_zhuozhuangchengzhang.png	5	1	200	2	0	CareerPage	10	0	0	14
11001	同心协力	0	上阵3名船员	none	title/poster_title_tongxinxieli.png	title/poster_title_tongxinxieli.png	5	1	10	2	3	TeamPage	11	0	0	2
11002	同心协力	0	上阵4名船员	none	title/poster_title_tongxinxieli.png	title/poster_title_tongxinxieli.png	5	1	20	2	4	TeamPage	11	0	0	5
11003	同心协力	0	上阵5名船员	none	title/poster_title_tongxinxieli.png	title/poster_title_tongxinxieli.png	5	1	30	2	5	TeamPage	11	0	0	11
11004	同心协力	0	上阵8名船员	none	title/poster_title_tongxinxieli.png	title/poster_title_tongxinxieli.png	5	1	40	2	8	TeamPage	11	0	0	26
12001	优秀船员	0	招募1名A级船员	none	title/poster_title_youxiuchuanyuan.png	title/poster_title_youxiuchuanyuan.png	5	1	20	2	1	MarketPage	12	0	0	1
12002	优秀船员	0	再获得3名A级船员，之前拥有不计算在内。	none	title/poster_title_youxiuchuanyuan.png	title/poster_title_youxiuchuanyuan.png	5	1	40	2	3	MarketPage	12	0	0	1
12003	优秀船员	0	再获得5名A级船员，之前拥有不计算在内。	none	title/poster_title_youxiuchuanyuan.png	title/poster_title_youxiuchuanyuan.png	5	1	60	2	5	MarketPage	12	0	0	1
12004	优秀船员	0	再获得8名A级船员，之前拥有不计算在内。	none	title/poster_title_youxiuchuanyuan.png	title/poster_title_youxiuchuanyuan.png	5	1	80	2	8	MarketPage	12	0	0	1
13001	修行之路	0	点击主页的修行按钮，将任意修行提升至1级	none	title/poster_title_xiuxingzhilu.png	title/poster_title_xiuxingzhilu.png	5	1	5	2	0	TeamBuffPage	13	0	0	6
13002	修行之路	0	将任意修行提升至10级	none	title/poster_title_xiuxingzhilu.png	title/poster_title_xiuxingzhilu.png	5	1	10	2	0	TeamBuffPage	13	0	0	6
13003	修行之路	0	将任意修行提升至50级	none	title/poster_title_xiuxingzhilu.png	title/poster_title_xiuxingzhilu.png	5	1	30	2	0	TeamBuffPage	13	0	0	6
14001	百万富翁	0	获得100w贝里	none	title/poster_title_baiwanfuwong.png	title/poster_title_baiwanfuwong.png	5	1	10	2	0	AdventurePage	14	0	140	8
14002	百万富翁	0	获得1000w贝里	none	title/poster_title_baiwanfuwong.png	title/poster_title_baiwanfuwong.png	5	1	20	2	0	AdventurePage	14	0	140	8
14003	百万富翁	0	获得3000w贝里	none	title/poster_title_baiwanfuwong.png	title/poster_title_baiwanfuwong.png	5	1	30	2	0	AdventurePage	14	0	140	8
14004	百万富翁	0	获得6000w贝里	none	title/poster_title_baiwanfuwong.png	title/poster_title_baiwanfuwong.png	5	1	40	2	0	AdventurePage	14	0	140	8
14005	百万富翁	0	获得1亿贝里	none	title/poster_title_baiwanfuwong.png	title/poster_title_baiwanfuwong.png	5	1	50	2	0	AdventurePage	14	0	140	8
15001	箱子达人	0	开启1个金宝箱	none	title/poster_title_xiangzidaren.png	title/poster_title_xiangzidaren.png	5	1	10	2	1	BuyPropsPage	15	0	0	1
15002	箱子达人	0	开启10个金宝箱	none	title/poster_title_xiangzidaren.png	title/poster_title_xiangzidaren.png	5	1	20	2	10	BuyPropsPage	15	0	0	1
15003	箱子达人	0	开启100个金宝箱	none	title/poster_title_xiangzidaren.png	title/poster_title_xiangzidaren.png	5	1	30	2	100	BuyPropsPage	15	0	0	1
15004	箱子达人	0	开启1000个金宝箱	none	title/poster_title_xiangzidaren.png	title/poster_title_xiangzidaren.png	5	1	50	2	1000	BuyPropsPage	15	0	0	1
15005	箱子达人	0	开启10000个金宝箱	none	title/poster_title_xiangzidaren.png	title/poster_title_xiangzidaren.png	5	1	100	2	10000	BuyPropsPage	15	0	0	1
16001	超级装备	0	获得1件A级装备	none	title/poster_title_chaojizhuagnbei.png	title/poster_title_chaojizhuagnbei.png	5	1	20	2	1	BuyPropsPage	16	0	0	10
16002	超级装备	0	获得3件A级装备	none	title/poster_title_chaojizhuagnbei.png	title/poster_title_chaojizhuagnbei.png	5	1	40	2	3	BuyPropsPage	16	0	0	10
16003	超级装备	0	获得6个A级装备	none	title/poster_title_chaojizhuagnbei.png	title/poster_title_chaojizhuagnbei.png	5	1	60	2	6	BuyPropsPage	16	0	0	10
16004	超级装备	0	获得10件A级装备	none	title/poster_title_chaojizhuagnbei.png	title/poster_title_chaojizhuagnbei.png	5	1	80	2	10	BuyPropsPage	16	0	0	10
17001	突破极限	0	进行1次突破操作	none	title/poster_title_tupojixian.png	title/poster_title_tupojixian.png	5	1	20	2	0	DisciplePage	17	0	2	7
17002	突破极限	0	将任意1张卡牌突破至5级	none	title/poster_title_tupojixian.png	title/poster_title_tupojixian.png	5	1	50	2	0	DisciplePage	17	0	2	7
17003	突破极限	0	将1张A卡突破至10级	none	title/poster_title_tupojixian.png	title/poster_title_tupojixian.png	5	1	100	2	0	DisciplePage	17	0	2	7
18001	联盟战争	0	在盟战中完成1连杀	none	title/poster_title_lianmengzhanzheng.png	title/poster_title_lianmengzhanzheng.png	5	1	10	2	1	LianMengPage	18	1	0	17
18002	联盟战争	0	在盟战中完成5连杀	none	title/poster_title_lianmengzhanzheng.png	title/poster_title_lianmengzhanzheng.png	5	1	20	2	5	LianMengPage	18	1	0	17
18003	联盟战争	0	在盟战中完成10连杀	none	title/poster_title_lianmengzhanzheng.png	title/poster_title_lianmengzhanzheng.png	5	1	30	2	10	LianMengPage	18	1	0	17
18004	联盟战争	0	在盟战中完成20连杀	none	title/poster_title_lianmengzhanzheng.png	title/poster_title_lianmengzhanzheng.png	5	1	40	2	20	LianMengPage	18	1	0	17
20001	四皇	0	图鉴集齐四皇组合	none	title/poster_title_tujiandashen.png	title/poster_title_tujiandashen.png	5	1	50	1	0	MarketPage	20	0	0	7
21001	王下七武海	0	图鉴集齐王下七武海组合	none	title/poster_title_tujiandashen.png	title/poster_title_tujiandashen.png	5	1	50	1	0	MarketPage	21	0	0	7
22001	红发	0	图鉴集齐红发组合	none	title/poster_title_tujiandashi.png	title/poster_title_tujiandashi.png	5	1	20	1	0	MarketPage	22	0	0	7
23001	革命军	0	图鉴集齐革命军组合	none	title/poster_title_tujiandashi.png	title/poster_title_tujiandashi.png	5	1	20	1	0	MarketPage	23	0	0	7
24001	海军三大将	0	图鉴集齐海军三大将组合	none	title/poster_title_tujiandashi.png	title/poster_title_tujiandashi.png	5	1	30	1	0	MarketPage	24	0	0	7
25001	黑胡子	0	图鉴集齐黑胡子组合	none	title/poster_title_tujiandashi.png	title/poster_title_tujiandashi.png	5	1	10	1	0	MarketPage	25	0	0	7
26001	超新星	0	图鉴集齐超新星组合	none	title/poster_title_tujiandashi.png	title/poster_title_tujiandashi.png	5	1	30	1	0	MarketPage	26	0	0	7
27001	白胡子	0	图鉴集齐白胡子组合	none	title/poster_title_tujiandashi.png	title/poster_title_tujiandashi.png	5	1	20	1	0	MarketPage	27	0	0	7
28001	CP9	0	图鉴集齐CP9组合	none	title/poster_title_tujiandashi.png	title/poster_title_tujiandashi.png	5	1	10	1	0	MarketPage	28	0	0	7
29001	草帽海贼团	0	图鉴集齐草帽海贼团组合	none	title/poster_title_tujiandashen.png	title/poster_title_tujiandashen.png	5	1	30	1	0	MarketPage	29	0	0	7
30001	2年后的草帽团	0	图鉴集齐2年后的草帽海贼团组合	none	title/poster_title_tujiandashen.png	title/poster_title_tujiandashen.png	5	1	50	1	0	MarketPage	30	0	0	7
31001	A.S.L	0	图鉴集齐A.S.L组合	none	title/poster_title_tujiandashen.png	title/poster_title_tujiandashen.png	5	1	30	1	0	MarketPage	31	0	0	7
32001	考古学家	0	进行2次迷宫探索	none	title/poster_title_xiuxingzhilu.png	title/poster_title_xiuxingzhilu.png	5	1	10	2	2	AdventurePage	32	0	150	10
32002	考古学家	0	进行10次迷宫探索	none	title/poster_title_xiuxingzhilu.png	title/poster_title_xiuxingzhilu.png	5	1	20	2	10	AdventurePage	32	0	150	10
32003	考古学家	0	进行50次迷宫探索	none	title/poster_title_xiuxingzhilu.png	title/poster_title_xiuxingzhilu.png	5	1	30	2	50	AdventurePage	32	0	150	10
32004	考古学家	0	进行300次迷宫探索	none	title/poster_title_xiuxingzhilu.png	title/poster_title_xiuxingzhilu.png	5	1	50	2	300	AdventurePage	32	0	150	10
33001	狭路相逢	0	迷宫中战斗胜利15次	none	title/poster_title_lianmengzhanzheng.png	title/poster_title_lianmengzhanzheng.png	5	1	10	2	15	AdventurePage	33	0	150	10
33002	狭路相逢	0	迷宫中战斗胜利300次	none	title/poster_title_lianmengzhanzheng.png	title/poster_title_lianmengzhanzheng.png	5	1	20	2	300	AdventurePage	33	0	150	10
33003	狭路相逢	0	迷宫中战斗胜利1000次	none	title/poster_title_lianmengzhanzheng.png	title/poster_title_lianmengzhanzheng.png	5	1	30	2	1000	AdventurePage	33	0	150	10
33004	狭路相逢	0	迷宫中战斗胜利10000次	none	title/poster_title_lianmengzhanzheng.png	title/poster_title_lianmengzhanzheng.png	5	1	50	2	10000	AdventurePage	33	0	150	10
34001	宝藏猎人	0	迷宫中开启宝箱10次	none	title/poster_title_xiangzidaren.png	title/poster_title_xiangzidaren.png	5	1	10	2	10	AdventurePage	34	0	150	10
34002	宝藏猎人	0	迷宫中开启宝箱100次	none	title/poster_title_xiangzidaren.png	title/poster_title_xiangzidaren.png	5	1	20	2	100	AdventurePage	34	0	150	10
34003	宝藏猎人	0	迷宫中开启宝箱500次	none	title/poster_title_xiangzidaren.png	title/poster_title_xiangzidaren.png	5	1	30	2	500	AdventurePage	34	0	150	10
