ID	名称	品阶	技能说明	属性A类型	属性A加成类型	属性A初始加成额度	属性A成长幅度	属性B类型	属性B加成类型	属性B初始加成额度	属性B成长幅度	Icom图片路径	海报图片路径	名字图片路径	时长	ccb文件	攻击timeline	攻击置换资源	orderId
100013	高级灵动	1	尝尝看跟上我的步伐吧！	8	1	69	69	0	0	0	0	Pet/skillposter/poster_skill_pet_fuchou.png	Pet/skillposter/poster_skillinfo_pet_fuchou.png	none	1	none	buffc	none	13
100014	高级猎杀	1	没有人能逃过我的追击	9	1	83	83	0	0	0	0	Pet/skillposter/poster_skill_pet_paoxiao.png	Pet/skillposter/poster_skillinfo_pet_paoxiao.png	none	1	none	buffc	none	14
100015	高级血祭	1	凝聚鲜血的屏障可以阻挡任何攻击！	10	1	69	69	0	0	0	0	Pet/skillposter/poster_skill_pet_xueji.png	Pet/skillposter/poster_skillinfo_pet_xueji.png	none	1	none	buffc	none	15
100016	高级破魔	1	粉碎一切阻碍，直取要害	11	1	66	66	0	0	0	0	Pet/skillposter/poster_skill_pet_mishi.png	Pet/skillposter/poster_skillinfo_pet_mishi.png	none	1	none	buffc	none	16
200001	中级撕咬	2	凶兽利齿的撕咬，颤抖吗？	2	1	78	78	0	0	0	0	Pet/skillposter/poster_skill_pet_siyao.png	Pet/skillposter/poster_skillinfo_pet_siyao.png	none	1	none	buffc	none	17
200002	中级爪击	2	把爪子磨尖，撕碎敌人的心脏吧	2	1	78	78	0	0	0	0	Pet/skillposter/poster_skill_pet_zhuaji.png	Pet/skillposter/poster_skillinfo_pet_zhuaji.png	none	1	none	buffc	none	18
200003	中级斩击	2	去地狱报到吧！	2	1	78	78	0	0	0	0	Pet/skillposter/poster_skill_pet_zhanji.png	Pet/skillposter/poster_skillinfo_pet_zhanji.png	none	1	none	buffc	none	19
200004	中级护盾	2	持上这魔法护盾，冲锋吧	3	1	78	78	0	0	0	0	Pet/skillposter/poster_skill_pet_hudun.png	Pet/skillposter/poster_skillinfo_pet_hudun.png	none	1	none	buffc	none	20
200005	中级霸体	2	使用霸气守护身体，使敌人无法撼动	3	1	78	78	0	0	0	0	Pet/skillposter/poster_skill_pet_bati.png	Pet/skillposter/poster_skillinfo_pet_bati.png	none	1	none	buffc	none	21
200006	中级净化	2	神圣之光，获得净化邪恶力量的神圣保护	3	1	78	78	0	0	0	0	Pet/skillposter/poster_skill_pet_jinghua.png	Pet/skillposter/poster_skillinfo_pet_jinghua.png	none	1	none	buffc	none	22
200007	中级嗜血	2	对血的渴望将无限增强生命力	1	1	51	51	0	0	0	0	Pet/skillposter/poster_skill_pet_shixue.png	Pet/skillposter/poster_skillinfo_pet_shixue.png	none	1	none	buffc	none	23
200008	中级血源	2	鲜血，就是我力量的源泉	1	1	51	51	0	0	0	0	Pet/skillposter/poster_skill_pet_xueyuan.png	Pet/skillposter/poster_skillinfo_pet_xueyuan.png	none	1	none	buffc	none	24
200009	中级化魔	2	化身为强大的恶魔，汲取源源不断的战意	4	1	31	31	0	0	0	0	Pet/skillposter/poster_skill_pet_huamo.png	Pet/skillposter/poster_skillinfo_pet_huamo.png	none	1	none	buffc	none	25
200010	中级毁灭	2	用这力量，获取毁灭天地的意志	4	1	31	31	0	0	0	0	Pet/skillposter/poster_skill_pet_huimie.png	Pet/skillposter/poster_skillinfo_pet_huimie.png	none	1	none	buffc	none	26
200011	中级狂暴	2	面对狂暴状态下的野兽，还要做无谓的抵抗吗	6	1	53	53	0	0	0	0	Pet/skillposter/poster_skill_pet_kuangbao.png	Pet/skillposter/poster_skillinfo_pet_kuangbao.png	none	1	none	buffc	none	27
200012	中级治疗	2	忘却伤痛继续作战吧！	7	1	64	64	0	0	0	0	Pet/skillposter/poster_skill_pet_zhiliao.png	Pet/skillposter/poster_skillinfo_pet_zhiliao.png	none	1	none	buffc	none	28
200013	中级灵动	2	尝尝看跟上我的步伐吧！	8	1	53	53	0	0	0	0	Pet/skillposter/poster_skill_pet_fuchou.png	Pet/skillposter/poster_skillinfo_pet_fuchou.png	none	1	none	buffc	none	29
200014	中级猎杀	2	没有人能逃过我的追击	9	1	64	64	0	0	0	0	Pet/skillposter/poster_skill_pet_paoxiao.png	Pet/skillposter/poster_skillinfo_pet_paoxiao.png	none	1	none	buffc	none	30
200015	中级血祭	2	凝聚鲜血的屏障可以阻挡任何攻击！	10	1	53	53	0	0	0	0	Pet/skillposter/poster_skill_pet_xueji.png	Pet/skillposter/poster_skillinfo_pet_xueji.png	none	1	none	buffc	none	31
200016	中级破魔	2	粉碎一切阻碍，直取要害	11	1	52	52	0	0	0	0	Pet/skillposter/poster_skill_pet_mishi.png	Pet/skillposter/poster_skillinfo_pet_mishi.png	none	1	none	buffc	none	32
300001	低级撕咬	3	凶兽利齿的撕咬，颤抖吗？	2	1	60	60	0	0	0	0	Pet/skillposter/poster_skill_pet_siyao.png	Pet/skillposter/poster_skillinfo_pet_siyao.png	none	1	none	buffc	none	33
300002	低级爪击	3	把爪子磨尖，撕碎敌人的心脏吧	2	1	60	60	0	0	0	0	Pet/skillposter/poster_skill_pet_zhuaji.png	Pet/skillposter/poster_skillinfo_pet_zhuaji.png	none	1	none	buffc	none	34
300003	低级斩击	3	去地狱报到吧！	2	1	60	60	0	0	0	0	Pet/skillposter/poster_skill_pet_zhanji.png	Pet/skillposter/poster_skillinfo_pet_zhanji.png	none	1	none	buffc	none	35
300004	低级护盾	3	持上这魔法护盾，冲锋吧	3	1	60	60	0	0	0	0	Pet/skillposter/poster_skill_pet_hudun.png	Pet/skillposter/poster_skillinfo_pet_hudun.png	none	1	none	buffc	none	36
300005	低级霸体	3	使用霸气守护身体，使敌人无法撼动	3	1	60	60	0	0	0	0	Pet/skillposter/poster_skill_pet_bati.png	Pet/skillposter/poster_skillinfo_pet_bati.png	none	1	none	buffc	none	37
300006	低级净化	3	神圣之光，获得净化邪恶力量的神圣保护	3	1	60	60	0	0	0	0	Pet/skillposter/poster_skill_pet_jinghua.png	Pet/skillposter/poster_skillinfo_pet_jinghua.png	none	1	none	buffc	none	38
300007	低级嗜血	3	对血的渴望将无限增强生命力	1	1	39	39	0	0	0	0	Pet/skillposter/poster_skill_pet_shixue.png	Pet/skillposter/poster_skillinfo_pet_shixue.png	none	1	none	buffc	none	39
300008	低级血源	3	鲜血，就是我力量的源泉	1	1	39	39	0	0	0	0	Pet/skillposter/poster_skill_pet_xueyuan.png	Pet/skillposter/poster_skillinfo_pet_xueyuan.png	none	1	none	buffc	none	40
300009	低级化魔	3	化身为强大的恶魔，汲取源源不断的战意	4	1	24	24	0	0	0	0	Pet/skillposter/poster_skill_pet_huamo.png	Pet/skillposter/poster_skillinfo_pet_huamo.png	none	1	none	buffc	none	41
300010	低级毁灭	3	用这力量，获取毁灭天地的意志	4	1	24	24	0	0	0	0	Pet/skillposter/poster_skill_pet_huimie.png	Pet/skillposter/poster_skillinfo_pet_huimie.png	none	1	none	buffc	none	42
300011	低级狂暴	3	面对狂暴状态下的野兽，还要做无谓的抵抗吗	6	1	41	41	0	0	0	0	Pet/skillposter/poster_skill_pet_kuangbao.png	Pet/skillposter/poster_skillinfo_pet_kuangbao.png	none	1	none	buffc	none	43
300012	低级治疗	3	忘却伤痛继续作战吧！	7	1	49	49	0	0	0	0	Pet/skillposter/poster_skill_pet_zhiliao.png	Pet/skillposter/poster_skillinfo_pet_zhiliao.png	none	1	none	buffc	none	44
300013	低级灵动	3	尝尝看跟上我的步伐吧！	8	1	41	41	0	0	0	0	Pet/skillposter/poster_skill_pet_fuchou.png	Pet/skillposter/poster_skillinfo_pet_fuchou.png	none	1	none	buffc	none	45
300014	低级猎杀	3	没有人能逃过我的追击	9	1	49	49	0	0	0	0	Pet/skillposter/poster_skill_pet_paoxiao.png	Pet/skillposter/poster_skillinfo_pet_paoxiao.png	none	1	none	buffc	none	46
300015	低级血祭	3	凝聚鲜血的屏障可以阻挡任何攻击！	10	1	41	41	0	0	0	0	Pet/skillposter/poster_skill_pet_xueji.png	Pet/skillposter/poster_skillinfo_pet_xueji.png	none	1	none	buffc	none	47
300016	低级破魔	3	粉碎一切阻碍，直取要害	11	1	40	40	0	0	0	0	Pet/skillposter/poster_skill_pet_mishi.png	Pet/skillposter/poster_skillinfo_pet_mishi.png	none	1	none	buffc	none	48
