id	type	目标	描述	品质	活跃值	完成次数	completeRewards	跳转页面	跳转的冒险子页面id	跳转类型	跳转条件	引导脚本
21	2	通过自由世界关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001004:10	CareerPage	0	0	none	none
22	2	通过正义必胜关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002004:10	CareerPage	0	0	none	none
23	2	学习决斗	点击决斗按钮，与其他玩家进行1次决斗	0	0	1	61001:2502001:1	ArenaPage	0	0	none	none
24	2	进入决斗前1000名	进入决斗前1000名	0	0	1	11001:1002:20000	ArenaPage	0	0	none	none
25	2	进入决斗前500名	进入决斗前500名	0	0	1	11001:1002:50000	ArenaPage	0	0	none	none
26	2	进入决斗前100名	进入决斗前100名	0	0	1	11001:1002:100000	ArenaPage	0	0	none	none
27	2	进入决斗前50名	进入决斗前50名	0	0	1	11001:1002:500000	ArenaPage	0	0	none	none
28	2	进入决斗前10名	进入决斗前10名	0	0	1	11001:1002:3000000	ArenaPage	0	0	none	none
29	2	领取培养药剂	在决斗页面领奖分页，每10分钟根据排名可领取一次培养药剂	0	0	1	61001:2503001:2	ArenaPage	0	0	none	none
30	2	普通培养	培养是提升船员能力最重要的途径	0	0	1	61001:1502001:100	DisciplePage	0	0	none	Guide_DiscipleTrain_Common
31	2	精心培养	精心培养可将更多潜力转化为属性，节省培养药剂	0	0	1	11001:1001:10	DisciplePage	0	0	none	Guide_DiscipleTrain_Carefully
32	2	百次培养	对船员进行100次任意培养	0	0	100	61001:1501002:2	DisciplePage	0	0	none	none
33	2	学习强化	对任意装备进行10次强化	0	0	10	11001:1002:10000	EquipPage	0	0	none	Guide_EquipEnhance
34	2	商店招募	在商店进行一次招募船员操作	0	0	1	11001:1002:3000	MarketPage	0	0	none	none
35	2	上阵4名船员	点击阵容按钮，滑动至空位上阵新船员	0	0	4	11001:1002:5000	TeamPage	4	0	hasTeamPosition	none
36	2	影子招募	凑齐影子，招募一名船员	0	0	1	11001:1002:5000	DisciplePage	2	0	none	Guide_SoulRecruit
37	2	A级船员	招募1名A级船员	0	0	1	61001:1503001:1	MarketPage	0	0	none	none
38	2	再获得3名A级船员	再获得3名A级船员，之前拥有不计算在内。	0	0	3	61001:1503002:1	MarketPage	0	0	none	none
39	2	再获得5名A级船员	再获得5名A级船员，之前拥有不计算在内。	0	0	5	61001:1501001:3	MarketPage	0	0	none	none
40	2	再获得8名A级船员	再获得8名A级船员，之前拥有不计算在内。	0	0	8	61001:1501002:10	MarketPage	0	0	none	none
41	2	王下七武海	凑齐鹰眼、汉库克、甚平、多弗朗明哥、莫利亚、克洛克达尔、熊	0	0	1	61001:1502001:100	MarketPage	0	0	none	none
42	2	海军三大将	凑齐赤犬、青稚、黄猿	0	0	1	61001:1502001:500	MarketPage	0	0	none	none
43	2	拼合奥义	从其他玩家处夺取奥义碎片，拼合1次奥义	0	0	1	11001:1002:5000	AdventurePage	8	0	adventureOpen	Guide_SkillPiece
44	2	拼合10次奥义	拼合10次奥义	0	0	10	11001:1002:30000	AdventurePage	8	0	adventureOpen	none
45	2	拼合100次奥义	拼合100次奥义	0	0	100	41001:17:1	AdventurePage	8	0	adventureOpen	none
46	2	拼合500次奥义	拼合500次奥义	0	0	500	41001:18:1	AdventurePage	8	0	adventureOpen	none
47	2	A级奥义	获取1个A级奥义，亲吻女帝和开金银箱子都可获得	0	0	1	11001:1002:10000	PackagePage	2	0	none	none
48	2	将A级奥义提升至2级	点击奥义按钮，选择一个奥义进行参悟，可提升奥义等级	0	0	2	11001:1002:10000	SkillPage	0	0	none	Guide_SkillUpgrade
49	2	将A级奥义提升至5级	将任意A级奥义提升至5级	0	0	5	11001:1002:100000	SkillPage	0	0	none	none
50	2	将A级奥义提升至10级	将任意A级奥义提升至10级	0	0	10	41001:19:1	SkillPage	0	0	none	none
51	2	初识修行	点击主页的修行按钮，可进行攻防血意修行，提升所有上阵船员属性	0	0	1	11001:1002:3000	TeamBuffPage	0	0	hasTeamBuff	Guide_TeamBuffUpgrade
52	2	修行强化	将任意修行提升至10级	0	0	10	11001:1002:10000	TeamBuffPage	0	0	hasTeamBuff	none
53	2	修行精进	将任意修行提升至50级	0	0	50	11001:1002:2000000	TeamBuffPage	0	0	hasTeamBuff	none
54	2	获得200钻石	升到指定等级可在冒险界面领取钻石	0	0	200	11001:1002:5000	AdventurePage	9	0	adventureOpen	none
55	2	获得100w贝里	首次充值可获得100w贝里。勇往直前和开箱子也可获得大量贝里	0	0	1000000	61001:1501001:2	AdventurePage	140	0	adventureOpen	none
56	2	获得1000w贝里	首次充值可获得100w贝里。勇往直前和开箱子也可获得大量贝里	0	0	10000000	61001:1501001:5	AdventurePage	140	0	adventureOpen	none
57	2	获得3000w贝里	首次充值可获得100w贝里。勇往直前和开箱子也可获得大量贝里	0	0	30000000	61001:5003002:30	AdventurePage	140	0	adventureOpen	none
58	2	获得6000w贝里	首次充值可获得100w贝里。勇往直前和开箱子也可获得大量贝里	0	0	60000000	61001:5003001:5	AdventurePage	140	0	adventureOpen	none
59	2	获得1亿贝里	首次充值可获得100w贝里。勇往直前和开箱子也可获得大量贝里	0	0	100000000	61001:5004003:1	AdventurePage	140	0	adventureOpen	none
60	2	开启1次任意宝箱	开启宝箱可获得A、B级装备和各种珍稀道具，宝箱可	0	0	1	11001:1002:3000	PackagePage	2	0	none	none
61	2	开启10个任意宝箱	开启宝箱可获得A、B级装备和各种珍稀道具，宝箱可	0	0	10	11001:1002:10000	PackagePage	2	0	none	none
62	2	开启10个金宝箱	开启宝箱可获得A、B级装备和各种珍稀道具，宝箱可	0	0	10	61001:3002004:3	PackagePage	2	0	none	none
63	2	开启1000个金宝箱	开启宝箱可获得A、B级装备和各种珍稀道具，宝箱可	0	0	1000	11001:1001:300	PackagePage	2	0	none	none
64	2	开启10000个金宝箱	开启宝箱可获得A、B级装备和各种珍稀道具，宝箱可	0	0	10000	61001:5006009:1	PackagePage	2	0	none	none
65	2	获得1件B级装备	金银宝箱可获得A和B级装备	0	0	1	11001:1001:50	PackagePage	2	0	none	none
66	2	获得1件A级装备	金银宝箱可获得A和B级装备	0	0	1	61001:5001021:3	PackagePage	2	0	none	none
67	2	获得3件A级装备	金银宝箱可获得A和B级装备	0	0	3	61001:5001022:4	PackagePage	2	0	none	none
68	2	获得6个A级装备	金银宝箱可获得A和B级装备	0	0	6	61001:5001033:2	PackagePage	2	0	none	none
69	2	获得10件A级装备	金银宝箱可获得A和B级装备	0	0	10	61001:5001031:4	PackagePage	2	0	none	none
70	2	参与1次勇往直前	参与勇往直前可获得宝箱和钥匙，以及海量贝里	0	0	1	11001:1002:200000	AdventurePage	5	0	adventureOpen	none
71	2	勇往直前闯过第20关	参与勇往直前可获得宝箱和钥匙，以及海量贝里	0	0	1	11001:1002:20000	AdventurePage	5	0	adventureOpen	none
72	2	勇往直前闯过第40关	参与勇往直前可获得宝箱和钥匙，以及海量贝里	0	0	1	11001:1002:50000	AdventurePage	5	0	adventureOpen	none
73	2	勇往直前闯过第70关	参与勇往直前可获得宝箱和钥匙，以及海量贝里	0	0	1	11001:1001:30	AdventurePage	5	0	adventureOpen	none
74	2	勇往直前闯过第100关	参与勇往直前可获得宝箱和钥匙，以及海量贝里	0	0	1	61001:1502001:300	AdventurePage	5	0	adventureOpen	none
75	2	升级到vip3级	将vip等级提升至3级	0	0	3	61001:1502001:100	RechargePage	0	1	none	none
76	2	升级到vip5级	将vip等级提升至5级	0	0	5	61001:1502001:200	RechargePage	0	1	none	none
77	2	升级到vip7级	将vip等级提升至7级	0	0	7	61001:1502001:300	RechargePage	0	1	none	none
78	2	升级到vip9级	将vip等级提升至9级	0	0	9	61001:1502001:400	RechargePage	0	1	none	none
79	2	升级到vip10级	将vip等级提升至10级	0	0	10	61001:1502001:50	RechargePage	0	1	none	none
80	2	升级到vip11级	将vip等级提升至11级	0	0	11	61001:1502001:600	RechargePage	0	1	none	none
81	2	升级到vip12级	将vip等级提升至12级	0	0	12	61001:1502001:750	RechargePage	0	1	none	none
82	2	升级到vip13级	将vip等级提升至13级	0	0	13	61001:1502001:1000	RechargePage	0	1	none	none
83	2	攻击1次黑胡子	每晚20:30可攻打黑胡子，获取培养药剂和贝里	0	0	1	11001:1002:10000	AdventurePage	6	0	adventureOpen	none
84	2	攻击60次黑胡子	每晚20:30可攻打黑胡子，获取培养药剂和贝里	0	0	60	11001:1002:100000	AdventurePage	6	0	adventureOpen	none
85	2	最终击杀黑胡子	最后一下击杀黑胡子的玩家将获得大量贝里	0	0	1	11001:1001:200	AdventurePage	6	0	adventureOpen	none
86	2	攻击1000次黑胡子	每晚20:30可攻打黑胡子，获取培养药剂和贝里	0	0	1000	11001:1001:300	AdventurePage	6	0	adventureOpen	none
87	2	将等级提升至16级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	16	61001:2502001:3	CareerPage	0	0	none	none
88	2	将等级提升至20级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	20	61001:5001011:3	CareerPage	0	0	none	none
89	2	将等级提升至25级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	25	61001:5001022:3	CareerPage	0	0	none	none
90	2	将等级提升至30级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	30	61001:5001033:3	CareerPage	0	0	none	none
91	2	将等级提升至35级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	35	61001:5001031:3	CareerPage	0	0	none	none
92	2	将等级提升至40级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	40	61001:5001042:2	CareerPage	0	0	none	none
93	2	将等级提升至45级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	45	61001:5001053:1	CareerPage	0	0	none	none
94	2	将等级提升至50级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	50	61001:5001061:1	CareerPage	0	0	none	none
269	2	将等级提升至55级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	55	61001:5001062:2	CareerPage	0	0	none	none
270	2	将等级提升至60级	航海、决斗和抢夺奥义碎片都能获得威望，提升船长等级	0	0	60	61001:5001063:4	CareerPage	0	0	none	none
95	2	进行1次突破操作	已有卡牌，凑齐指定数量影子，可对该卡牌进行突破，提升潜力	0	0	1	11001:1002:5000	DisciplePage	2	0	none	Guide_SoulUpgrade
96	2	将1张卡牌突破至5级	将任意1张卡牌突破至5级	0	0	5	61001:1502001:100	DisciplePage	2	0	none	none
97	2	将1张A卡突破至10级	将1张A卡突破至10级	0	0	10	61001:1502001:300	DisciplePage	2	0	none	none
98	2	运送1次宝藏	每天中午12:20-12:50期间可接取宝藏，运送结束可得钻石	0	0	1	11001:1002:5000	AdventurePage	105	0	none	none
99	2	抢夺5次宝藏	每天中午12:20-13:00可抢夺正在运送中的宝藏，获得钻石	0	0	5	61001:1501001:2	AdventurePage	105	0	none	none
100	2	抢夺10次宝藏	每天中午12:20-13:00可抢夺正在运送中的宝藏，获得钻石	0	0	10	61001:1501001:3	AdventurePage	105	0	none	none
101	2	运送1次B级宝藏	运送B级宝藏，可获得更多奖励	0	0	1	11001:1001:20	AdventurePage	105	0	none	none
102	2	运送1次A级宝藏	运送A级宝藏，可获得更多奖励和稀有装备	0	0	1	11001:1001:50	AdventurePage	105	0	none	none
103	2	联盟	创建或加入一个联盟	0	0	1	61001:1501001:1	LianMengAddPage	0	0	none	none
104	2	攻击10次恶魔之力	在联盟的恶魔之力页面，可点击掠夺其他联盟按钮，选择一个联盟攻击其恶魔之力	0	0	10	61001:1501001:2	LianMengTotem	0	0	hasLeagua	none
105	2	获得500点联盟贡献	获得500点联盟贡献	0	0	500	61001:1501001:3	LianMengTotem	0	0	hasLeagua	none
106	2	联盟商店	在联盟商店购买一次商品	0	0	1	11001:1002:10000	LianMengShopPage	0	0	hasLeagua	none
107	2	攻击100次恶魔之力	攻击100次恶魔之力	0	0	100	61001:1501001:5	LianMengTotem	0	0	hasLeagua	none
108	2	获得1000点联盟贡献	获得1000点联盟贡献	0	0	1000	61001:1501002:2	LianMengTotem	0	0	hasLeagua	none
109	2	参与1次盟战	参与1次盟战	0	0	1	11001:1001:50	LianMengBattlePage	0	0	hasLeagua	none
110	2	在盟战中完成5连杀	盟主或副盟主可竞价盟战据点，竞价成功后21:00-21:30参与盟战	0	0	1	11001:1001:10	LianMengBattlePage	0	0	hasLeagua	none
111	2	在盟战中完成10连杀	盟主或副盟主可竞价盟战据点，竞价成功后21:00-21:30参与盟战	0	0	1	11001:1001:50	LianMengBattlePage	0	0	hasLeagua	none
112	2	在盟战中完成20连杀	盟主或副盟主可竞价盟战据点，竞价成功后21:00-21:30参与盟战	0	0	1	11001:1001:100	LianMengBattlePage	0	0	hasLeagua	none
113	2	完成1次宝石镶嵌	将装备开孔后可镶嵌宝石，相关道具可在商店购买	0	0	1	61001:1502001:300	EquipPage	0	0	none	none
114	2	3级宝石	将任意1颗宝石提升至3级	0	0	3	61001:5002001:5	PackagePage	3	0	none	none
115	2	宝石共鸣	按照孔颜色镶嵌对应宝石，激活1件B级以上装备的额外镶嵌属性	0	0	1	61001:5002001:10	EquipPage	0	0	none	none
116	2	5级宝石	将任意1颗宝石提升至5级	0	0	5	61001:5001053:1	PackagePage	3	0	none	none
117	2	6级宝石	将任意1颗宝石提升至6级	0	0	6	61001:5001051:3	PackagePage	3	0	none	none
118	2	7级宝石	将任意1颗宝石提升至7级	0	0	7	61001:5004003:1	PackagePage	3	0	none	none
179	2	采摘恶魔果实	采摘恶魔果实5次	0	0	5	11001:1001:20	AdventurePage	135	0	none	none
180	2	采摘恶魔果实	采摘恶魔果实10次	0	0	10	11001:1001:40	AdventurePage	135	0	none	none
181	2	采摘恶魔果实	采摘恶魔果实50次	0	0	50	11001:1001:200	AdventurePage	135	0	none	none
182	2	采摘恶魔果实	采摘恶魔果实200次	0	0	200	11001:1001:800	AdventurePage	135	0	none	none
183	2	优质果实	获得A品质恶魔果实1个	0	0	1	61001:1502001:100	AdventurePage	135	0	none	none
184	2	优质果实	获得A品质恶魔果实3个	0	0	3	61001:1502001:300	AdventurePage	135	0	none	none
185	2	优质果实	获得A品质恶魔果实7个	0	0	7	61001:1502001:700	AdventurePage	135	0	none	none
186	2	优质果实	获得A品质恶魔果实10个	0	0	10	61001:1502001:1000	AdventurePage	135	0	none	none
187	2	探索	探索10次	0	0	10	11001:1002:2000	EnergyCorePage	1	0	none	none
188	2	探索	探索100次	0	0	100	11001:1002:20000	EnergyCorePage	1	0	none	none
189	2	探索	探索1000次	0	0	1000	11001:1002:200000	EnergyCorePage	1	0	none	none
190	2	探索	探索5000次	0	0	5000	11001:1002:1000000	EnergyCorePage	1	0	none	none
191	2	伟大航路	达到伟大航路1次	0	0	1	11001:1001:30	EnergyCorePage	1	0	none	none
192	2	伟大航路	达到伟大航路10次	0	0	10	61001:6001001:1	EnergyCorePage	1	0	none	none
193	2	伟大航路	达到伟大航路50次	0	0	50	61001:6001001:2	EnergyCorePage	1	0	none	none
194	2	伟大航路	达到伟大航路100次	0	0	100	61001:6001001:3	EnergyCorePage	1	0	none	none
195	2	超级能量核	获得A级能量之核1个	0	0	1	11001:1002:20000	EnergyCorePage	1	0	none	none
196	2	超级能量核	获得A级能量之核5个	0	0	5	11001:1002:100000	EnergyCorePage	1	0	none	none
197	2	超级能量核	获得A级能量之核10个	0	0	10	11001:1002:200000	EnergyCorePage	1	0	none	none
198	2	超级能量核	获得A级能量之核20个	0	0	20	11001:1002:400000	EnergyCorePage	1	0	none	none
199	2	超级精华	获得S级精华1个	0	0	1	11001:1001:50	EnergyCorePage	1	0	none	none
200	2	超级精华	获得S级精华3个	0	0	3	81005:51:1	EnergyCorePage	1	0	none	none
201	2	超级精华	获得S级精华7个	0	0	7	81005:51:2	EnergyCorePage	1	0	none	none
202	2	超级精华	获得S级精华10个	0	0	10	81005:51:3	EnergyCorePage	1	0	none	none
203	2	跨服战	参加跨服战1次	0	0	1	11001:1001:50	AdventurePage	132	0	none	none
204	2	跨服战	参加跨服战3次	0	0	3	11001:1001:100	AdventurePage	132	0	none	none
205	2	跨服战	参加跨服战7次	0	0	7	11001:1001:200	AdventurePage	132	0	none	none
206	2	顶级装备	锻造A级装备1件	0	0	1	61001:5003001:2	AdventurePage	104	0	none	none
207	2	顶级装备	锻造A级装备3件	0	0	3	61001:5003001:6	AdventurePage	104	0	none	none
208	2	顶级装备	锻造A级装备5件	0	0	5	61001:5003001:10	AdventurePage	104	0	none	none
209	2	顶级装备	锻造A级装备7件	0	0	7	61001:5003001:14	AdventurePage	104	0	none	none
210	2	占卜大师	占卜5次	0	0	5	11001:1001:10	AdventurePage	106	0	none	none
211	2	占卜大师	占卜10次	0	0	10	11001:1001:100	AdventurePage	106	0	none	none
212	2	占卜大师	占卜20次	0	0	20	11001:1001:200	AdventurePage	106	0	none	none
213	2	通过白胡子时代关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001032:3	CareerPage	0	0	none	none
214	2	通过诺亚方舟关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5002001:40	CareerPage	0	0	none	none
215	2	通过死亡国度关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001033:3	CareerPage	0	0	none	none
216	2	通过回收凯撒关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001004:15	CareerPage	0	0	none	none
217	2	通过艾斯的意志关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002004:15	CareerPage	0	0	none	none
218	2	通过精英关卡-杂耍参谋关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001002:4	EliteCareerPage	0	0	none	none
219	2	通过精英关卡-海贼提督关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002002:4	EliteCareerPage	0	0	none	none
220	2	通过精英关卡-锯齿鲨鱼关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001002:7	EliteCareerPage	0	0	none	none
221	2	通过精英关卡-颠倒山关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002002:7	EliteCareerPage	0	0	none	none
222	2	通过精英关卡-一万公斤关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:1101002:7	EliteCareerPage	0	0	none	none
223	2	通过精英关卡-蜡烛盛宴关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:1503001:3	EliteCareerPage	0	0	none	none
224	2	通过精英关卡-磁鼓国王关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001003:7	EliteCareerPage	0	0	none	none
225	2	通过精英关卡-超越关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002003:7	EliteCareerPage	0	0	none	none
226	2	通过精英关卡-遗迹对决关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	11001:1002:200000	EliteCareerPage	0	0	none	none
227	2	通过精英关卡-船长对决关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001021:3	EliteCareerPage	0	0	none	none
228	2	通过精英关卡-劫持关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5002001:21	EliteCareerPage	0	0	none	none
229	2	通过精英关卡-空气门关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:1503002:2	EliteCareerPage	0	0	none	none
230	2	通过精英关卡-向世界宣战关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:1501001:4	EliteCareerPage	0	0	none	none
231	2	通过精英关卡-决战之桥关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:1501002:3	EliteCareerPage	0	0	none	none
232	2	通过精英关卡-影子集合地关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001032:3	EliteCareerPage	0	0	none	none
233	2	通过精英关卡-闪光人关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5002001:40	EliteCareerPage	0	0	none	none
234	2	通过精英关卡-致命之疾关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001033:3	EliteCareerPage	0	0	none	none
235	2	通过精英关卡-自由世界关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001004:14	EliteCareerPage	0	0	none	none
236	2	通过精英关卡-正义必胜关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002004:14	EliteCareerPage	0	0	none	none
237	2	通过精英关卡-白胡子时代关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001032:4	EliteCareerPage	0	0	none	none
238	2	通过精英关卡-诺亚方舟关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5002001:50	EliteCareerPage	0	0	none	none
239	2	通过精英关卡-死亡国度关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:5001033:4	EliteCareerPage	0	0	none	none
240	2	通过精英关卡-回收凯撒关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3001004:21	EliteCareerPage	0	0	none	none
241	2	通过精英关卡-艾斯的意志关卡	可刷旧关卡提升船员等级，或者对船员进行培养，提升实力	0	0	1	61001:3002004:21	EliteCareerPage	0	0	none	none
271	2	斗牛竞技场	历史累计积分达到10000	0	0	10000	61001:1502001:100	AdventurePage	178	0	none	none
272	2	斗牛竞技场	历史累计积分达到20000	0	0	20000	61001:1502001:200	AdventurePage	178	0	none	none
273	2	斗牛竞技场	历史累计积分达到50000	0	0	50000	61001:1502001:3000	AdventurePage	178	0	none	none
274	2	融合能量核	通过融合获得1个融合核	0	0	1	11001:1002:100000	EnergyCorePage	4	0	none	none
275	2	融合能量核	通过融合再获得5个融合核	0	0	5	11001:1002:200000	EnergyCorePage	4	0	none	none
276	2	融合能量核	通过融合再获得10个融合核	0	0	10	11001:1002:400000	EnergyCorePage	4	0	none	none
277	2	升级融合核	将任意融合核升到3级	0	0	3	11001:1002:100000	EnergyCorePage	3	0	none	none
278	2	升级融合核	将任意融合核升到5级	0	0	5	11001:1002:200000	EnergyCorePage	3	0	none	none
279	2	升级融合核	将任意融合核升到10级	0	0	10	11001:1002:400000	EnergyCorePage	3	0	none	none
119	1	强化装备	点主页装备按钮，可选择装备进行强化	4	3	2	61001:1502001:30	EquipPage	0	0	none	none
120	1	强化装备	点主页装备按钮，可选择装备进行强化	3	5	4	61001:1502001:50	EquipPage	0	0	none	none
121	1	强化装备	点主页装备按钮，可选择装备进行强化	2	8	6	61001:1502001:80	EquipPage	0	0	none	none
122	1	强化装备	点主页装备按钮，可选择装备进行强化	1	12	8	61001:1502001:120	EquipPage	0	0	none	none
123	1	进行远航	远航闯关，获得威望和经验，以及各种道具	4	3	2	61001:1502001:30	CareerPage	0	0	none	none
124	1	进行远航	远航闯关，获得威望和经验，以及各种道具	3	5	4	61001:1502001:50	CareerPage	0	0	none	none
125	1	进行远航	远航闯关，获得威望和经验，以及各种道具	2	8	6	61001:1502001:80	CareerPage	0	0	none	none
126	1	进行远航	远航闯关，获得威望和经验，以及各种道具	1	12	8	61001:1502001:120	CareerPage	0	0	none	none
127	1	奥义升级	升级奥义可大幅提升奥义威力	4	3	1	61001:1502001:30	SkillPage	0	0	none	none
128	1	奥义升级	升级奥义可大幅提升奥义威力	3	5	2	61001:1502001:50	SkillPage	0	0	none	none
129	1	奥义升级	升级奥义可大幅提升奥义威力	2	8	3	61001:1502001:80	SkillPage	0	0	none	none
130	1	奥义升级	升级奥义可大幅提升奥义威力	1	12	4	61001:1502001:120	SkillPage	0	0	none	none
131	1	抢夺碎片	获得奥义碎片时，可抢夺他人碎片拼合完整奥义	4	3	1	61001:1502001:30	AdventurePage	8	0	none	none
132	1	抢夺碎片	获得奥义碎片时，可抢夺他人碎片拼合完整奥义	3	5	2	61001:1502001:50	AdventurePage	8	0	none	none
133	1	抢夺碎片	获得奥义碎片时，可抢夺他人碎片拼合完整奥义	2	8	3	61001:1502001:80	AdventurePage	8	0	none	none
134	1	抢夺碎片	获得奥义碎片时，可抢夺他人碎片拼合完整奥义	1	12	4	61001:1502001:120	AdventurePage	8	0	none	none
