ID	名称	触发类别	属性提升额度	机缘描述
52	天赋共鸣	5	22	装备中级撕咬技能,攻击提升22%。
53	美味大餐	1	19	与索隆齐上阵,防御提升19%。
54	天然呆笨	4	24	与宠物哈德利齐上阵,血量提升24%。
55	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
56	天赋共鸣	5	21	装备中级爪击技能,攻击提升21%。
57	代代饲养	1	20	与汉库克齐上阵,防御提升20%。
58	猫科动物	4	24	与宠物利基齐上阵,血量提升24%。
59	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
60	天赋共鸣	5	21	装备中级猎杀技能,攻击提升21%。
61	主人身份	1	19	与罗布·路奇齐上阵,防御提升19%。
62	口吐人言	4	23	与宠物帕帕谷齐上阵,血量提升23%。
63	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
64	天赋共鸣	5	22	装备中级灵动技能,攻击提升22%。
65	主人身份	1	19	与摩奇齐上阵,防御提升19%。
66	猫科动物	4	24	与宠物芭秋拉齐上阵,血量提升24%。
67	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
68	天赋共鸣	5	18	装备中级治疗技能,攻击提升18%。
69	护送回家	1	22	与甚平齐上阵,防御提升22%。
70	他乡故知	4	25	与宠物哞哞齐上阵,血量提升25%。
71	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
72	天赋共鸣	5	19	装备中级护盾技能,攻击提升19%。
73	主人身份	1	22	与佩罗娜齐上阵,防御提升22%。
74	沉默是金	4	24	与宠物战国山羊齐上阵,血量提升24%。
75	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
76	天赋共鸣	5	20	装备中级净化技能,攻击提升20%。
77	主人身份	1	22	与凯米齐上阵,防御提升22%。
78	口吐人言	4	24	与宠物哈德利齐上阵,血量提升24%。
79	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
80	天赋共鸣	5	20	装备中级护盾技能,攻击提升20%。
81	同门之谊	1	21	与弗兰奇齐上阵,防御提升21%。
82	永不放弃	4	23	与宠物咻咻齐上阵,血量提升23%。
83	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
84	天赋共鸣	5	18	装备中级血祭技能,攻击提升18%。
85	杀兄仇人	1	21	与瓦波尔齐上阵,防御提升21%。
86	磁鼓生物	4	24	与宠物拉邦齐上阵,血量提升24%。
87	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
88	天赋共鸣	5	21	装备低级爪击技能,攻击提升21%。
89	北海出身	1	16	与德雷克齐上阵,防御提升16%。
90	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
91	天赋共鸣	5	19	装备低级化魔技能,攻击提升19%。
92	空岛出身	1	17	与艾尼路齐上阵,防御提升17%。
93	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
94	天赋共鸣	5	16	装备低级护盾技能,攻击提升16%。
95	一路向北	1	21	与路飞齐上阵,防御提升21%。
96	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
97	天赋共鸣	5	22	装备低级净化技能,攻击提升22%。
98	草帽哥哥	1	17	与路飞齐上阵,防御提升17%。
99	并肩作战	6	20	宠物出战时，为战斗船员提升宠物岛总属性的20%
100	天赋共鸣	5	18	装备低级破魔技能,攻击提升18%。
101	毁店之仇	1	20	与巴基齐上阵,防御提升20%。
