id	名称	关注微信开关	服务器开服提示各平台差异	首冲翻倍额度	bbs开启状态	反馈信息跳转页面规则	运维公告页面开启状态	About页面	被排除的关于id	被排除的公告id	是否启用有爱大版本更新
51	Android_51	1	none	100000	1	none	1	AboutPage	0	0	1
52	Android_Mumayi	1	none	100000	1	none	1	AboutPage	0	0	1
53	Android_YouaiGGTW	1	none	100000	1	none	1	AboutPage	0	0	1
54	Android_YouaiGGXMT	1	none	100000	1	none	1	AboutPage	0	0	1
55	Android_YouaiThai	1	none	100000	1	none	1	AboutPage	0	0	1
56	Android_YouaiGGWS	1	none	100000	1	none	1	AboutPage	0	0	1
57	Android_Vivo	1	none	100000	1	none	1	AboutPage	0	0	1
58	Android_YouaiGGTop	1	none	100000	1	none	1	AboutPage	0	0	1
59	Android_MengChengHuDong	1	none	100000	1	none	1	AboutPage	0	0	1
60	Android_Openqq	1	none	100000	1	none	1	AboutPage	0	0	1
61	Android_EloveGame	1	none	100000	1	none	1	AboutPage	0	0	1
62	Android_YouaiGGZH	1	none	100000	1	none	1	AboutPage	0	0	1
63	Android_YouaiYingYu	1	none	100000	1	none	1	AboutPage	0	0	1
64	Android_Youaikorean	1	none	100000	1	none	1	AboutPage	0	0	1
65	Android_Youaiggbw	1	none	100000	1	none	1	AboutPage	0	0	1
66	Android_Amazon	1	none	100000	1	none	1	AboutPage	0	0	1
67	Android_Coolpay	1	none	100000	1	none	1	AboutPage	0	0	1
68	Android_MiPad	1	none	100000	1	none	1	AboutPage	0	0	1
69	Android_YouaiGgfb	1	none	100000	1	none	1	AboutPage	0	0	1
70	Android_YouaiGash	1	none	100000	1	none	1	AboutPage	0	0	1
73	Android_Qitian	1	none	100000	1	none	1	AboutPage	0	0	1
74	Android_8868	1	none	100000	1	none	1	AboutPage	0	0	1
75	Android_YouaiCard	1	none	100000	1	none	1	AboutPage	0	0	1
76	Android_YouaiBlueStack	1	none	100000	1	none	1	AboutPage	0	0	1
77	Android_Nduo2	1	none	100000	1	none	1	AboutPage	0	0	1
78	Android_YouLong	1	none	100000	1	none	1	AboutPage	0	0	1
89	Android_Doudou	1	none	100000	1	none	1	AboutPage	0	0	1
133	Android_AnZhiGG	1	none	100000	1	none	1	AboutPage	0	0	1
200	WPStore	1	none	100000	1	none	1	AboutPage	0	0	1
1001	91	1	none	100000	1	none	1	AboutPage	0	0	1
1002	PP	1	none	100000	1	none	1	AboutPage	0	0	1
1003	AppleGarden	1	none	100000	1	AboutPage	1	AboutPage	0	0	1
1004	AppStore	1	none	6480	0	AboutPage	1	AboutPage	0	0	1
1005	TB	1	none	100000	1	AboutPage	1	AboutPage	0	0	1
1006	ITO	1	none	100000	0	AboutPage	1	AboutPage	0	0	1
1007	youai	1	none	100000	0	none	1	AboutPage	0	0	1
1008	KY	1	none	100000	0	none	1	AboutPage	0	0	1
1009	37WAN	1	none	100000	0	none	1	AboutPage	0	0	1
1010	CMGE	1	none	100000	0	none	0	AboutPage	0	0	1
1011	UC	1	none	100000	1	none	1	BBS	0	0	1
1012	dl	1	none	100000	0	none	1	AboutPage	0	0	1
1013	PPZB	1	none	100000	1	none	1	AboutPage	0	0	1
1014	49APP	1	none	100000	1	none	1	AboutPage	0	0	1
1015	as	1	none	100000	0	AboutPage	1	AboutPage	0	0	1
1016	qltd	1	none	100000	0	AboutPage	1	AboutPage	0	0	1
1017	qltd1574	1	none	100000	0	AboutPage	1	AboutPage	0	0	1
1018	qltd1575	1	none	100000	0	AboutPage	1	AboutPage	0	0	1
1019	qltd1576	1	none	100000	0	AboutPage	1	AboutPage	0	0	1
1020	qltd1577	1	none	100000	0	AboutPage	1	AboutPage	0	0	1
1021	qltd1578	1	none	100000	0	AboutPage	1	AboutPage	0	0	1
