关卡ID	试炼场ID	章ID	章节名称	关卡名称	BOSS类型	奖励类型	体力消耗数量	每日限制攻打成功次数	胜利后奖励经验	胜利后奖励银两	胜利后掉落物品	头像路径	战斗背景
10303	1	3	恶龙海贼团	恶龙海贼团-3	0	1	1	2	261	2157	0	members/head_char_jiu.png	battle\battleBG_beach.png
10304	1	3	恶龙海贼团	恶龙海贼团-4	2	1	2	10	310	2560	32002_65_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_3_0,61001_3002004_1_0,11001_1001_15_0,61001_5003002_2_0|32002_65_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_3_0,61001_3002004_1_0,11001_1001_15_0,61001_5003002_2_0|32002_65_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_3_0,61001_3002004_1_0,11001_1001_15_0,61001_5003002_2_0|32002_65_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003002_3_0,61001_3002004_1_0,11001_1001_15_0,61001_5003002_2_0	members/head_char_along.png	battle\battleBG_beach.png
20101	2	1	七水之都	七水之都-1	0	1	1	2	262	2008	0	members/head_char_gongren.png	battle\battleBG_beach.png
20102	2	1	七水之都	七水之都-2	0	1	1	2	347	3583	0	members/head_char_bulunuo.png	battle\battleBG_beach.png
20103	2	1	七水之都	七水之都-3	0	1	1	2	421	4611	0	members/head_char_kaku.png	battle\battleBG_beach.png
20104	2	1	七水之都	七水之都-4	2	1	2	10	512	5640	32002_62_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_1_0,61001_3001004_1_0,11001_1001_15_0|32002_62_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_1_0,61001_3001004_1_0,11001_1001_15_0|32002_62_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_1_0,61001_3001004_1_0,11001_1001_15_0|32002_62_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_1_0,61001_3001004_1_0,11001_1001_15_0	members/head_char_luqi.png	battle\battleBG_beach.png
20201	2	2	僵尸岛	僵尸岛-1	0	1	1	2	398	3978	0	members/head_char_jiangshi1.png	battle\battleBG_beach.png
20202	2	2	僵尸岛	僵尸岛-2	0	1	1	2	495	5240	0	members/head_char_jiangshi2.png	battle\battleBG_beach.png
20203	2	2	僵尸岛	僵尸岛-3	0	1	1	2	600	6144	0	members/head_char_peiluona.png	battle\battleBG_beach.png
20204	2	2	僵尸岛	僵尸岛-4	2	1	2	10	729	7048	32002_61_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_2_0,61001_3001004_1_0,11001_1001_15_0,61001_5003001_1_0|32002_61_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_2_0,61001_3001004_1_0,11001_1001_15_0,61001_5003001_1_0|32002_61_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_2_0,61001_3001004_1_0,11001_1001_15_0,61001_5003001_1_0|32002_61_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_2_0,61001_3001004_1_0,11001_1001_15_0,61001_5003001_1_0	members/head_char_moliya.png	battle\battleBG_beach.png
20301	2	3	海上餐厅	海上餐厅-1	0	1	1	2	506	5160	0	members/head_char_chushi1.png	battle\battleBG_beach.png
20302	2	3	海上餐厅	海上餐厅-2	0	1	1	2	654	7791	0	members/head_char_haidao5.png	battle\battleBG_beach.png
20303	2	3	海上餐厅	海上餐厅-3	0	1	1	2	778	9596	0	members/head_char_yingyan.png	battle\battleBG_beach.png
20304	2	3	海上餐厅	海上餐厅-4	2	1	2	10	897	11402	32002_59_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_3_0,61001_3001004_1_0,11001_1001_15_0,61001_5003001_1_0|32002_59_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_3_0,61001_3001004_1_0,11001_1001_15_0,61001_5003001_1_0|32002_59_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_3_0,61001_3001004_1_0,11001_1001_15_0,61001_5003001_1_0|32002_59_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_5003001_3_0,61001_3001004_1_0,11001_1001_15_0,61001_5003001_1_0	members/head_char_kelike.png	battle\battleBG_beach.png
30101	3	1	香波地群岛	香波地群岛-1	0	1	1	2	805	8852	0	members/head_char_px.png	battle\battleBG_beach.png
30102	3	1	香波地群岛	香波地群岛-2	0	1	1	2	912	9698	0	members/head_char_zhantaowan.png	battle\battleBG_beach.png
30103	3	1	香波地群岛	香波地群岛-3	0	1	1	2	1032	11954	0	members/head_char_xiong.png	battle\battleBG_beach.png
30104	3	1	香波地群岛	香波地群岛-4	2	1	2	10	1200	14211	32002_53_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_1_10,61001_3001004_1_0,11001_1001_15_0|32002_53_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_1_10,61001_3001004_1_0,11001_1001_15_0|32002_53_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_1_10,61001_3001004_1_0,11001_1001_15_0|32002_53_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_1_10,61001_3001004_1_0,11001_1001_15_0	members/head_char_huangyuan.png	battle\battleBG_beach.png
30201	3	2	司法岛	司法岛-1	0	1	1	2	987	10972	0	members/head_char_haijun3.png	battle\battleBG_beach.png
30202	3	2	司法岛	司法岛-2	0	1	1	2	1103	13166	0	members/head_char_kaxi.png	battle\battleBG_beach.png
30203	3	2	司法岛	司法岛-3	0	1	1	2	1233	14823	0	members/head_char_bulunuo.png	battle\battleBG_beach.png
30204	3	2	司法岛	司法岛-4	2	1	2	10	1391	16480	32002_60_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_2_0,61001_3001004_1_0,11001_1001_15_0,61001_4003001_1_0|32002_60_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_2_0,61001_3001004_1_0,11001_1001_15_0,61001_4003001_1_0|32002_60_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_2_0,61001_3001004_1_0,11001_1001_15_0,61001_4003001_1_0|32002_60_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_2_0,61001_3001004_1_0,11001_1001_15_0,61001_4003001_1_0	members/head_char_fozhizhanguo.png	battle\battleBG_beach.png
30301	3	3	海军总部	海军总部-1	0	1	1	2	1186	12738	0	members/head_char_dazuo.png	battle\battleBG_beach.png
30302	3	3	海军总部	海军总部-2	0	1	1	2	1305	17795	0	members/head_char_zhongjiang.png	battle\battleBG_beach.png
30303	3	3	海军总部	海军总部-3	0	1	1	2	1450	22854	0	members/head_char_fozhizhanguo.png	battle\battleBG_beach.png
30304	3	3	海军总部	海军总部-4	2	1	2	10	1600	27913	32001_41_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_3_0,61001_3001004_1_0,11001_1001_15_0,61001_4003001_1_0|32001_41_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_3_0,61001_3001004_1_0,11001_1001_15_0,61001_4003001_1_0|32001_41_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_3_0,61001_3001004_1_0,11001_1001_15_0,61001_4003001_1_0|32001_41_1_20,61001_1101003_1_0,61001_1502001_10_0,61001_4003001_3_0,61001_3001004_1_0,11001_1001_15_0,61001_4003001_1_0	members/head_char_heihuzi.png	battle\battleBG_beach.png
