NPC组ID	气势	人物1ID	人物1等级	人物2ID	人物2等级	人物3ID	人物3等级	人物4ID	人物4等级	人物5ID	人物5等级	人物6ID	人物6等级	人物7ID	人物7等级	人物8ID	人物8等级
609	0	6091	70	6092	51	6093	45	6094	38	0	0	0	0	0	0	0	0
610	0	6101	72	6102	53	6103	46	6104	39	0	0	0	0	0	0	0	0
611	0	6111	74	6112	54	6113	48	6114	40	0	0	0	0	0	0	0	0
612	0	6121	79	6122	58	6123	51	6124	43	0	0	0	0	0	0	0	0
701	0	7011	75	7012	55	7013	55	7014	48	7015	41	0	0	0	0	0	0
702	0	7021	76	7022	56	7023	56	7024	49	7025	41	0	0	0	0	0	0
703	0	7031	77	7032	56	7033	56	7034	50	7035	42	0	0	0	0	0	0
704	0	7041	78	7042	57	7043	57	7044	50	7045	42	0	0	0	0	0	0
705	0	7051	81	7052	59	7053	59	7054	52	7055	44	0	0	0	0	0	0
706	0	7061	80	7062	59	7063	59	7064	52	7065	44	0	0	0	0	0	0
707	0	7071	81	7072	59	7073	59	7074	52	7075	44	0	0	0	0	0	0
708	0	7081	82	7082	60	7083	60	7084	53	7085	45	0	0	0	0	0	0
709	0	7091	83	7092	61	7093	61	7094	53	7095	45	0	0	0	0	0	0
710	0	7101	86	7102	63	7103	63	7104	55	7105	47	0	0	0	0	0	0
711	0	7111	89	7112	65	7113	65	7114	57	7115	48	0	0	0	0	0	0
712	0	7121	91	7122	67	7123	67	7124	59	7125	50	0	0	0	0	0	0
801	0	8011	90	8012	66	8013	66	8014	58	8015	49	0	0	0	0	0	0
802	0	8021	91	8022	67	8023	67	8024	59	8025	50	0	0	0	0	0	0
803	0	8031	92	8032	68	8033	68	8034	59	8035	50	0	0	0	0	0	0
804	0	8041	93	8042	68	8043	68	8044	60	8045	51	0	0	0	0	0	0
805	0	8051	95	8052	70	8053	70	8054	61	8055	52	0	0	0	0	0	0
806	0	8061	94	8062	69	8063	69	8064	61	8065	51	0	0	0	0	0	0
807	0	8071	95	8072	70	8073	70	8074	61	8075	52	0	0	0	0	0	0
808	0	8081	96	8082	71	8083	71	8084	62	8085	52	0	0	0	0	0	0
809	0	8091	97	8092	71	8093	71	8094	63	8095	53	0	0	0	0	0	0
810	0	8101	101	8102	74	8103	74	8104	65	8105	55	0	0	0	0	0	0
811	0	8111	101	8112	74	8113	74	8114	65	8115	55	0	0	0	0	0	0
812	0	8121	105	8122	77	8123	77	8124	68	8125	57	0	0	0	0	0	0
813	0	8131	108	8132	79	8133	79	8134	70	8135	59	0	0	0	0	0	0
901	0	9011	106	9012	87	9013	78	9014	78	9015	68	9016	63	0	0	0	0
902	0	9021	108	9022	89	9023	79	9024	79	9025	70	9026	64	0	0	0	0
903	0	9031	110	9032	91	9033	81	9034	81	9035	71	9036	66	0	0	0	0
904	0	9041	112	9042	92	9043	82	9044	82	9045	72	9046	67	0	0	0	0
905	0	9051	114	9052	94	9053	84	9054	84	9055	74	9056	68	0	0	0	0
906	0	9061	118	9062	97	9063	87	9064	87	9065	76	9066	70	0	0	0	0
907	0	9071	117	9072	97	9073	86	9074	86	9075	76	9076	70	0	0	0	0
908	0	9081	119	9082	98	9083	88	9084	88	9085	77	9086	71	0	0	0	0
909	0	9091	121	9092	100	9093	89	9094	89	9095	78	9096	72	0	0	0	0
910	0	9101	123	9102	102	9103	91	9104	91	9105	79	9106	73	0	0	0	0
911	0	9111	125	9112	103	9113	92	9114	92	9115	81	9116	75	0	0	0	0
912	0	9121	129	9122	107	9123	95	9124	95	9125	83	9126	77	0	0	0	0
913	0	9131	127	9132	105	9133	93	9134	93	9135	82	9136	76	0	0	0	0
914	0	9141	135	9142	112	9143	99	9144	99	9145	87	9146	81	0	0	0	0
1001	0	10011	129	10012	107	10013	107	10014	95	10015	95	10016	83	10017	77	0	0
1002	0	10021	131	10022	108	10023	108	10024	96	10025	96	10026	85	10027	78	0	0
1003	0	10031	133	10032	110	10033	110	10034	98	10035	98	10036	86	10037	79	0	0
1004	0	10041	135	10042	112	10043	112	10044	99	10045	99	10046	87	10047	81	0	0
1005	0	10051	137	10052	113	10053	113	10054	101	10055	101	10056	89	10057	82	0	0
1006	0	10061	142	10062	117	10063	117	10064	105	10065	105	10066	92	10067	85	0	0
1007	0	10071	140	10072	116	10073	116	10074	103	10075	103	10076	91	10077	84	0	0
1008	0	10081	142	10082	117	10083	117	10084	105	10085	105	10086	92	10087	85	0	0
1009	0	10091	144	10092	119	10093	119	10094	106	10095	106	10096	93	10097	86	0	0
1010	0	10101	146	10102	121	10103	121	10104	108	10105	108	10106	94	10107	87	0	0
1011	0	10111	148	10112	122	10113	122	10114	109	10115	109	10116	96	10117	88	0	0
1012	0	10121	153	10122	126	10123	126	10124	113	10125	113	10126	99	10127	91	0	0
1013	0	10131	152	10132	126	10133	126	10134	112	10135	112	10136	98	10137	91	0	0
1014	0	10141	157	10142	130	10143	130	10144	116	10145	116	10146	102	10147	94	0	0
1015	0	10151	166	10152	137	10153	137	10154	122	10155	122	10156	107	10157	99	0	0
1101	0	11011	159	11012	131	11013	131	11014	117	11015	117	11016	103	11017	95	0	0
1102	0	11021	162	11022	134	11023	134	11024	119	11025	119	11026	105	11027	97	0	0
1103	0	11031	165	11032	136	11033	136	11034	122	11035	122	11036	107	11037	99	0	0
1104	0	11041	168	11042	139	11043	139	11044	124	11045	124	11046	109	11047	100	0	0
1105	0	11051	171	11052	141	11053	141	11054	126	11055	126	11056	111	11057	102	0	0
1106	0	11061	177	11062	146	11063	146	11064	130	11065	130	11066	115	11067	106	0	0
1107	0	11071	175	11072	145	11073	145	11074	129	11075	129	11076	113	11077	105	0	0
1108	0	11081	178	11082	147	11083	147	11084	131	11085	131	11086	115	11087	106	0	0
1109	0	11091	181	11092	150	11093	150	11094	133	11095	133	11096	117	11097	108	0	0
1110	0	11101	184	11102	152	11103	152	11104	136	11105	136	11106	119	11107	110	0	0
1111	0	11111	185	11112	153	11113	153	11114	136	11115	136	11116	120	11117	111	0	0
1112	0	11121	189	11122	156	11123	156	11124	139	11125	139	11126	122	11127	113	0	0
1113	0	11131	194	11132	161	11133	161	11134	143	11135	143	11136	126	11137	116	0	0
1114	0	11141	199	11142	165	11143	165	11144	147	11145	147	11146	129	11147	119	0	0
1115	0	11151	209	11152	173	11153	173	11154	154	11155	154	11156	135	11157	125	0	0
1201	0	12011	201	12012	166	12013	166	12014	148	12015	148	12016	130	12017	120	12018	120
1202	0	12021	204	12022	169	12023	169	12024	150	12025	150	12026	132	12027	122	12028	122
1203	0	12031	207	12032	171	12033	171	12034	153	12035	153	12036	134	12037	124	12038	124
1204	0	12041	210	12042	174	12043	174	12044	155	12045	155	12046	136	12047	126	12048	126
1205	0	12051	215	12052	178	12053	178	12054	159	12055	159	12056	139	12057	129	12058	129
1206	0	12061	214	12062	177	12063	177	12064	158	12065	158	12066	139	12067	128	12068	128
1207	0	12071	218	12072	180	12073	180	12074	161	12075	161	12076	141	12077	130	12078	130
1208	0	12081	222	12082	184	12083	184	12084	164	12085	164	12086	144	12087	133	12088	133
1209	0	12091	226	12092	187	12093	187	12094	167	12095	167	12096	146	12097	135	12098	135
1210	0	12101	234	12102	194	12103	194	12104	173	12105	173	12106	152	12107	140	12108	140
1211	0	12111	231	12112	191	12113	191	12114	170	12115	170	12116	150	12117	138	12118	138
1212	0	12121	239	12122	198	12123	198	12124	176	12125	176	12126	155	12127	143	12128	143
1213	0	12131	247	12132	205	12133	205	12134	182	12135	182	12136	160	12137	148	12138	148
1214	0	12141	252	12142	209	12143	209	12144	186	12145	186	12146	163	12147	151	12148	151
1215	0	12151	263	12152	218	12153	218	12154	194	12155	194	12156	170	12157	157	12158	157
1301	0	13011	259	13012	238	13013	214	13014	214	13015	191	13016	191	13017	168	13018	168
1302	0	13021	262	13022	241	13023	217	13024	217	13025	193	13026	193	13027	170	13028	170
1303	0	13031	265	13032	243	13033	219	13034	219	13035	196	13036	196	13037	172	13038	172
1304	0	13041	269	13042	247	13043	223	13044	223	13045	199	13046	199	13047	174	13048	174
1305	0	13051	271	13052	249	13053	224	13054	224	13055	200	13056	200	13057	176	13058	176
1306	0	13061	274	13062	252	13063	227	13064	227	13065	202	13066	202	13067	178	13068	178
1307	0	13071	277	13072	254	13073	229	13074	229	13075	204	13076	204	13077	180	13078	180
1308	0	13081	279	13082	256	13083	231	13084	231	13085	206	13086	206	13087	181	13088	181
1309	0	13091	281	13092	258	13093	233	13094	233	13095	207	13096	207	13097	182	13098	182
1310	0	13101	284	13102	261	13103	235	13104	235	13105	210	13106	210	13107	184	13108	184
1311	0	13111	287	13112	264	13113	238	13114	238	13115	212	13116	212	13117	186	13118	186
1312	0	13121	294	13122	270	13123	244	13124	244	13125	217	13126	217	13127	191	13128	191
1313	0	13131	300	13132	276	13133	249	13134	249	13135	222	13136	222	13137	195	13138	195
1314	0	13141	306	13142	281	13143	253	13144	253	13145	226	13146	226	13147	198	13148	198
1315	0	13151	309	13152	284	13153	256	13154	256	13155	228	13156	228	13157	200	13158	200
1316	0	13161	334	13162	307	13163	277	13164	277	13165	247	13166	247	13167	217	13168	217
1401	0	14011	319	14012	293	14013	264	14014	264	14015	236	14016	236	14017	207	14018	207
1402	0	14021	322	14022	296	14023	267	14024	267	14025	238	14026	238	14027	209	14028	209
1403	0	14031	324	14032	298	14033	268	14034	268	14035	239	14036	239	14037	210	14038	210
1404	0	14041	327	14042	300	14043	271	14044	271	14045	241	14046	241	14047	212	14048	212
1405	0	14051	330	14052	303	14053	273	14054	273	14055	244	14056	244	14057	214	14058	214
1406	0	14061	334	14062	307	14063	277	14064	277	14065	247	14066	247	14067	217	14068	217
1407	0	14071	336	14072	309	14073	278	14074	278	14075	248	14076	248	14077	218	14078	218
1408	0	14081	339	14082	311	14083	281	14084	281	14085	250	14086	250	14087	220	14088	220
1409	0	14091	342	14092	314	14093	283	14094	283	14095	253	14096	253	14097	222	14098	222
1410	0	14101	345	14102	317	14103	286	14104	286	14105	255	14106	255	14107	224	14108	224
1411	0	14111	348	14112	320	14113	288	14114	288	14115	257	14116	257	14117	226	14118	226
1412	0	14121	352	14122	323	14123	292	14124	292	14125	260	14126	260	14127	228	14128	228
1413	0	14131	356	14132	327	14133	295	14134	295	14135	263	14136	263	14137	231	14138	231
1414	0	14141	362	14142	333	14143	300	14144	300	14145	267	14146	267	14147	235	14148	235
1415	0	14151	367	14152	337	14153	304	14154	304	14155	271	14156	271	14157	238	14158	238
1416	0	14161	389	14162	357	14163	322	14164	322	14165	287	14166	287	14167	252	14168	252
1501	0	15011	361	15012	332	15013	299	15014	299	15015	267	15016	267	15017	234	15018	234
1502	0	15021	362	15022	333	15023	300	15024	300	15025	267	15026	267	15027	235	15028	235
1503	0	15031	363	15032	333	15033	301	15034	301	15035	268	15036	268	15037	235	15038	235
1504	0	15041	365	15042	335	15043	302	15044	302	15045	270	15046	270	15047	237	15048	237
1505	0	15051	366	15052	336	15053	303	15054	303	15055	270	15056	270	15057	237	15058	237
1506	0	15061	367	15062	337	15063	304	15064	304	15065	271	15066	271	15067	238	15068	238
1507	0	15071	368	15072	338	15073	305	15074	305	15075	272	15076	272	15077	239	15078	239
1508	0	15081	369	15082	339	15083	306	15084	306	15085	273	15086	273	15087	239	15088	239
1509	0	15091	370	15092	340	15093	307	15094	307	15095	273	15096	273	15097	240	15098	240
1510	0	15101	371	15102	341	15103	307	15104	307	15105	274	15106	274	15107	241	15108	241
1511	0	15111	372	15112	342	15113	308	15114	308	15115	275	15116	275	15117	241	15118	241
1512	0	15121	373	15122	343	15123	309	15124	309	15125	276	15126	276	15127	242	15128	242
1513	0	15131	374	15132	344	15133	310	15134	310	15135	276	15136	276	15137	243	15138	243
1514	0	15141	379	15142	348	15143	314	15144	314	15145	280	15146	280	15147	246	15148	246
1515	0	15151	382	15152	351	15153	317	15154	317	15155	282	15156	282	15157	248	15158	248
1516	0	15161	380	15162	349	15163	315	15164	315	15165	281	15166	281	15167	247	15168	247
1601	0	16011	381	16012	350	16013	316	16014	316	16015	281	16016	281	16017	247	16018	247
1602	0	16021	382	16022	351	16023	317	16024	317	16025	282	16026	282	16027	248	16028	248
1603	0	16031	384	16032	353	16033	318	16034	318	16035	284	16036	284	16037	249	16038	249
1604	0	16041	385	16042	354	16043	319	16044	319	16045	284	16046	284	16047	250	16048	250
1605	0	16051	386	16052	355	16053	320	16054	320	16055	285	16056	285	16057	250	16058	250
1606	0	16061	387	16062	356	16063	321	16064	321	16065	286	16066	286	16067	251	16068	251
1607	0	16071	388	16072	356	16073	322	16074	322	16075	287	16076	287	16077	252	16078	252
1608	0	16081	389	16082	357	16083	322	16084	322	16085	287	16086	287	16087	252	16088	252
1609	0	16091	390	16092	358	16093	323	16094	323	16095	288	16096	288	16097	253	16098	253
1610	0	16101	391	16102	359	16103	324	16104	324	16105	289	16106	289	16107	254	16108	254
1611	0	16111	392	16112	360	16113	325	16114	325	16115	290	16116	290	16117	254	16118	254
1612	0	16121	393	16122	361	16123	326	16124	326	16125	290	16126	290	16127	255	16128	255
1613	0	16131	394	16132	362	16133	327	16134	327	16135	291	16136	291	16137	256	16138	256
1614	0	16141	395	16142	363	16143	327	16144	327	16145	292	16146	292	16147	256	16148	256
1615	0	16151	396	16152	364	16153	328	16154	328	16155	293	16156	293	16157	257	16158	257
1616	0	16161	397	16162	365	16163	329	16164	329	16165	293	16166	293	16167	258	16168	258
1701	0	17011	398	17012	366	17013	330	17014	330	17015	294	17016	294	17017	258	17018	258
1702	0	17021	400	17022	368	17023	332	17024	332	17025	296	17026	296	17027	260	17028	260
1703	0	17031	401	17032	368	17033	332	17034	332	17035	296	17036	296	17037	260	17038	260
1704	0	17041	402	17042	369	17043	333	17044	333	17045	297	17046	297	17047	261	17048	261
1705	0	17051	403	17052	370	17053	334	17054	334	17055	298	17056	298	17057	261	17058	261
1706	0	17061	404	17062	371	17063	335	17064	335	17065	298	17066	298	17067	262	17068	262
1707	0	17071	405	17072	372	17073	336	17074	336	17075	299	17076	299	17077	263	17078	263
1708	0	17081	406	17082	373	17083	336	17084	336	17085	300	17086	300	17087	263	17088	263
1709	0	17091	407	17092	374	17093	337	17094	337	17095	301	17096	301	17097	264	17098	264
1710	0	17101	408	17102	375	17103	338	17104	338	17105	301	17106	301	17107	265	17108	265
1711	0	17111	409	17112	376	17113	339	17114	339	17115	302	17116	302	17117	265	17118	265
1712	0	17121	419	17122	385	17123	347	17124	347	17125	310	17126	310	17127	272	17128	272
1713	0	17131	429	17132	394	17133	356	17134	356	17135	317	17136	317	17137	278	17138	278
1714	0	17141	439	17142	403	17143	364	17144	364	17145	324	17146	324	17147	285	17148	285
1715	0	17151	449	17152	413	17153	372	17154	372	17155	332	17156	332	17157	291	17158	291
1716	0	17161	459	17162	422	17163	380	17164	380	17165	339	17166	339	17167	298	17168	298
1801	0	18011	479	18012	440	18013	397	18014	397	18015	354	18016	354	18017	311	18018	311
1802	0	18021	489	18022	449	18023	405	18024	405	18025	361	18026	361	18027	317	18028	317
1803	0	18031	499	18032	459	18033	414	18034	414	18035	369	18036	369	18037	324	18038	324
1804	0	18041	509	18042	468	18043	422	18044	422	18045	376	18046	376	18047	330	18048	330
1805	0	18051	519	18052	477	18053	430	18054	430	18055	384	18056	384	18057	337	18058	337
1806	0	18061	529	18062	486	18063	439	18064	439	18065	391	18066	391	18067	343	18068	343
1807	0	18071	539	18072	495	18073	447	18074	447	18075	398	18076	398	18077	350	18078	350
1808	0	18081	549	18082	505	18083	455	18084	455	18085	406	18086	406	18087	356	18088	356
1809	0	18091	559	18092	514	18093	463	18094	463	18095	413	18096	413	18097	363	18098	363
1810	0	18101	569	18102	523	18103	472	18104	472	18105	421	18106	421	18107	369	18108	369
1811	0	18111	579	18112	532	18113	480	18114	480	18115	428	18116	428	18117	376	18118	376
1812	0	18121	589	18122	541	18123	488	18124	488	18125	435	18126	435	18127	382	18128	382
1813	0	18131	599	18132	551	18133	497	18134	497	18135	443	18136	443	18137	389	18138	389
1814	0	18141	609	18142	560	18143	505	18144	505	18145	450	18146	450	18147	395	18148	395
1815	0	18151	619	18152	569	18153	513	18154	513	18155	458	18156	458	18157	402	18158	402
1816	0	18161	639	18162	587	18163	530	18164	530	18165	472	18166	472	18167	415	18168	415
1901	0	19011	649	19012	597	19013	538	19014	538	19015	480	19016	480	19017	421	19018	421
1902	0	19021	659	19022	606	19023	546	19024	546	19025	487	19026	487	19027	428	19028	428
1903	0	19031	669	19032	615	19033	555	19034	555	19035	495	19036	495	19037	434	19038	434
1904	0	19041	679	19042	624	19043	563	19044	563	19045	502	19046	502	19047	441	19048	441
1905	0	19051	689	19052	633	19053	571	19054	571	19055	509	19056	509	19057	447	19058	447
1906	0	19061	699	19062	643	19063	580	19064	580	19065	517	19066	517	19067	454	19068	454
1907	0	19071	709	19072	652	19073	588	19074	588	19075	524	19076	524	19077	460	19078	460
1908	0	19081	719	19082	661	19083	596	19084	596	19085	532	19086	532	19087	467	19088	467
1909	0	19091	729	19092	670	19093	605	19094	605	19095	539	19096	539	19097	473	19098	473
1910	0	19101	739	19102	679	19103	613	19104	613	19105	546	19106	546	19107	480	19108	480
1911	0	19111	754	19112	693	19113	625	19114	625	19115	557	19116	557	19117	490	19118	490
1912	0	19121	769	19122	707	19123	638	19124	638	19125	569	19126	569	19127	499	19128	499
1913	0	19131	784	19132	721	19133	650	19134	650	19135	580	19136	580	19137	509	19138	509
1914	0	19141	799	19142	735	19143	663	19144	663	19145	591	19146	591	19147	519	19148	519
1915	0	19151	829	19152	762	19153	688	19154	688	19155	613	19156	613	19157	538	19158	538
1916	0	19161	844	19162	776	19163	700	19164	700	19165	624	19166	624	19167	548	19168	548
2001	0	20011	859	20012	790	20013	712	20014	712	20015	635	20016	635	20017	558	20018	558
2002	0	20021	874	20022	804	20023	725	20024	725	20025	646	20026	646	20027	568	20028	568
2003	0	20031	889	20032	817	20033	737	20034	737	20035	657	20036	657	20037	577	20038	577
2004	0	20041	904	20042	831	20043	750	20044	750	20045	668	20046	668	20047	587	20048	587
2005	0	20051	919	20052	845	20053	762	20054	762	20055	680	20056	680	20057	597	20058	597
2006	0	20061	934	20062	859	20063	775	20064	775	20065	691	20066	691	20067	607	20068	607
2007	0	20071	949	20072	873	20073	787	20074	787	20075	702	20076	702	20077	616	20078	616
2008	0	20081	964	20082	886	20083	800	20084	800	20085	713	20086	713	20087	626	20088	626
2009	0	20091	979	20092	900	20093	812	20094	812	20095	724	20096	724	20097	636	20098	636
2010	0	20101	999	20102	919	20103	829	20104	829	20105	739	20106	739	20107	649	20108	649
2011	0	20111	1019	20112	937	20113	845	20114	845	20115	754	20116	754	20117	662	20118	662
2012	0	20121	1039	20122	955	20123	862	20124	862	20125	768	20126	768	20127	675	20128	675
2013	0	20131	1059	20132	974	20133	878	20134	878	20135	783	20136	783	20137	688	20138	688
2014	0	20141	1099	20142	1011	20143	912	20144	912	20145	813	20146	813	20147	714	20148	714
2015	0	20151	1119	20152	1029	20153	928	20154	928	20155	828	20156	828	20157	727	20158	727
2016	0	20161	1139	20162	1047	20163	945	20164	945	20165	842	20166	842	20167	740	20168	740
2101	0	21011	1159	21012	1066	21013	961	21014	961	21015	857	21016	857	21017	753	21018	753
2102	0	21021	1179	21022	1084	21023	978	21024	978	21025	872	21026	872	21027	766	21028	766
2103	0	21031	1199	21032	1103	21033	995	21034	995	21035	887	21036	887	21037	779	21038	779
2104	0	21041	1219	21042	1121	21043	1011	21044	1011	21045	902	21046	902	21047	792	21048	792
2105	0	21051	1239	21052	1139	21053	1028	21054	1028	21055	916	21056	916	21057	805	21058	805
2106	0	21061	1259	21062	1158	21063	1044	21064	1044	21065	931	21066	931	21067	818	21068	818
2107	0	21071	1279	21072	1176	21073	1061	21074	1061	21075	946	21076	946	21077	831	21078	831
2108	0	21081	1299	21082	1195	21083	1078	21084	1078	21085	961	21086	961	21087	844	21088	844
2109	0	21091	1319	21092	1213	21093	1094	21094	1094	21095	976	21096	976	21097	857	21098	857
2110	0	21101	1339	21102	1231	21103	1111	21104	1111	21105	990	21106	990	21107	870	21108	870
2111	0	21111	1359	21112	1250	21113	1127	21114	1127	21115	1005	21116	1005	21117	883	21118	883
2112	0	21121	1379	21122	1268	21123	1144	21124	1144	21125	1020	21126	1020	21127	896	21128	896
2113	0	21131	1419	21132	1305	21133	1177	21134	1177	21135	1050	21136	1050	21137	922	21138	922
2114	0	21141	1439	21142	1323	21143	1194	21144	1194	21145	1064	21146	1064	21147	935	21148	935
2115	0	21151	1459	21152	1342	21153	1210	21154	1210	21155	1079	21156	1079	21157	948	21158	948
2116	0	21161	1479	21162	1360	21163	1227	21164	1227	21165	1094	21166	1094	21167	961	21168	961
2201	0	22011	1499	22012	1379	22013	1244	22014	1244	22015	1109	22016	1109	22017	974	22018	974
2202	0	22021	1539	22022	1415	22023	1277	22024	1277	22025	1138	22026	1138	22027	1000	22028	1000
2203	0	22031	1579	22032	1452	22033	1310	22034	1310	22035	1168	22036	1168	22037	1026	22038	1026
2204	0	22041	1619	22042	1489	22043	1343	22044	1343	22045	1198	22046	1198	22047	1052	22048	1052
2205	0	22051	1659	22052	1526	22053	1376	22054	1376	22055	1227	22056	1227	22057	1078	22058	1078
2206	0	22061	1699	22062	1563	22063	1410	22064	1410	22065	1257	22066	1257	22067	1104	22068	1104
2207	0	22071	1739	22072	1599	22073	1443	22074	1443	22075	1286	22076	1286	22077	1130	22078	1130
2208	0	22081	1779	22082	1636	22083	1476	22084	1476	22085	1316	22086	1316	22087	1156	22088	1156
2209	0	22091	1819	22092	1673	22093	1509	22094	1509	22095	1346	22096	1346	22097	1182	22098	1182
2210	0	22101	1859	22102	1710	22103	1542	22104	1542	22105	1375	22106	1375	22107	1208	22108	1208
2211	0	22111	1899	22112	1747	22113	1576	22114	1576	22115	1405	22116	1405	22117	1234	22118	1234
2212	0	22121	1939	22122	1783	22123	1609	22124	1609	22125	1434	22126	1434	22127	1260	22128	1260
2213	0	22131	1979	22132	1820	22133	1642	22134	1642	22135	1464	22136	1464	22137	1286	22138	1286
2214	0	22141	2099	22142	1931	22143	1742	22144	1742	22145	1553	22146	1553	22147	1364	22148	1364
2215	0	22151	2199	22152	2023	22153	1825	22154	1825	22155	1627	22156	1627	22157	1429	22158	1429
2216	0	22161	2299	22162	2115	22163	1908	22164	1908	22165	1701	22166	1701	22167	1494	22168	1494
2301	0	23011	1800	23012	1680	23013	1545	23014	1545	23015	1410	23016	1410	23017	1275	23018	1275
2302	0	23021	1840	23022	1716	23023	1578	23024	1578	23025	1439	23026	1439	23027	1301	23028	1301
2303	0	23031	1880	23032	1753	23033	1611	23034	1611	23035	1469	23036	1469	23037	1327	23038	1327
2304	0	23041	1920	23042	1790	23043	1644	23044	1644	23045	1498	23046	1498	23047	1353	23048	1353
2305	0	23051	1960	23052	1827	23053	1677	23054	1677	23055	1528	23056	1528	23057	1379	23058	1379
2306	0	23061	2000	23062	1864	23063	1711	23064	1711	23065	1558	23066	1558	23067	1405	23068	1405
2307	0	23071	2040	23072	1900	23073	1744	23074	1744	23075	1587	23076	1587	23077	1431	23078	1431
2308	0	23081	2080	23082	1937	23083	1777	23084	1777	23085	1617	23086	1617	23087	1457	23088	1457
2309	0	23091	2120	23092	1974	23093	1810	23094	1810	23095	1646	23096	1646	23097	1483	23098	1483
2310	0	23101	2160	23102	2011	23103	1843	23104	1843	23105	1676	23106	1676	23107	1509	23108	1509
2311	0	23111	2200	23112	2048	23113	1877	23114	1877	23115	1706	23116	1706	23117	1535	23118	1535
2312	0	23121	2240	23122	2084	23123	1910	23124	1910	23125	1735	23126	1735	23127	1561	23128	1561
